Topic title: 安努亚慕沙促华裔认清事实
username,date,text
abc74,20171006," 最后更新 2017年10月6日 00时59分安努亚慕沙促华裔认清事实（大山脚5日讯）巫统宣传主任丹斯里安努亚慕沙要求华社思考，华裔的未来是希望扮演反对党角色，或者共同执政？並希望他们能够善用选票决定未来。他说，华裔是土生土长的马来西亚人，儘管上届大选他们被行动党蒙骗，但是他相信华裔下届大选会觉醒並回流国阵。在询及华人经已拒绝马华时，他相信这只是过渡期，巫统及其他成员党会扶马华一把，因这个国家由始至终都是三大种族爭取独立的国家，这些歷史是反对党无法抹灭的。他昨晚在峇东埔巫统区部举行「为全民斗爭对话会」后在记者会上说，檳州是他走访的第7个州属，却遭反对党踩场。早前，现场有人询问有关行动党的高傲態度，安努亚慕沙分析称，行动党的高傲有两个理由，其一是因为他们成功在华社製造恐慌，导致华裔支持他们。「其二，华社被误导以为可单一种族执政，但是现实是，这个国家仰赖各族共同执政，这是华社需要认清的事实。」他希望巫统党员也不要视华人为敌，因为巫统在1999分裂时，全靠华印裔选票的支持，华裔对国家有巨大的贡献。另一方面，会上有建议马来人大团结课题，他就巫统及伊党合作课题回应称，希盟领袖敦马和林吉祥都可以合作，而巫统及伊党也有机会合作，但他认为，伊党没有必要加入巫统，因为彼此可以在不同的阵营异中求同，却也保留各自的目標。http://www.orientaldaily.com.my/s/215351"
梦想之追求者,20171006,""
thunder,20171006,"华人一早就认清事实，是污桶一直不愿意认清事实，一直问apa lagi cina mau！"
stupid819,20171006," 是华裔太迟 认清事实~给饭桶欺骗了那么多年"
雷克斯R,20171006,"民主国家的人竟然说出这样的话 "
Barryliaozs,20171006,"行动党有没有骗选民？当然有，但是巫统不只骗还连带恐吓。反正都是被骗不如舒服点算了。"
AMOS5566,20171006,"此時無聲勝有聲  又倒米了 "
Hishammudin,20171006,"华裔的未来是希望扮演反对党角色，或者共同执政？原來那麼重視華裔想法"
gaomin,20171006,"没有胜算的人选，这家伙要拼老命了。"
欧麦特,20171006,"Balik China 我听很多次了，已经认清事实 "
mark,20171006,"说了这话，过后跟你谈中庸 NAH"
馬拉棧,20171006,"支持國陣又能得到甚麼啊？獨立至今這麼多年，華人又得到了甚麼啊？"
Akira_sendoh,20171006,"Balik china都是污桶说的啊。认清事实，这届大选我们的票是有价值的，一人一票推倒腐败政府"
Davidywk,20171006,"“反正都是被骗不如舒服点算了”看了这句， 我了"
mark,20171006,"年尾的巫统大会会是历来最激端的大会， 看看它们的代表会发表什么激端的言论..."
Akira_sendoh,20171006,"没什么怕，坐着等看卖华pusing给火箭罢了马来人自己都不支持乌通了，看他们除了买票做票，还有什么招数"
lumixcer,20171006,"什么年代了，还讲这些？不垮有鬼。。"
lancer12,20171006,"早就看清污痛他们的垃圾虚伪了"
空中说话,20171006,"我们华人对巫统已经死心了，现在马来人也厌恶巫统了。安华穆沙现在是来求华人还是恐吓华人？"
kmrddecade,20171006,"翻看东南亚的历史，罗兴阿走的是反抗的路线，马来西亚华人走的是合作的路线，然后再看看结果。"
Ragnarok026,20171006,"大馬華裔是容易被煽動，但是這傢伙也清醒不到哪裡去民主選舉制度下本來就沒有哪個政黨是可以永久執政的，說到馬來西亞只有國陣才是正牌執政黨的樣子只會讓華人越來越鄙視他們 "
mark,20171006,"还有最后的大决招....种族牌....越靠近大选越明显...."
一燈大師,20171006,"華社的確需要認清事實，別以為自己是造王者。"
Akira_sendoh,20171006,"你以为雪州马来人全部容易骗？只要华人90%投反对党，加上城市马来人的选票，足以捍卫雪州"
leouy,20171006,"扮演反对党角色会如何？被杀死？扮演执政党会如何？像麻花那样大富大贵？"
bmanz,20171006,"apa lagi u mau?"
ijibang,20171007,"丹斯里安努亚慕沙是神马角色？？？只是巫统宣传主任罢了，说了不算的。。。。"
kenny16031984,20171007,"又是个来帮鸡哥倒米滴。"
immigrant_at,20171007,"我常想为何马奶的媒体常报道这种文八股空洞新闻。这马奶油根本是小沙一粒，他如何占到新闻版位。!"
feilong,20171007,"公平对待各族人民，自然得到选票，自然不会被火箭骗。居然还说火箭恐吓华人，也不看镜子？"
nyluon,20171007,"每年都叫華人回中國的政黨還有臉說共同執政？"
nagao,20171007,"不认清事实的是污桶的人，做事如流氓。当这国家没法律，无法无天。"
firehawk,20171007,"非常善良的土著，教导非土著（华人），认清事实！"
