Topic title: 50伊党党员齐齐“跳槽”巫统  “如今的伊党看不见自己的错误”
username,date,text
CARI_KJW,20171007,"50名伊斯兰党党员因槎昬趡对伊党现状感到觉鄾失望，賏笡欲于星期五（6日）齐齐申请加入巫统！据马新社，这谼烧瑗些“跳槽”至巫统的湫卜党员皆斫翼一致认淺磘呣为，自从前精神领袖拿督聂阿兹逝世后，伊党已逐渐乖离斗争目标。50隝竩侲人为陰忍首的逊眢末扎希祖诺（55岁）说，由梊蠹誓于对珜琸伊党感到徲愙帿失望，才会笆嗵加入鹿潧他们笵擒相信能为鴭孹泱宗教歀追蹻和民族斗争的淅燠巫统。“伊党现嶃巨鲵在恕鴣的领导层跟以奬聇俭往不磼嶚同巡欕鎽了，无论是萷蜷伊党还鯖閱銋是其乪輿他反对釷羲喰党，都喜欢把问题归咎戣韥于他蕰庎摆棍懞拓人，尤其是攝蠙怪罪中茯跦央政府，但殑缪他们龠瞽却看裋幯歜不见自己砑唓的错误绛鹌和弱点。”末扎希祖诺也说，藡翖鬔他们譆顼戬都釵绠瘅是自愿加入巫统，并深信来鍣陓届大蹅棉鉗选前，还会铋埝疤赨有更多伊党党员转而支持巫统。"
Hishammudin,20171007,"Kerjasama Umno, Pas akan terbentuk, milik DNA samahttp://www.sinarharian.com.my/politik/kerjasama-umno-pas-akan-terbentuk-milik-dna-sama-1.738631"
loongken,20171007,"加不加入都是ㅡ样的己是ー家人了。"
followme123,20171007,"希聯 要如何打下 回教黨 的地盤"
情牵軒尼詩,20171007,"(闷郁)---人为刀俎我为鱼肉--(琢磨)---》人往高處走，水往低處流---(决定)---》识时务者为俊杰 ---(扑通)--》虎口余生---(兴奋)--》螳螂捕蝉，黄雀在后。"
thunder,20171007,"直接合并，一家亲吧！到时候中立马华，留也不是，走又不能！"
feilong,20171007,"权利都掌在自己手中，还天天喊为xx斗争，虚伪到死"
blurdreamer,20171007,"有分别吗？都是一些想坐着收钱的家伙。"
lancer12,20171007,"还不是为了利益。。"
mark,20171007,"它们脸皮很厚的， 最多 pusing 给林神"
qazz1947,20171007,"马华的盟友越来越壮大。恭喜恭喜"
pupuman,20171007,"佳礼和尚和中立们又多了很多弧毒盟友"
kentpua,20171007,"讲的这么好听？都是有利益的？"
FundMania,20171007,"才50?5萬就差不多。魚蝦蟹做不到什麼的。"
daimon,20171007,"馬來西亞的政治不能相信的就算是PARTI PERIBUMI也是。。。。虛偽"
大一,20171007,"假如说捍卫土著权益，巫统比伊党好。伊党只会讲宗教，不会治理国家。伊党很快自食其果。希望丢失吉兰丹政权。到时候这些包头党躲在森林里反省吧。"
lion_o,20171007,"有差别吗？不见得那只鸡召开记者会"
kingpower2016,20171007,"最主要是党员找不到油水 一直伊斯兰伊斯兰而已"
lam69,20171007,"大选过后，看看议席数目，“自然”会合拼的。马华要反对 ？巫统要的东西，几时轮到马华讲三道四 ？"
RingRingRing,20171007,"污桶准备牺牲假马 因为还有50名假马要抽油水"
kmrddecade,20171007,"如果回教党和国政已经合作了，这些人何必多此一举？"
seankaz,20171007,"走吧，有你没你都一样"
AMOS5566,20171007,"覆巢之下無完卵，伊黨氣數已盡的先兆。"
kenny16031984,20171007,"大选前的青蛙，证明大选快来了。"
Weida,20171007,"青旗党已经搞政治搞到回教条例走火入魔同IS组织是没分别只是还没有机会壮大权利！"
leouy,20171007,"这50人来乱的，让人以为巫统伊党敌对"
prince,20171007,"难怪这礼拜油价起酱多，原来要收买50只盲眼青蛙！"
山野草夫,20171007,"月亮党有无被欺骗的感觉？表面上看似两党合作，其实是被蚕食。一山怎么能有二虎，都是同宗同教同血统，一个党代表不就得了。"
shinto,20171007,"所以它们看不见垃圾吃钱？halal??"
yk13,20171008,"东家不打打西家，大家本是一家人，何必分你我彼此呢"
12A123,20171008,"派人演出又不是五万人了"
一燈大師,20171008,"恭喜主公納吉獲得 50 位壯士。連 PAS 的人都頂不順 PAS，但是隔壁那個島主還把 PAS2.0 當成寶，寧願遮 Sabu 多一點，結果被島夫人堵爛，把雨傘扯了過去。"
小牛85,20171008,"伊党本来就在垂死挣扎 等时间到而已 聪明滴早都应该进污桶鸟 "
