Topic title: 嘉玛FB宣布提前获释 接下来将举办冰淇淋派对
username,date,text
Cari_YWQ,20171008,"在伋懸瓃雪州政府垷譈獴大厦前“砸酒瓶”闹事的杍婂埼巫统氼痰瓓大港区部訉邱痘主席兼红衫军领袖嘉玛已在訇鼬星期六晚（10月7日）获释。  嘉玛墙誉謵在星期六晚更新其面子书专页，宣布自己已经获释。根据早前的圭尟报道，嘉玛和塑杽侥其他搓硟喱7名男子原本是癯约鋑被警方延长扣留三天至星期日，但哯会他们爱圞悿在废婟星期六晚7缽諉时录完口供后黈镡甊就得曝窚以获释，离开莎阿南警局。嘉玛琙澮鵾是于嗟澭軰星期四（5日）带领追随者到鲧樣卵雪州政府大赎蛃厦前示威“砸酒瓶”，抗议雪州政府放行举办啤酒节，并在鏳厈隔天星期五遭警方逮捕。他葳蒗孥强调，啤酒对埈钂穆斯林蹠虩和非穆斯林都是咨輤佤不逓吲好的疞很册，因此州政府熿驱呄不应该批准啤酒节活髿鈰动。另外，根据《星洲日报》报道，濐压为殠嵣牯了推广更締埅有意姈鯖郧义珚报的活动泎誖，嘉玛也僂捘戽会较鳺攩在接抽滍缘下艵寻来举办冰淇淋派旴标畮对，请雪州子民吃1万支冰淇淋。新闻背景“教人芜岾凭喝醉唗脠的州政府！” 嘉玛砸啤酒瓶抗议啤酒节不萟硎想看见雪州子民成“酒鬼” 嘉玛：铿堺我自愿戴上紷暩冁手铐砸酒瓶抗议啤酒节 嘉玛遭延扣三天"
seankaz,20171008,"看，又没事了"
yk13,20171008,"轻轻松松又过了一关嘉玛真的就像猴子没有人管的住他"
一燈大師,20171008,"恭迎嘉瑪大人回府。雖然犯了一點小軍紀，但以十數騎英勇地直搗敵營，已經傳遍全國軍士，大家聽了士氣都高昂得不得了。              "
小牛85,20171008,"恭迎嘉瑪猴子回巢。雖然蠢了一點，但以十數脑残畜生英勇地直搗敵營，已經笑遍全國人民，猴子们聽了下面都高昂得不得了。 "
阿白,20171008,"不知道是不是猫山王冰淇淋老板在背后sponsor他?可能他们以前在监狱里相遇捡肥皂, 然后不打不相识, 不知道是不是这样"
binkybinky,20171008,"依条仆街一有机会就要诛死佢，后患无穷，对佢仁慈你死的快。"
thunder,20171008,"冰其淋是会引人犯罪的，别搞这些不清蒸的东西！"
无人达人,20171008,"以以前的历史经历，可以说明那件事和唔同离不开关系。就是这样培养出来的。。。"
mark,20171008,"都说了有了 MO1 的 permit 谁奈他何.....警方也是做做戏而已....要不然也不能向观众交代"
mark,20171008,"你上次帮假马搬啤酒， 这次要帮它搬冰淇淋吗？？"
秋风死书,20171008,"我們十三媽媽支持嘉瑪改過自新，若支持啤酒卻不支持ice cream是說不過去的，除非你是像Facebook智障的網民！加油吧，佳禮義士們！我們十三媽媽支持你。"
alvinwu,20171008,"大馬最捧的小丑。。自己做自己爽。。下一回会派 烧肉。。.哈哈哈"
我是无赖,20171008,"野猴子一只"
jasonmun,20171008,"早知道是一场戏码. "
水沉万山,20171008,"年轻一代看了这新闻学会了一件事; 可以用非法粗暴的动作来表达意见或解决问题。 那几个把私立宗教烧毁的少年或许是从这种社会败类学会来的。"
ding96,20171008,"不是Hadgen Dazz或者Baskin Robins 我都不要哦。"
kingofthesouth,20171008,"这次要轧冰汽淋了吗？"
vongolia,20171008,"难道嘉玛想让雪州人民都得糖尿病吗？！！ 心肠真恶毒！！ "
loongken,20171008,""
NoLeaver,20171008,"吃蕉大会比较刚它"
qazz1947,20171009,"马华党员们听到没有，有糖果派了！"
