Topic title: “非穆斯林喝酒是他们的事” 马哈迪：关注穆斯林课题比砸酒瓶更实际
username,date,text
Cari_CYJ,20171010,"闹了将近一个月的啤酒节课题至今仍是热议的话题，而前首相兼希望联盟总裁敦马哈迪则表示，非穆斯林喝酒并无不妥。马哈迪在部落格上发表的文章指出，非穆斯林喝酒是他们的事，只要不生事就与穆斯林无关。“对我而言，就算非穆斯林喝到酩酊大醉，也是他们的事。”“最重要是他们不会在酒后驾驶或闹事。”反之，他促请穆斯林多关注本身的社会问题，尤其是年轻人吸毒的问题，因为比起华裔和印裔，穆斯林涉毒的情况较多。“确保我们（穆斯林）不会喝酒及吸毒，这总比砸酒瓶来得实际。”你也可以看“教人喝醉的州政府！” 嘉玛砸啤酒瓶抗议啤酒节大马该禁啤酒节？ 啤酒节是十恶不赦的活动？DBKL不批准证 吉隆坡啤酒节办不成"
VINCENT@YONG,20171010,"就算是生事也是按照法律来判的……当黄毒赌然会穆斯林比较多啦…毕竟马来西亚60%是穆斯林><"
红虹轰,20171010,"老马怎么讲漏了，还有抽烟！"
cct2050,20171010,"你要马哈迪怎么说呢 ？马哈迪家族投资菲律宾销量最高的酿酒公司 San Miguel 公司，长子米尔占（Mirzan Mahathir）出任公司董事"
Hishammudin,20171010,""
Hishammudin,20171010," "
yming2475,20171010,"老馬講的好 ～～ "
paullau,20171010,"当宗教凌驾于法律之上，这就是人治而不是法治。"
pupuman,20171010,"老马说人话了"
kentpua,20171010,"喝酒有什么问题只是那些无聊的人想生事而已？如果穆斯林的教义也不可以吸烟为什么那么多穆斯林吸烟又不禁止呢？这些穆斯林根本就是自相矛盾太好笑了？"
Wesley902,20171010,"穆斯林太无聊了"
RingRingRing,20171010,"本来就是这样 只是被污桶玩弄种族课题罢了"
黃貫中,20171010,"巫統玩弄種族課題+伊黨玩弄宗教課題雖說一個在朝一個在野，但都是眉來眼去你唱我和的。"
Orochimaru,20171010,"纳吉的爸爸还帮carlsberg啤酒厂主持过开幕"
PRM,20171010,"叫他管好自己的马仔先啦 http://www.themalaymailonline.co ... FfFmlofgqM44v6SU.97"
dupont378,20171010,"如果老马 说他执政 谁反对就关进监牢我投他"
小牛85,20171010,"给老马一个赞 "
Carpenter,20171010,"穆斯林乱伦强奸酗酒吸毒是他们的事，关注非穆斯林课题比马后炮更实际"
AMOS5566,20171010,"山雨欲來風滿樓——大事做不了，小事做不好。為了選票，可以罔顧種族和諧，無所不用其極。"
表酱紫,20171010,"宗教会越拉越极端也是你老马造成的"
yk13,20171010,"上个月发生的宗教学校被小孩放火事件这批人全部diam diam不出声如今啤酒节加上穆斯林洗衣店，这帮人就跳出来批评这个批评那个我X你娘，难道几十条人命的牺牲还不如遵从伊斯兰来得更加看重吗？"
lch3333,20171010,"看到马来人forum，蛮多人赞成老马说的"
e200,20171011,"前有伊神说.......后有淋神说.......那到底要相信那个神啊？？..."
carine,20171011,"老馬講的好"
猴年馬月,20171011,""
小牛85,20171011,"zomok偶看fb 还素有部分马乃人不同意滴 "
小牛85,20171011,"如果一直提宗教学校事件 就会显得他们种族素不优秀滴 素有瑕疵滴 所以要赶快转移大家滴目标  拿喝酒+洗衣店事件来炒 才显出他们人素多么滴优秀 非穆斯林素多么滴烂+肮脏 "
猴年馬月,20171012,""
飞天马骝,20171016,"老马以上的言论，请问有谁认为他说错了的？留个言。"
