Topic title: 巫统点头了！  安努亚：纳吉将与伊党谈合作
username,date,text
CARI_KJW,20171012,"巫统宣传亞哽主任丹斯里安努亚薃驲馥于日前透露，巫统已授权首相纳吉跟伊党谈判，以謟蛮寻求组成醳螦俭一儤鏦个选举联盟。新海峡糒溨悰时报引述安努亚痙者的谈话指出，若巫统与伊党组成联盟，预料将吸引大鐅骡批关心马来萬珶凝团结踚鷴哑的马飤鼧醅来选民。虽然伊党领袖早前曾多次声明，伊党不眓綟翇会浅蘥跟巫统合作芔鬢袗，对浇囑此安努亚却表示乐观。“大誺礐蜘门依然河薋钙是打开的甮檼，蝀塤樾对坠蘕稴于巫统瞍郃茣是否肙逹要跟伊党组成选举联盟泙笄一事，我茜柩獳们叓譀已授权纳吉，现靦阕颩在只弐嘡鐁是在瓉擃等待隨蓮鑖他的屸馼决定。”"
kanwt,20171012,"这故事告诉我们利益才是永恒的真理。。。"
仓底货,20171012,"很好的提议。这次反对党必死无疑。只要高喊极端地球王子权益至上必定好像特狼扑横扫千军。"
alex2083,20171012,"期待卖华3大巨头的狡辩，张省蚊不懂敢不敢去巫统总部拉布条。哭包祥又要伤脑筋了"
秋风死书,20171012,"好期待。反正兩邊都是馬來人統治的，華人都無所謂。華人團結一心，哪怕是超級raksasa到來也不用怕。政客政黨就開始害怕了，馬華你快點發揮你的「中庸治國」！去吊你主人！"
小牛85,20171012,"一堆小丑 合并最好 下届大选一起手牵手去荷兰报到 "
thunder,20171012,"尿中来说，请给马华大力支持，好然马华能制衡污桶回教党！"
FundMania,20171012,"希聯應該趕快離間東馬，再組成【希聯+東馬聯】。這整容硬碰【西馬國陣+伊黨聯】的勝算有80%。"
夜铃,20171012,"本来就是污桶和稀怜的选举，多了个废叫得搞局者。。。现在可好了。。。"
chtan69,20171012,"都是预知的事。翻看我之前说过的贴。只是还有很多华人还在扮正义清高不帮族群还搞破坏。等等看几时公正党也回归巫统吧。条件、时间问题而已。"
daimon,20171012,"真的吗? 那么快点合作啊让人看清楚他们的正面目然后去荷兰"
yk13,20171012,"我想看看廖总高唱月亮代表我的心"
Orochimaru,20171012,"伊党现在要变成麻花的盟友鸟"
AMOS5566,20171012,"以納吉布總理的行事作風，26億都可以不問自取了，和“前妻”復合還需要污桶點頭咩？"
eVilLance,20171012,"呃…前几天我才说过最怕巫统和伊党合作…如果它们合作，马来选民没有不投给他们的理由。华人人口才20多%，马来人人口接近70%，所谓的民主，当然是讨好多数，比如讨好马来人。"
猴年馬月,20171012,"八字都沒一撇，現在下定論，似乎言之過早。"
Danmy,20171012,"这故事告诉我们利益才是永恒的真理。。。 +1"
一燈大師,20171012,"這次真的看到馬來海嘯了，國陣贏定了。"
一燈大師,20171012,"“寧願要回教國也不要貪污國”，這是火箭粉上兩屆大選叫大家投 PAS 的時候說的。"
workinpenang,20171012,"快點聯盟，讓沙巴，砂勞越，也快退出國陣"
RingRingRing,20171012,"伊党现在只是累赘 "
chtan69,20171012,"所以老早都说了，移民才是上策。留下来的就等同化吧，也就不要再靠伯靠母了。选希联本来就不是想它胜出，只是拖延被同化的时段给自己多点时间筹备移民的弹药而已。相信希联会上台的我只能说是太天真了。"
黃貫中,20171012,"一燈也要開始學唱月亮代表我的心了"
探险家,20171012,"希望大家不要因为这件事攻击马华, 要尽量促成联盟成功, 这样就可以正式1 Vs 1对抗, 攻击马华没有任何好处, 大选知道怎样投票就行了, 希望大家扮马华仔给Najib信心....."
sihong,20171012,"看看下。  到底多少马来人 支持神教也好。反正都没差"
mark,20171012,"这叫麻花和麻花中立该怎么 pusing 啊？？"
followme123,20171012,"東海岸 被 囯陣 全面佔領，希連 準備 yak 蕉"
followme123,20171012,"移民其他地方也是做二等公民的，不要想太多"
一燈大師,20171012,"我早就拖著阿鏢叔的手，牢牢不放開了。"
水沉万山,20171012,"利用总教来捞政治资本的人最危险。当年两伊战争时期， 伊朗军方也是利用天堂来诱导平民百姓耗伊拉克子弹。给他们一人一把钥匙叫他们冲向前挡子弹，并告诉他们如果被杀了可以用那把钥匙开天堂的大门。"
loongken,20171012,"巫伊合作组选举联盟？伊党向巫统泼冷水巫统让首相纳吉和伊斯兰党谈判组成选举联盟的消息传出后，立即受到伊党泼冷水。伊党总...KINITV.COM"
神垂死,20171012,"都素伙奸吹月亮代表偶的心才有今天的伊党~"
pupuman,20171012,"中立有胆来援助尿总？"
gaomin,20171012,"这只是安努亚在演的独角戏，为了上位，什么戏他都演。"
mark,20171012,"尿总为了官位， 会同意的....反正在内阁也只是 yes man"
pupuman,20171013,"一个历届最烂的主席，使到马华没有出头天，就只会聘请一堆没品的中立上网讲废话"
johnnie_jazz,20171013,"可以名正言顺的多开几家清真洗衣店了"
e200,20171013,"有没有老马的份？？..."
e200,20171013,"麻花说不偷情，不搞基，那就不用害怕.....至于其它H人被贬的问题...那就要请教拥有95%的H人支持的政党...他们应该会了解H人需要什么！！..."
beyondseek,20171013,"誰說魚與熊掌不能兼得～～～現在五桶胜了就又是回教國又是貪污國了～～～～　YES!!~~~五桶萬歲, 中立萬歲~~~"
teachew,20171013,"说真的，我都不懂他们搞什么鬼，最好全部鬼打鬼！"
teachew,20171013,"那就先庆祝吧！"
chtan69,20171013,"二等也好过这里的三等。至少还是公平竞争。你祖先如果好像你这般见识，你现在还是中国人。以其不出去闯就认失败，我情愿闯闯看。这里变中东是不可逆转的事实，时间问提而已。就等被同化吧。不要再有诸多要求了。"
一燈大師,20171013,"還有檳城太監黨、7-11公公公會。"
followme123,20171013,"華人 根本不是二等公民，更不是三等公民在 馬來西亞，華人 生出來就有種族優勢，在 西方 就叫做 white privillege。華人 在 馬來西亞 生活超級逍遙自在，個個都是大老闆，每天可以欺負 山fan，都不明白你們是怎麽想的"
Barryliaozs,20171013,"这对诚信党和土保是好事啊。"
AMOS5566,20171013,"2015年12月17日，首相兼巫统主席纳吉和伊斯兰党主席哈迪阿旺同台亮相，并异口同声地强调将以“回教徒大团结”作为两党的合作基础；自此之后，坊间便不断出现巫伊将在大选进行合作的种种传言。继日前形容巫统和伊党拥有同样血统之后，巫统宣传主任安努亚慕沙再向《星报》爆料，指该党最高理事会已授权主席纳吉，跟伊党商讨有关在第14届全国大选的合作事宜。由于安努亚非泛泛之辈，其谈话马上引起广泛关注，尽管如此，巫统元老/话望生区国会议员东姑拉沙里并不认为巫伊合作有成事的可能性，而主要阻力将来自两党基层。东姑拉沙里可谓一语中的。大马实行国会民主制，议席多寡决定一个政党的命运；在这个简单的道理下，议席是组织政府的不二单位，因为这样，议席分配成为了政党联盟最关键的谈判环节。希望联盟的议席分配还在进行中，人民公正党、民主行动党、土著团结党和国家诚信党能否心平气和地划分“地盘”；2016年5月砂州选举，公正党和行动党在6个州席同室操戈的事件会否搬上全国大选的大舞台，一切还待观察。政治是一门数字游戏，谁的议席多，谁就有话语权，希盟议席谈判的焦点，落在土团党名誉主席和公正党实权领袖安华能不能互相妥协，要是任何一方寸步不让，希盟在议席分配上宣告破裂亦不足为奇。巫统是国阵政府的龙头老大，这个国内最为资深的政党之所以能有今天的成就，主要在于其基层势力相对雄厚，无论是党员人数或区、支部组织，国内没有任何政党能与巫统相比，换言之，基层组织就是巫统的命脉所在。长久以来，巫统和伊党的基层水火不容，霎时间要双方化敌为友，似乎难度极高；倘若又牵扯到议席的割舍，事情必然更为难办。伊党方面，署理主席端依布拉欣是反对巫伊合作的中坚人物，之前伊党已有大批党员离队，如今要是老大和老二在巫伊合作上闹不和，以致党进一步分裂，则伊党还有什么值得被拉拢的地方？（南洋社論）"
sleepingk,20171201,"邪门当道的合作。呜呼哀哉。苦了人民，得益了邪魔。"
