Topic title: 涉侮辱苏丹 警援引煽动法令逮捕槟州首长资讯官
username,date,text
Cari_CYJ,20171014,"槟州首长资讯官兼公正党青年团宗教局主任万吉万胡先（Wan Ji Wan Hussin），因涉嫌侮辱苏丹，于13日下午遭警方援引煽动法令逮捕。图片来源：星报据马新社报道，全国总警长丹斯里弗兹表示，警方在接获数宗投诉，指万吉万胡先侮辱苏丹，不过早前一直无法追踪他的下落。“警方是援引1948年煽动法令第4（1）条文逮捕万吉万胡先。”据星报报道，万吉万胡先在诗布朗再也森美浪清真寺外，遭来自武吉阿曼的警员逮捕。万吉万胡先是于今年9月28日，被委任为槟州首长林冠英的资讯官。他曾于2014年9月，被指在面子书上发表煽动帖文对雪州苏丹不敬而遭提控。你也可以看警援引煽动法令 逮捕槟州首长资讯官"
啊鸡啊做,20171014,"翻旧账？？？"
prince,20171014,"mo1 要替狗仔转移视线了。"
pupuman,20171014,"讲过什么?证据在何?视频拿来看看?"
sm99999,20171014,"金叉真的好厉害，3年多，都找不到人。现在锅震的人侮辱苏丹，却跑去抓他，转移视线。"
Orochimaru,20171014,"3年多都无法追踪下落，现在jakim的人冒犯johor 苏丹你就查到下落 -0-"
一燈大師,20171014,"還是林冠英厲害，給個職位他做，有個辦公室後，警方就能跟踪逮捕。給 林冠英 一個 大大的 LIKE。"
followme123,20171014,"不是 3年多找不到人，而是 3年多來那段視頻不火，所以沒有人理，也沒有人報警最近 Jakim 批評 蘇丹 的視頻火了，連帶這個 wan ji 的視頻重新被挖出來炒熱，才有人報警的"
cikmekyee,20171014,"什么什么汉的人侮辱就没事！"
RingRingRing,20171014,"侮辱柔佛苏丹就不用抓 一直调查 "
一燈大師,20171014,"火箭粉回去聲援火箭的資訊官嗎？   "
一燈大師,20171014,"林冠英，可以解釋你的資訊官為何被捕嗎？還是你打算發文告，這個 Wan Ji 是 前資訊官，已經辭職了，不關火箭的事。"
lam69,20171014,"对他们来说，捉一个国阵的，捉一个反对党的这样才算“公平”。"
