Topic title: 巫统马华灭亡的铁证
username,date,text
cyberjaye,20171015,"马来反风吹，巫统关注人数剧减"
Screenshot_2017-10-15-22-06-28.jpg,20171015,"JJDAP到今天还不知道自己的问题在那里还在以为只是靠骂MCA代表不到唐人就会再有90% 唐人水鱼票自作多情送给已经说到明不是来代表咱们唐人的你嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
Screenshot_2017-10-15-21-35-35.jpg,20171016,"其他的我就不知！！...只知道火箭这一次肯定会跌多几支........."
假冒是神50,20171016,"UMNO 的鉄票很多都是不上網的 馬來人"
e200,20171016,"最近火迷很喜欢放数据。ketuk-kasi大集会出席人数不理想已经是事实火迷很着急放假数据来蛊惑人心制造假人气影响中立和漂浮票火迷加油，问阿头什么时候开始舔华？"
followme123,20171016,"热脸贴人家冷屁股是犯贱吗？做么会有这样的感觉？"
jellyfish_8,20171016,"JJMCA 是这么有信心就快点叫你爸爸宣布大选来ー分高下。"
jellyfish_8,20171016,"不懂, 打從我有投票權以來都是投火箭, 但來屆不會再做笨蛋投一個只會為反對而反對, 只會講粗口下流不做事的火箭就是了"
loongken,20171016,"你的同伴嘛是一样，什么经济成长数据，这个那个，最后连卖榴莲数据都搬出来。。"
Tian,20171016,"你忘了幽灵banglasian？"
肥仔聪,20171016,"那些是真的数据，正规平台和公司提供的你的数据是哪里来的？自己ps的？"
肥仔聪,20171016,"火迷再说banglasia的话，请把一搓脚毛，证明是真的不要信口开河，侮辱孟加拉客工的声誉"
jellyfish_8,20171016,"原来水母的智商也只有这种程度而已。。。"
jellyfish_8,20171016,"你搞错了，我不是火迷，我是马来西亚公民，我只相信我的眼睛。。"
肥仔聪,20171016,"308,505 火箭月亮同穿一条底裤的日子月亮安排unit amal在每个投票站门口外监督却连条毛都没有拔到请不要在说谎话"
肥仔聪,20171016,"你完全没有point，更惨 。。请问你是chatbot吗？"
jellyfish_8,20171016,"你确定是每一个？？"
jellyfish_8,20171016,"请问你是词穷了吗？"
肥仔聪,20171016,"為反對而反對也比為贊成而贊成來得強賣華和民憎永遠不懂這個道理都為自己能當狗而自豪"
