Topic title: 雪州苏丹谕令：撤销查米汉讲道执照
username,date,text
CARI_KJW,20171016,"随着雪州宗教局禁止伊斯兰发展局官员查米汉在垱萚雪州内所有圮燱谹清真寺发表演讲，雪州苏丹沙拉弗丁也于臫鋪飛星期一担儴（16日）谕令，撤销查米汉餐瞗的讲道执照！据当今大鉞荮蘖马，苏丹沙拉弗丁殿詀衊下是燧符澐于礃朎今日跟雪州宗教理事蠢厧会讨论后，进而膆槶作出媝荎踊了这炡斥奢项决定。当局是桞譿凍援引2008年昌娎雪州讲道执照条例第4条文，撤销查米汉覀祄的讲道执照，同时陳曎将訋闙他从雪州讲道委员会蹒箫螼徢彌的名单中潧靚庴剔除。“查米汉不氈恂仅在杇悶靛宗教课上烉臑传播种族蒦瓫廤主鸵醀义，还使葎彨用蛬葍戳了不鑛荨文明阋嚒以及批评王室的昸蛁字眼，加醚沌褬上値噔他当时昊阇腌謎辝麳是厝嘵誰在皇家清真寺讲解宗教课，更不歌夭戁该出现这倵蛚砬样的励讌行为薄晫堷。”你也可以蛓摻榏看查米汉末兴被扣查 也被禁止摮蒽錚于雪州清真寺演讲获释后继续发文捍卫伊斯兰 查米汉被封“战士”"
KLIP829,20171016,"游戏玩大了！这回国阵还会保他吗？"
wrm95,20171016,"是时候见真章之时"
qazz1947,20171016,"首相署随时欢迎您"
tat93,20171016,"违反人权。死高层逼害底层的例子"
XHunterOz,20171016,"历史第一人公然挑战王室 "
lam69,20171016,"不久Jakim 总监，首相署部长Jamil又在互相邀约去觐见雪州苏丹。向苏丹解释说这是个误会。"
lam69,20171016,"国阵巫统本来想玩宗教牌。那里知道苏丹统治着搜住这机会上演“喧宾夺主”。巫统现在暗槌。"
vongolia,20171016,"苏丹英明， 如果Jakim 还要保他，雪州苏丹应该跟随柔佛苏丹跟Jakim 脱离关系。 "
lam69,20171016,"他不是历史第一人公然挑战王室巫统强壮时最喜欢耻辱皇室（回忆一下当年老马对皇室做什么）这次皇室如果再不跳出来。他们更得寸进尺。"
Mitutoyo,20171016,"神都摇头啊。。。。。。。。。。。。"
lam69,20171016,"接下来玻璃市皇室会不会出来“多插一刀”？我们拭目于待"
秋风死书,20171016,"能做的就只有這麼多"
KLIP829,20171016,"说得好，现在基哥屁股被苏丹笃了一枪，不懂他会如何回应。"
followme123,20171016,"所以 Zamiran 是 雪蘭莪人？"
黑馬王子,20171016,"点火自焚 "
cct2050,20171016,"这个结果马哈迪是赢家"
Nexon,20171016,"哈哈。。。宗教师敢敢挑战皇族 自讨苦吃。。。 "
pupuman,20171016,"纳之里也有侮辱过皇族，只是被请去警局问话，也没有掠夺他任何衔头，可见还是要看发言者等级"
小牛85,20171016,"偶要看到全國滴蘇丹都撤銷這隻豬滴執照 "
kentpua,20171016,"这支恐怖份子应该马上把牠送進牢房就对了？"
Orochimaru,20171016,"王储始终是还没有上位，所以那子里逃过一劫"
碟立飞,20171016,"做的好！              "
locolyric,20171016,"吾王万岁！"
mark,20171016,"过后封拿督， 做上议员走后门当部长了"
daimon,20171016,"大快人心！！！！！！！"
shan9,20171016,"每天都有人跳出來挑起新課題拭目似待。。。"
vacheron,20171016,"逼他变成恐怖分子"
假冒是神50,20171016,"九大家族里的女人有几个是包头的?FOLLOW那个安华这个极端份子带进来的中东头风症么？嗯嗯嗯嗯嗯"
prince,20171016,"上次比中指的关半年，这次公开侮辱，打底都要关个三、五年吧！不过有mo1 罩住，应该意思意思关几天罢了！"
ben987,20171016,"就这样？如果是非回教徒说了类似的话早就请去吃咖喱饭了。。。"
yk13,20171016,"查米汉应该更加高兴，自由身可以做更多事情了个人建议他可以和嘉玛还有拳王阿里结盟，一起组合对抗非穆斯林！犯我阿拉者，虽远必诛！"
