Topic title: 雪州清真寺演讲今后须全程录影  避免再发生“查米汉事件”
username,date,text
CARI_KJW,20171017,"雪州苏丹沙拉弗丁谕令，除婾濱嫆了穆斯林宣礼（Azan）竒岋名和宣读古兰经，州内清真寺和衝仦尜祈祷室鯶君在进行演讲和桴鲉讲座会敋鵹时龃壞式，不挻籮得使用谀徹正鱣璻堬对外扩音器。据星报，雪州王室理事鳸匬歷会秘书哈娜菲莎嘉依斯是餦纩于瀦腘星期一约髤翾（16日）发表文告，除了袑慤睚宣布撤销查米汉忺旼的讲道执照外，也犣怒葀作出渄殗肯了葻飵昤如啞鞄玐是宣布。文告指出，此举棝单潣是为蝔糖了瀤娅维护伊斯兰教致力陨厵鄅于社会坍鬞呏筮祾和谐饖璦的形象。此外，苏丹沙拉弗丁殿下谖誯縄也谕令，州内清真寺唛忮鰪和祈祷室内的肖尤演讲，必须全程录制视频，确保活动棳崜艒及演讲内容收扩臉到监督，同时餩芅遵守2008年砭镴鲱雪州讲道法令嫟嬑和2017闟喠年清真寺砈辨和祈祷室法令（雪州），避免再发生鏿晴廢如肅埍诀伊斯兰发展局官员查米汉因演讲内容不期料軬当而引起轩然蜸炦跔大波遹弌的事件。"
aidj,20171017,"雪州苏丹谕令 禁用清真寺室外扩音器讲道https://youtu.be/tB8lVjwfFcU非穆斯林进不去也听到说神马也好好过关起门听不到应学习 郭子仪门户大开有利化解猜忌"
2252lkh,20171017,"殿下明白事理。正确的教义才会促进色—社会团结。"
followme123,20171017,"Zamiran 也算得上是 馬來西亞 的奇人了，搞到宗教局必須進行這麽多改革"
win53,20171017,"好的统治者说的话就是这样好听！"
locolyric,20171017,"要是皇室宣布马来人可以脱离回教，但是不能加入一神教就好。"
阿白,20171017,"怎么可以? 那么要怎样宣传ISIS精神呢?处处被监管, 严重威胁马来人的尊严了"
slc2636,20171017,"开明的殿下，很值得人民尊重！"
daimon,20171017,"哇，柔佛苏丹带起的效应连雪兰莪苏丹也跟着来O_O 厉害下"
Orochimaru,20171017,"也好啦，不然每天赖记者听错"
xinrou31,20171018,"哈哈哈哈，英明的陛下"
tat93,20171019,"自以为是的王族和一堆拜主的狗网友"
AMOS5566,20171019,"刻意要發威、逞強、做一個自稱“捍衛伊斯蘭”英雄人物的扎米漢，在被警方逮捕又釋放之后，表明他不會退縮，他會繼續其鬥爭。但他這條路還有多遠可走，令人深感懷疑。雪州蘇丹沙拉弗丁已發出御令，指示雪州宗教局取消作為馬來西亞伊斯蘭發展局（JAKIM）官員的扎米漢在雪州的宗教師資格，並禁止他進行任何布道活動。這是很致命的一擊。因為，扎米漢喪失了宗教師資格，就不能出來講課布道了。除非JAKIM膽敢不聽蘇丹的指示，否則，查米漢還能到哪裡去繼續“鬥爭”呢？柔佛州是不用想了。由于柔蘇丹不准許州內存在“清真洗衣店”，遂引來扎米漢的不點名式批評柔佛蘇丹，並自稱捍衛真理而無懼政府或蘇丹，導致他本月11日被警方援引煽動法令逮捕幾天。玻璃市也不必想去了。玻璃市王儲賽費祖丁針對“清真洗衣店”發表了聲明，並呼籲全民和政府奉行中庸和諧的國家原則。玻州當然不會歡迎這種思想偏激的人物。也許，扎米漢還可以去往那些馬來統治者尚未出聲的州屬吧。但如果扎米漢這么盤算，那也是失算的幾率很高。為什么？因為，“清真”和扎米漢事件，早已引起馬來統治者理事會關注。馬來統治者理事會日前通過掌璽大臣賽丹尼爾發佈聲明，譴責有人試圖以伊斯蘭之名生事及破壞馬來西亞的和諧與團結。或許還有月亮黨執政的吉蘭丹州會收留他？但是，也可能落空。我們可以看到，儘管扎米漢為他的宗教“賣命”，使他受到了對付，月亮黨並沒有為他挺身而出，因為擔心他是票房毒藥。可見，扎米漢也該收檔了。他假如還不識時務，不“急流勇退”，恐怕就越來越難找到下台階，自尋不歸路，要成為另類“烈士”了。（中國報評論：金鼎）"
绝地榴莲,20171019,"禁用清真寺室外扩音器, 不是避免让别人听见内容吧？原谅我小人之心。  但谁知道他们关起门来调查会出什么鬼。"
盡用話題,20171019,"干脆政教分离，以后就不用烦到淋酱了"
