Topic title: 承认统考只欠换政府
username,date,text
cyberjaye,20171020,"槟雪已承认统考，只欠中央政府了。换，就不用年年都听差一哩的神话故事。"
Screenshot_2017-10-20-19-17-32.jpg,20171020,"马哈迪说过他拉下那鸡后就承认你的统考了么？不必扯到那么远先发文告说取消大学种族固打制吧NEP期限1990 应当 EXPIRED是马哈迪他自己沿续下来的嗯嗯嗯"
假冒是神50,20171020,"樓主這個貼好笑過 “一里路”。"
一燈大師,20171020,"UNCLE虽然不喜欢这些UMNO 2 的不过他们比LKS LGE老实多了至少不会AGREE TO DISAGREE LET IT PASS FIRST 月亮代表我的心 啥的骗到天花乱坠嗯嗯嗯"
假冒是神50,20171020,"差0.9999哩.戏明有进步了"
bcteh,20171020,"許久沒聽過 “背後插刀” 這句話了。當年喜歡把這句話掛在嘴邊的那位，已經習以為常，駕輕就熟了。"
一燈大師,20171020,"亿里路部长说还剩亿里路"
mark,20171020,"神话故事听的多有益身心吗？"
kingofthesouth,20171020,"多了会变笑话我们不就在嘲笑  差哩张  喽!"
cyberjaye,20171021,"独钟生是不是政府考试和统考都要考？"
alisonwee51,20171021,"有中文世界包括中国台湾新加坡香港澳门等承认就行了，……还有世界其它国家，如西方世界承认……独中有多少学生？……还不够上吗？……巫文有个屁好大学……差远了……"
fly6636,20171021,"别人家骗了很多年，也骗了许多钱！！...然后！愚蠢的红豆就宣传说，我只是才骗了区区n年，吃的钱也没比别人家的多....所以！！在道德伦理上！！骗比较多的，是犯了大罪的！！...然后！！就称赞自己幸好没骗比别人家多！！那自己还是清白的！！....."
e200,20171021,"精品标题我很赞同"
阿镖叔,20171021,"其實大部分 獨中生 都不 care 統考政府承不承認的，整天都是 MCA1.0 和 MCA2.0 在炒作"
followme123,20171021,"馬哈迪、安華、慕尤丁、都打壓過華教。現在火箭粉說換了 馬哈迪、安華、慕尤丁 就能救華教。"
一燈大師,20171021,"这届很乱水 华裔随时可能是造王者 乱水的2018"
投资小新手,20171021,"不是，考统考而已SPM是选择性"
cyberjaye,20171021,"麻花帮不上忙原来在国阵里只是个仆从。[color=rgba(0, 0, 0, 0.15)]"
loongken,20171021,"比一里路还近，不错不错～"
q(T_T)p,20171021,"谁承诺的叫他签一张生死证，如果换政府之后，1届以内无法承认统考，交出他的生命。"
cyberjaye,20171021,"雪槟无需签么东东，统考一样承认。"
leouy,20171021,"以前木油丁，就提出要考spm国语以承认统考，叶新田不要，华侨们都粪怒地支持叶新田。后来出了个阿德南，他说有考spm国语他就承认，华侨们都开心不已，激动流泪，high翻天。"
leouy,20171021,"有些独中生可以不用考spm，有些要"
followme123,20171021,"我是 寬中生，所以是沒有考 STPM 的。我大部分 寬中 畢業的朋友，沒有幾個認爲政府承認統考與否是一個問題，辦 獨中 本來就預了政府不會理會，而且也就是不想政府干涉課程所以才辦 獨中 的，大部分 獨中生 也不是靠 統考找工作的。現在爲了爭取政府承認，勢必就要修改課程的架構和内容來迎合政府的規範，還不如直接改制成 國民型中學，省事省錢省力。另外，炒作 統考 課題不見得對 希連 有利。如果 希連 真的把承認統考納入章程，就要準備流失大量 馬來票。我可以很肯定跟你講，承諾承認統考帶來 華裔票，是抵不過流失掉的 馬來票 的，炒作 統考課題 吃虧的是 希連"
cyberjaye,20171021,"做人不能拿么自私for example,统考生不能当国中老师，只能去独中教书，而独中教书副利远不如国中统考生就算博士生也不能去国立大学讲课统考生不能当警察，不能当兵，也不能进高薪的反贪会和Income tax统考生不能申请PTPTN...  ...不要因为自己不需要就灭别人的路！"
情牵軒尼詩,20171021,"这种不负责任的报导,信他一成都会死"
情牵軒尼詩,20171021,"不是,如果他们有考政府的那还怕不受承认??哈哈哈哈。他们可以选择加考政府的。"
情牵軒尼詩,20171021,"其实你懂统考争取受承认的原因是???国语是国家的官方语言,即便全世界不承认都好,你住在这个国家你就必须接受这个事实。"
情牵軒尼詩,20171021,"是那群董教×为何荷包就来卖华。受承认就是间接让其他人来干涉中文学校。华小就是一个例子。先保住华小才是当务之急,不要弃堡垒的同时把战线拉长。双线做战死得很快。一堆白目..."
情牵軒尼詩,20171021,"你是清楚,他承不承认你都好,效果还是一样的。因为它是固打制的,篮子里只有黄皮肤在里面内争那5-10%的位子,你的文凭影响不到其他人。"
followme123,20171021,"不止董教縂，很多 獨中校長、老師 也莫名起哄，以爲可以通過政治施壓逼迫政府無條件承認統考，根本癡心妄想"
fly6636,20171021,"但问题是独中并没有拿大马政府的财政补贴……所以算是私立中学……按照国际惯例：私立中学只要从事不反对现政府的教育，享有办学自由……无论其用何种语言语文教学，教什么内容，当局无权干涉……如印尼华人，就有许多在独中就学……还有中国新加坡台湾香港等各国各地区的，在马工作人员子女，也在独中上学……政府有什么权力，强迫他们学巫语？象美国中国欧洲日本的国际学校，侨民学校，双语学校等……这是国际惯例……中国也有许多这种学校，也不教中文的……全部按所在国教程教村教学的……就不说联合国人权公约规定的基本人权：母语教育权了……中国各少数民族学校，有要求的全部实行双语教育……这些都是全部国家财政支出的，还有吃饭补贴免费饭等……我想大马华人发展到今天儒家汉文明文化圈经济圈的繁荣……到今天川普、女王、天皇等孙辈要从小学汉语的今天……大马华人最应该感谢林连玉等华教先贤的牺牲与坚持……才让你们今天能够顺利搭上东亚儒家文明经济圈的车……而不是只学巫语，最后象印尼一样，要重新开始补习……"
情牵軒尼詩,20171021,"for example,0)统考生不能当国中老师，只能去独中教书，而独中教书副利远不如国中疑问:通常是为了华教,有传灯思想的人才会去教独中,为钱的没人选择教书。1)统考生就算博士生也不能去国立大学讲课2)统考生不能当警察，不能当兵，也不能进高薪的反贪会和Income tax疑问: 国语是主流,采用巫族的文化,统考的能否适应??(从来就没有和其他色的族群生活,大学3-4年也没有,缺少交流。报告也是bahasa的,看得明白,会用会写???)重点: 华人本来就是好男不当兵的,几时对这些有兴趣??3)统考生不能申请PTPTN疑问: 国立大学的费用少私立或台湾深造的几倍。他借你你够用在哪里??"
fly6636,20171021,"说到根本上了……外面世界强百倍，……没必要浪费大量时间精力，给那些上不起独中的，只能上国中的华人贫寒子女，留点资源吧……"
followme123,20171021,"我看你不是 獨中生，炒作 統考課題 的很多都不是 獨中生，純粹就是想借 統考課題 撈政治資本還有，不要求政府承認統考並不是自私，而是顧全大局。承認統考有幾個人得利？就幾個想去 國中 教書的統考生、幾個想在國立大學講課的博士生，這些人全馬加起來估計 50人不到。爲了�@ 50个人的木頭飯碗，讓 Jib Gor 繼續掌權，讓 全馬民衆 繼續享受 GST，讓 東馬 繼續回教化，頭腦有問題的人才會覺得這樣做有利全國你們就這樣討厭 火箭，死都不願意給這个國家一個 ubah 的機會？"
情牵軒尼詩,20171021,"因为他们本身就出身独中,不懂国中的process..他们活在自己的世界里,有点像井底之蛙这样。或许我用婚姻来比喻较为贴切,婚姻就像一座塔,塔里的人很想出来,塔外的人很羡慕塔里面的人,很想进去。"
fly6636,20171021,"为什么不请中华世界，汉办志愿者等，来独中教书？……那不是更便宜？还可以请中华世界到大马旅游的大师们，顺便用中文讲学……那些博士生，何必去巫大教书呢？去华大教书不行吗？……在那有固打制、玻璃天花板，落后的地方……去了又能怎么样？何必为了一片灌木，放弃儒家文明整片森林？……不承认就不承认了，特别在儒家文明和中华引领世界科教潮流的今天……最终损失的只能是巫人自己……"
情牵軒尼詩,20171021,"政府有什么权力，强迫他们学巫语？回答:他没有,只是你要在政府机构打工或者办事你需要用国语,因为那是官方语言。你也不可能去中国跟他说bahasa,一样的道理。母语很重要,没人反对你去学母语。即便是邻国也是2语为主,教学课程首语英文第二就是各自的母语。"
情牵軒尼詩,20171021,"天下没有白吃的午餐,你拿了津贴,就不再是间独资或家族公司,读秒变成了上市公司。"
followme123,20171021,"只能說他們很多一生人都在學校裏面打轉，很少接觸人心險惡的真實社會我也是 獨中生，可是我有積極去接觸各黨各派的人，包括 UMNO。Khairy 有一次在 墨爾本 演講的時候就說了，‘等哪一天 華人 肯放棄 華校，印度人 肯放棄 淡米爾學校，那一天 囯陣 就馬上解散了’，非常精闢。如果 囯陣 倒臺了，還有爭取承認 統考 的必要嗎？"
teachew,20171021,"换政府？哦！原来张歪嘴所说的只欠东风、只欠最后一步、只欠最后一里路就是这个啊！"
fly6636,20171021,"正如你所说：天下没有白吃的午餐……权力意味的义务……政府收税时，就已经包含有下一代再教育费用了……所以政府在享有纳税的权力同时，就要有为其子女教育的义务……当然，如果在独中上学的印尼子女，则不享有补贴的权力，国为其父母并没有向大马政府交税……而私立学校在帮助政府完成，对下一代公民再教育的义务……的同时，也享有政府分给其收取的， 子女家长们纳税教育分成的权力，……至少是平均水平的分税权力……所以权力与义务都是双方的，对等的，不可分割的……在私立学校补贴的问题上，目前国际上有两种通用做法：一种是美国等的：家庭教育子女税收减免……就是直接从纳税环节前，先减免子女教育费用……按标准，多交多减……多子多减……但这样政府还是有义务，提供基础公立学校的教育义务了……因为还有没达到标准的免税贫穷公民，还需要财政转移，提供基础公立学校基础教育……另一种是中国的，对纳税公民子女的私立补贴……就是每个城市，按照有纳税公民的子女平均标准……按人头拨给国际学校，或双语学校、私立学校等……其中没向中国纳税的外国公民子女，则不享有补贴……你用上市公司比喻不恰当，上市公司并没有向政府收税……那大马华人家长们，是不是没有向政府交税？所有不享有收补贴的权力？……"
fly6636,20171021,"如果私立中学郭享有办学自由的权力，那么学生也享有选课自由的权力……象我们中国上学，不要学私立中学，纯英文教学，纯外文教学，纯外文教材的，的私立的、国际的学校、侨民学校等……就是在公立中学，有些华侨子女，或一些不想参加中国高考的公民子女，………想要去外国发展的………选择不上政治课等……一上政治课就去干自己的事，但不要影响别人就行了……或在课堂做作业，或去图书馆、或打球等……这也是他的自由与权力……老师们从没有强迫他们，必须上政治课……同理在大马私立中学，开不开某课，应该由学校与学生商量，由家长和学生们，根据需要决定……比如想去中国高考的，就选修中国课程……想去美国高考的，就选修美国课程……想在小新高考的，就选修小新课程……想在大马高考的，就选修大马课程……同样想修巫文的，巫历史的，可以自由选修之……不要影响别人就行……不想修中文的，想学日文的，也让他们自由选择，……不要影响别人就行……想参加SPM考巫文的，可以自己选择报告之……不要用枪搞强迫……强迫不来的……这也是世界惯例……中国美国都一样……公立有公立的规则，私立有私立的规则……不要搞强迫……你们自由选择上什么学校……特别是私立的，毕竟人家是交钱的，而不是免费的……顾客才是上帝……至于税收与教育回拨，我已经在上贴讲清楚了……大马这方面也有问题吗？"
cyberjaye,20171021,"独中生绝对没你那么无知，连巫统的话也信。印尼华人放弃了华校，换来的是大屠杀。"
fly6636,20171021,"日本人当年也说过，大东亚共荣，中日亲善，要把土地和一切还给中国……可他们干的些什么？三光殖民抢劫……直到原子弹落下，还没还给中国……全部无条件投降后，被打败后，中国自己解放回来的……政客们的竞选语言，你也能相信？正式场合诺言象放屁一样……更不用说民间大学演讲场合……他们什么时候的完全兑现过诺言？你又在卖你的取缔宽中，全部独中改制国中……的曲线救华教理论了……问题是现在全世界都在学中文^包括美川普、英女王、日天皇的孙辈们……就连你前宗主国英国教育部，都在全面引进中国教材……完全按照中国教材教数学理科等……而你还主张紧跟中国教材的大马华教，开倒车，去配合大马印尼中东教材？……但华社答不答应呢？……在中国开始引领世界科教方向的今天……我看你难度极大……你也报不了被宽中老师的鞭打之仇恨了……"
情牵軒尼詩,20171021,"其实如果宪法里面有这个东西保护你的话,你可以立即去告他们。=)"
fly6636,20171021,"可这是联合国基本人权公约和国际惯例……也是符合法制权力义务对等与不可分割原则的……"
情牵軒尼詩,20171021,"人家没搞强逼,人家只是不承认你的文凭,无法拿铁饭碗罢了,没说你不能拿公民权,不能居住在这里还是不能找饭吃。马死落地走,你想打横来我也没办法。我个人觉得这个很公平,没什么问题。问题是固打制,但这个有宪法保护的,无研究之制。不要浪费时间。"
情牵軒尼詩,20171021,"日本跟中国是2个不同国,是敌人。你要比较的话,直接拿中国来举例就好。看看汉族如何对待少数民族,西藏和蒙古。我也想看有几公平。还有,你不去反问为何官方语言是现在的普通话,为何不是粤语,福建,客家,四川,大连话等。"
