Topic title: 槟城新搞做！3000万打造艺术区，吸引游客~~
username,date,text
cyberjaye,20171021,"有兴趣的艺术家也能去以下网址参与tel no: 04-2616161http://www.penangartdistrict.com/槟城用壁画吸引游客取得空前的成功，导致国阵州纷纷效仿相信这次成立艺术区肯定会取得更大的成果！林冠英：槟设立艺术特区 将加倍经济回酬效应 北马新闻红灯角艺术区构想图。槟城红灯角艺术区计划记者会，左二起李凯、潘俭伟、林冠英、阿都玛力、罗斯里。、http://www.kwongwah.com.my/?p=409678"
一燈大師,20171021,"有 3千萬 為何不治水？  反而用來塗脂抹粉？   "
cyberjaye,20171021,"傻谎中立，中央的数亿防洪播款呢？MO1又吃掉了？"
一燈大師,20171021,"為什麼跑去吉蘭丹幫馬來人建淹水後的屋子，自己州的華人屋子就不撥款修補呢？老人院淹水也不撥款提升嗎？  任由下次淹水又讓老人浸泡在水里嗎？"
cct2050,20171021,"自己不自救  等中央  .."
cyberjaye,20171021,"等货柜城建好，欢迎傻谎中立来眼红Thailand Container Night Market"
mark,20171021,"之前的槟州国阵主席躲去那里了？十多亿的拨款去哪了？？？"
cyberjaye,20171021,"设计图"
syncsw,20171021,"不要再讲这个了，马华江夏自己开贴，被人踢馆后，就自己夹着尾巴逃掉了。中央撥款給檳城治水的 itemized 項目出來了，反擊火箭州政府的混淆視"
一燈大師,20171021,"無知。世界最大貨櫃商城柔貨櫃城旅遊新據點| 中國報China Pressjohor.chinapress.com.my/.../世界最大貨櫃商城-柔貨櫃城-旅遊新...Aug 26, 2017 - 柔佛貨櫃城 坐落在新山百萬鎮，是為一項佔地10英畝的休閒娛樂城發展 ... 他說，該貨櫃城是瞄準全球遊客，第一階段工程預料今年底完成。"
mark,20171021,"还没拨给槟城就已经被干捞了....十多亿只给四亿多.....之前有个国阵槟城主席出来乱....应该是查到自己人吃了所以现在静静了...."
cyberjaye,20171021,"一定要灭中立国阵"
rEbIrTh@巴梨,20171021,"国阵的政棍还真的厉害狡辩，搬弄是非。"
cyberjaye,20171021,"这些中立打死灌粪"
qazz1947,20171022,"槟城的旅游景点的确比吉隆坡多很多。吉隆坡二十年来的旅游景点除了商场 还有很多中国承建商起的高楼 马华大厦 梧桐大厦 穆斯林化还有什么东西好玩？10年内有出现什么新的好玩景点？唯一的特色是让马币下跌然后让外国人来购物？吉隆坡不做景点吸引旅客就diam diam让人家去做。"
淋神无敌,20171022,"治水是中央的事林屎没有油水抽"
880228,20171022,"有钱为什么不给奖学金，还拿去帮罗兴亚人"
