Topic title: 谁的错？~
username,date,text
白发魔女,20171021,"可不可以pusing给林神？~"
投资小新手,20171021,"问题 反对党 一盘散沙 难啊 整天自己打自己 就算通膨在厉害 好像 还是改不了 什么"
白发魔女,20171021,"所以槟城给反对党执政后~马来西亚就改变不了通货膨胀？~"
YTS_ATS,20171021,"中央政府的锅 "
白发魔女,20171021,"我可以说中央为了忙于对付反对党而忽略了国家经济都是反对党的错吗？~"
投资小新手,20171021,"一盘散沙的反对党  每天都自己打自己 今天火箭讲 A  明天团结党 讲 B  大后天 蓝眼讲 C  更精彩的是 不懂有多少区会有多角战 还是 哪句话 没有合作意识的团队就是一盘散沙 风一吹就散了 不怕神对手 只怕猪队友"
坏孩子1989,20171021,"其他的不懂但鸡饭RM7，快熟面RM 4.2骗谁呢"
loongken,20171021,"听说是鸡XT弄到。消费税后商家争相起价理财专家直指“情绪上的通货膨胀”和令吉疲弱等因素，造成物价只涨不跌；即便香港和新加坡的物价涨幅，也不比我国物价涨幅大。据记者视察，多种日常食用品中，不再获政府补贴的食油价格已调涨近100%；食肆方面，食物和饮料的涨幅也介于44%至83%，令人咋舌。理财专家孔令龙接受《中国报》电访时指出，日常用品涨价与供需无关，而是自从政府宣布落实消费税措施后，许多商家争相起价，造成“情绪上的通货膨胀”，且调涨后没有依据现实情况作出调整，最终苦了人民。http://malaysiable.com/docTXJKajRIZWM3MHM9"
爱林宜,20171021,"如果十年前和现在都是一样的价，你们觉得会是对的吗？"
爱林宜,20171021,"我是这样认为的做老板的最好员工的薪水十年如一日都是一样没变做员工的最好是老板一直加薪十年翻越多倍越好"
投资小新手,20171021,"鸡加叉烧 或 鸡腿饭 有些地方真的RM7   快熟面RM 4.2 就很正常了 没offer的话   maggi 2min curry 大概这个价了"
一燈大師,20171021,"sunny coco 說得對，nasi kandar 拿一塊雞、淋一些咖哩汁收你十多塊，你不去反對，反而華人雜飯你拿三樣菜收你七塊，你放上網罵華人。這是何等族奸本性。"
一燈大師,20171021,"人口越多，資源越少，例如：1）耕種土地 - 檳城農業地轉換成住宅地瀆職案。2）捕魚海域 - 檳城填海導致數百漁民失去捕魚區。3）環境污染 - 檳城河流海域污染使養魚業陷入低潮。都會導致物品短缺使物價高漲。"
cyberjaye,20171021,"华人(郭鹤年)的1kg装面粉10年来被国阵限制卖厂了才能涨。有没有问题?"
cyberjaye,20171021,"你个族差污蔑华人。前两年十多块的nasi kandar华人也加入讨伐。"
一燈大師,20171021,"親華人的首長林蒼佑和許子根不起水費，然後被親伊斯蘭的首長林冠英執政後漲 4 次，檳城人的問題還是首長問題？"
一燈大師,20171021,"火箭粉就是好學不學，去學馬哈迪的自我感覺良好。你不如學馬哈迪，將 80、90 年代的原油價格和現在 2017 年相比，拿 90年代的雜飯比，差距更大。"
cyberjaye,20171021,"族差傻谎华人也骂nasi kandar卖的贵马来同胞借RM11.40的杂菜饭，反讽自己人卖的贵！https://cforum1.cari.com.my/foru ... ead&tid=3610772"
一燈大師,20171021,"你 pusing 去找 馬來人 “外援” ？      你找得到多過罵華人雜飯的才來講啦。   哈哈哈。"
syncsw,20171021,"1980，1990年代槟城水费全国最低的证据在哪里？2008 - 2017槟城水费全国最低，我可是有证据的 "
cyberjaye,20171021,"这样子为难中立 "
巴士来啦,20171021,"新加坡还可以吃到两块半的鸡饭。新加坡的小贩真是不对了。新币1块换马币从之前两块多到今天三块多是对的罗？"
seankaz,20171021,"不用理这楼主大屎啦。shuohua好像吃屎一样的"
kimtt,20171021,"err..有没有证据支持你的言论？以前我很相信Missimo和Gardenia的故事的，今年发现被假新闻骗了。"
cyberjaye,20171021,"你是马来西亚人？糖RM1.45十多年不能涨，郭老一卖就涨超过100%"
无人达人,20171022,"工钱是以盈利或工作而定。如市场没大变动，工钱是有它个别的一个标准的。但先在不是这样，现在的工钱是因市场不稳定才变动的。不是因盈利或工作因素。"
leouy,20171022,"麻花的胃口越来越大"
浩浩荡荡,20171022,"我2011-2017 收入翻了几倍 是林神还是鸡哥的错？"
无人达人,20171022,"开始是汽车的错，现在是地产的错。因这些都是会令人破产的，但没有又不能的东西。所以全部因为了不想破产能起的都起，不能都要起。没法子的就偷押拐骗。所以都是振幅的错。"
神垂死,20171022,"话说杯面还真的越来越贵，那种什么韩国杯面越卖越贵8块一杯，分明就素奸商，都素中国制造的韩国食品~"
thunder,20171022,"Gst是不会造成物价大起的，别人不信没关系，蓝教兵是信到十足!"
