Topic title: 【槟建筑工地土崩】环境部：建筑工程未获批准
username,date,text
Cari_CYJ,20171023,"于21日发生土崩的槟城丹绒武雅柏迈路（Lorong Lembah Permai 3）的可负担房屋计划工地，并无获得环境部的建筑批准。据东方日报引述大马天然资源与环境部的文告指出，环境部于2015年1月9日收到丹绒武雅发展公司的建筑申请，不过在各种因素的考量下，于2015年1月23日拒绝批准申请。环境部的文告指出，该建筑工地邻近从1960年运作至今的Teik Granite采石场，所以并不适合居住。文告中提及，该建筑地距离采石场的碎石场仅162米，距离炸石区仅400至500米，所以并不安全。此外，环境部也考虑到山坡的斜度等因素，所以拒绝批准申请。“很遗憾的，他们决定忽略我们的劝告，继续进行建设工程。”环境部也表示对槟州政府感到失望，批评槟州政府没有监督工程，并呼吁槟州政府应进一步检视山坡建筑计划。你也可以看【槟建筑工地土崩】11名失踪者全数罹难【槟建筑工地土崩】林冠英：承包商列入黑名单槟岛建筑工地土崩 寻获6尸5人仍失踪【更新】槟岛丹绒武雅建筑工地土崩！已寻获3具遗体【槟岛建筑工地土崩】郑雨周2年前曾反对计划 无奈各单位一意孤行"
kmrddecade,20171023,"有时候孩子受不住诱惑，或者交到坏朋友跑去贪污腐败，那你身为父母的就骂他，惩罚他，教导他，让他明白不可以贪污腐败，以后不要再做不就好咯？为什么要死命维护孩子，说孩子没有错，外人是多管闲事，那孩子看到你身为父母的都黑白不分护短，你说他以后会变成什么样的人？"
仓底货,20171023,"买了所谓的可负担屋子现在如何？银行是穷追不舍的。这房屋计划很好卖，所以现在上车的买主如何？"
lion_o,20171023,"环境部马后炮厉害可以公布全马不被批的工程但已进行的吗？然后可以有所行动吗？"
大一,20171023,"我们一起施压彻查真相。到底是谁的疏忽？假如有贪腐，一定要严厉制裁。"
雷克斯R,20171023,"最後一句才是他們要說的"
lier-king,20171023,"如果林冠英有错那就要认，人民不会偏帮谁，现在死了十几条人命，总要有个合理的说法和交待，我不想我唯一支持的都变成麻花那一班人一样boh lxn hxxt。这起案件已经属于人为的疏忽，不是天灾，人民有权利知道真相。"
cyberjaye,20171023,"Barang Naik马后炮Alam Sekitar绝对有禁止的权力"
丁小蟹,20171023,"可以考慮LAD行動了吧？律師們又有錢賺咯？"
蓝血人,20171023,"总之不是火箭的错，林观音的错就是了。"
小牛85,20171023,"这次真滴素林神滴错鸟 华人执政就素有这个问题乱乱来滴 都不跟sop跑 "
仓底货,20171023,"现在不管哪一边都是上演猫哭耗子的戏码又或者鳄鱼的眼泪，等看戏而已。"
一燈大師,20171023,"環境局 23-1-2015 拒絕申請。MPPP 10-2-2015 批准申請。"
一燈大師,20171023,"LAD 不需要動用到律師。去 COB 購買表格（好像要買印花稅），填好、複印 S&P，交上去就可以了。"
一燈大師,20171023,"MPPP 看了 DOE 拒絕信後，為什麼不拒絕？還是沒 DOE 的批准信，MPPP 也批准工程？"
总司令,20171023,"其实每一次出事故，都是有东西没批准的。搞好程序嫌麻烦，没出事就好，出事了就等着承担后果吧。 小至操作叉车，没撞死人就没有事，撞死人了才发现原来操作叉车的人没有认证。"
Kyrios,20171023,"看看那些疯狂的火箭支持者讲什么话：Microwei 发表于 23-10-2017 12:55 PM意外就是意外，眼瞎的是你吧，不要只会看一灯的图说故事。环境局doe在2015年disapprove这个工程，为什么到现在这个工程还在进行，可想而知不被批准的工程，不止一个！到底还有多少个不被批准的工程，在哪里有多少个，这些人到底会面对怎样的对付？答案是什么？doe没有答案？难道他的责任只是出信告诉他们批还是不批，然后就不了了之？没有执法单位？没有follow up? 那这个doe要来干嘛？然后为什么事情发生后第一只手指会指向州政府，大家心知肚明，州政府需不需要负责人那个是法官判的，不是你，他们的作业基准是根据什么，那些我不知道，我只看到那些没做事可是却把矛头指向别人然后说风凉话的人我觉得如果我们因为要反国阵而对火箭的错视而不见，根本就是在制造国阵2.0而已，两个政党斗烂，Malaysia迟早收档"
Microwei,20171023,"diam7啦中立狗，我不是火箭粉，可是我不像你那么伟大那么狗而已，站在道德最高尚的最高点，看图只看一边"
dupont378,20171023,"火箭拥抱 国阵 2.0  和  BN 1.0 斗续 Highland Tower ，Bukit Antara Bangsa 后没有吸取教训还喊什么 Smart City 口号"
Kyrios,20171023,""
丁小蟹,20171023,"如果S&P正本不見了，可以去哪裡付費要一份？"
春秋,20171023,"杀人放火林观音，背后不知道吃了多少钱"
一燈大師,20171023,"你辦買賣是的事務律師所應該有一份。發展商、銀行 都會有。"
vvti_84,20171023,"OSC批准发展计划需要DOE report的咩？http://www.mbpp.gov.my/en/mbpp/r ... forms/osc-counter-0"
山村野夫,20171023,"砂拉越这里是照间计价的，檳城猫政府就不懂。"
immigrant_at,20171023,"CIDB acts against contractor for site safety negligenceTan Ai Leng/TheEdgeProperty.comMay 22, 2017 21:35 pm MYT-A+APETALING JAYA (May 22): Construction Industry Development Board of Malaysia (CIDB) has taken legal action against the main contractor of KL Eco City development in Bangsar, Kuala Lumpur, for safety negligence in the collapse of a link bridge that caused the death of a site worker. The incident happened in November last year.The contractor, Tuck Sin Engineering & Construction Sdn Bhd, was charged at the Kuala Lumpur Session Court today under the Malaysian Construction Industry Development Board Act Section 34B(1)(C).CIDB head of legal counsel office Abdul Razak Husin said in a press statement that findings revealed that the contractor has failed to adhere to construction site safety requirements under CIDB’s Act 520 (Amendment 2011).“This is the main reason we have taken legal action on this contractor. The case hearing will resume on May 31,” he said.If found guilty, Tuck Sin Engineering & Construction will be fined not more than RM500,000 or a jail sentence of not more than two years, or both.In the incident, the pedestrian link bridge in KL Eco City, which was under construction, linking the fourth floor of a commercial building to Mid Valley, gave way, causing the death of a site worker and injuring five others.其實這工程已有DOE的反對信, PENANG政府依然批准放行, 這不止會抓CONTRACTOR,還會涉及SPRM去抓PENANG的官員的. NEGLIGENCE 的定義很廣的, 這次要看BN如何劈死林神了."
壬炜,20171023,"今次是十一条无辜冤枉牺牲的人命而非单一事故！"
NamGnir,20171023,"sri bunga 还有其他project吗？ "
NamGnir,20171023,"sri bunga 老老板谁呀？"
啊不然呢,20171023,"@lokecl @使用者 @没来racer @ong449 什么看法？ "
dupont378,20171023,"如果没有这个事件盖好后像窿尾那样偶尔飞一个大岩石下来或很可能 像 Highland Tower 轰然倒塌"
FernandoSor,20171023,"谁是谁非还很难说的清楚，愿亡者安息吧。。"
雷克斯R,20171023,"政經也要撈? "
使用者,20171023,"看法就是。。他們自己人幫自己人嘛。。沒法咯。"
syncsw,20171023,"因为DOE只是十几个agency recommendation的其中一个，而且不是必要的。地方政府会根据各种情况来考虑，再加批准，并不是DOE not recommend，然后就好像是veto power了。=======================打个比方，如果槟城建LRT之前，陆路交通安全局（jabatan keselamatan jalanraya）说在车来车往的飞机场路上头施工好几年，肯定有安全隐忧，我建议你们的LRT还是往地下跑吧。槟城政府想“我也想往地下建啊，可是没钱啊”，然后跟承包商说你们一定要严格遵守safety procedures， 然后go ahead with lrt。然后承包商negligence，意外发生了，然后MACC就去找批准工程的首长了 "
啊不然呢,20171023,"别酱吝啬，一起聊才开心 "
超笨无比,20171023,"这件事情上, 槟城政府需要付最大的责任...........没有下雨的情况下也土崩, 证明那边不适合建筑. 不要怪发展商,因为发展商是州政府选的.山坡要建50层高大楼, 可想而知"
一燈大師,20171023,"山坡發展應該是 special project，但是被 re-classified 成 Projek Biasa 來逃過許多環境評估報告 和 逃避山坡計劃指南，不留空不設置緩衝區 buffer zone。"
一燈大師,20171023,"是的，市長說很 stringent 的，要經過 22 個技術單位很 stringent 審核的。但是 hor，偏偏不理環境部提出的 buffer zone 和 169 公尺太靠近炸石石礦。Loading FB Video..."
syncsw,20171023,"发展商是州政府选的？马国几时变成了共产体制？"
syncsw,20171023,""
thunder,20171023,"环境局在建筑高楼的位置到底是多重要，这一点一定要厘清，如果环境局的功能只是建议，那这个project法律上来讲就没错，但出事了给大师Shoot也是无可厚非，但如果环境局Say No，表示不能再建而这个project还是照走，那就是法律上不允许，违规了，那州政府里当然要有人来负责。问责文化很重要，国阵也好，希盟也好，只有贯彻问责文化，人民才会是真正的老板。"
~Zack~,20171023,"但是如果州政府在特定情况下可以 overwrite 环境局的决定，那法律上到底有没有错？需要问责吗？"
thunder,20171023,"如果有条文是可以overwrite，法律上来说应该不需要，但道义上来讲需要，因为有那么多条人命在里面，但照我看绝对不会有人出来负责的，因为这是Malaysia boleh! 死者家属当然还是可以透过法律程序来起诉州政府索偿。"
lokecl,20171023,"大选要来了，什么pattern都出来了。"
山村野夫,20171023,"先把丑话说在面前，若将来发生死人塌楼，是不是由发出入伙纸的单位负责赔偿先？"
洋葱小弟,20171023,"也不算马后炮了。。。发生事情环境部也被 批评。 他们也只能回应。 结果知道的答案是 “我们本来不批的啊”"
一燈大師,20171023,"火箭國會議員跑去拖 TARC 下水了。不好意思，TARC 不是直接靠著斜坡建。但是 Granito @ Permai 工地就直接貼著斜坡來挖。1080p."
tb62.jpg,20171023,"这个真的是需要 槟城人自己 想想了。"
洋葱小弟,20171023,"殡城365天都有新闻看，不素淋首长的错难道素廖尿的错~"
神垂死,20171023,"剛才TV3 Buletin Utama 以頭條新聞用了11分鐘來報道"
Hishammudin,20171023,"这个是州政府的project来的, 不是中央政府的.错就要认, 一直狡辩只会令支持者反感. 这件事情是事先没谨慎的策划导致的. 这是州政府的工作"
超笨无比,20171023,"铁粉是不会反感的，而且还会盲目的漂白，就如他们在漂白老马一样。"
khteoh2001,20171023,"难道你想说这是人为？ "
啊不然呢,20171023,"我不了解，所以我选择不出声"
lokecl,20171023,"买来出租学生宿舍"
Edwen,20171023,"斜坡稳定性能指标是由JKR负责，关环境部什么鸟事? MPPP 是One Stop Centre。技术性的问题通常是由两大技术性的部门负责评估，这两个部门就是JKR和JPS。 还有一个半技术性的部门是Jabatan Perancang Bandar dan Desa Negeri。不过， 很多不懂事又不去学习的记者很喜欢把土木工程的问题请教城市规划师 - 吴木彦。 "
水沉万山,20171023,"这是Rahsia Kerajaan? 我去报警!"
水沉万山,20171023,"TARC沒有50層高。TARC附近沒有土崩和耗掉10+條人命。"
丁小蟹,20171023,"猜猜过多久工地继续开工"
c_long,20171023,"感觉最少3个月半年吧"
syncsw,20171023,"这个是州政府的project？你到底知道“州政府的project”是什么意思吗？不是建在槟城的project就代表asset owner或者developer是州政府。=================我哪里狡辩？来，站出来继续给我piak piak piak一下 "
syncsw,20171023,"我哪里漂白？来，不要怕，来。不要像个阿瓜中立 "
syncsw,20171023,"如果160万人口的州属有一天没新闻看，那才是有问题的地方，报纸的地方版可以关掉了。"
syncsw,20171023,"DEA没有决策权或veto power，只能给recommendation。所以没有overwrite 不overwrite的问题存在 "
syncsw,20171023,"在政治上和道义上，州政府必须负责，我支持林神辞职。"
khteoh2001,20171023,"你就省起来吧，你们铁粉红豆除了会漂白和特别喜欢对号入座，还能做什么有健设性的？连DOE给的报告，你们都能说不许要理会，那还要DOE来做什么？根本就是强词夺理，不知所谓。"
神垂死,20171023,"殡城特别多，应该素丑人多作怪的pasal~"
syncsw,20171023,"原来又是一只shoot了就跑的没淋用中立仔好啦，省起来就省起来 "
syncsw,20171023,"槟城特别多新闻？比KL多？有statistic看吗？"
cyberjaye,20171023,"我觉得林神死都不会辞职"
神垂死,20171023,"KL素大城市多也不意外，殡城不素大城市每天比KL还要严重的新闻，淋奸应该谢罪下台~"
syncsw,20171023,"所以KL新闻多是tengku adnan的错还是纳吉哥哥的错？"
syncsw,20171023,"林神不下台，我也支持。虽然我觉得他下台比较符合行动党的利益。下届大选可以出来选过，由槟城人民来决定。"
神垂死,20171023,"淋奸的错~"
罗马军团,20171024,"不用林神辞职，只要把林神送进去陪菊华做roomate，让林神感受爆菊的滋味 首长一职便自动落在臭款友，以完成林神的心愿。"
