Topic title: 微型华小和找不到住宿问题
username,date,text
５星义工,20171023,"大家好。请问微型华小问题，另外一个问题是没有新村屋子租给我们。我已成家有两个孩子，女儿明年八岁，儿子明年五岁。由于我以前在某机构工作，经常被调动工地而搬家(二十多年雪隆为主，有几次次在柔佛)，所以明年开始不要再为机构服务，要在老乡霹雳州稳定下来计划自己开始做小吃生意。我原是怡保人，由于妹妹是单亲母亲，与一个孩子，跟哥哥及年迈妈妈住很窄小的廉价屋，，所以计划回来找屋子租让孩子们稳定成长，另外时不时可以探望母亲。我太太是金马伦原住民，而她家乡最靠近只有印度淡米尔学校，所以我不想孩子学印度语，希望找到华语学校。而最好距离是新邦波赖地区，一方面离太太家乡不远，另一方面离我家人家不远。大概在那学校最靠近的新村屋旋转询问，哪知有些人甘愿让它成为空屋，都不愿出租。有间空屋已经没有人，据邻居说那屋双亲已过世，而孩子已经在柔佛发展，都不回来了。请大家帮忙我们寻找靠近学校屋子，可以吗？无论是在lawan kuda,gopeng,pusing,chemor,tanah hitam,或任何霹雳州地方，我们不想每年从外地塞好几个小时车回乡了。希望有好心网友帮忙，因为在马来区没有马来人要租屋子，在花园屋租金很昂贵也离开华校比较远，也很多仅出售而已或做民宿，在靠近波赖原住民区也不让我们住宿，因为我不是娶那区的女孩子(原来不同区原住民有如此怪异风俗)我们无论曾在哪里，并有好好照顾住所干净，没任何不良嗜好，还帮助屋主和邻居免费修补破损之处及除草，只是没料到回来家乡竟然找不到落脚处？其实还有许多屋子，都成为agent出租，出售，不过有好心agent可以帮忙找便宜屋子给我们吗？当然我们可以给一次的agent费，而不能每个月包括在屋租的昂贵的comission费。希望大家能帮忙转发下，找到落脚点后，在明年之前还要帮孩子办转校手续等。先向各位道万分感谢。"
followme123,20171023,"疑問： 你太太家鄉的原住民小孩都上什麽學校的？原住民學校不可以嗎？爲什麽一定要 華小？"
死八婆,20171023,"昆仑喇叭华小不错的，考虑下附近的屋子。"
ss24,20171023,"不明白这个，没有听说过每个月都需要给commission的。"
夕阳子句,20171023,"我有时在想印度有13亿人口，但做么没人想去学印度话的？"
q(^_^)p,20171023,"你别以为这里的丹米尔语就是全印度的语言，加上他们的素质，明白就好。"
夕阳子句,20171023,"刚去google了下真的是多到吓人, 不过想学的可以去学最多人用的那种就好讲到素质的话，如果拿中国和印度比，我也不懂说什么好 "
can_fei_ren,20171023,"都没有马乃屋子肯租给楼主，你要他们孩子怎样读？"
can_fei_ren,20171023,"原则民有学校的吗？老夫知道他们是住在森林里没出来读书的"
q(T_T)p,20171023,"印度的最大通用语言是Hindi。。。本地人的印度语言是Tamil，在印度充其量是其中一种方言，不一样的。你可以去问问印度朋友，他们看印度戏很多时候都听不明白的。"
５星义工,20171023,"没有空屋啊！有介绍？其实我还申请了块5依格地，打算种榴莲和一些菜蔬甘蔗等，等有人介绍到哪里一件屋子，将来收成时免费请他吃一辈子榴莲。(也在等政府批准手续中)"
５星义工,20171023,"原住民不是每个地方都有学校，有很多只是印度学校或马来学校，加上没有一间空屋让(华)人住的。如果霹雳州真的找不到，或者要到彭亨或吉打找了，再次谢谢你们关怀"
投资小新手,20171023,"印度小学不能上的 文化 有很大差异 "
followme123,20171023,"为什么不能把你的孩子寄放在你太太的娘家，让他们跟你太太的族人一起上学？"
Jinjinjan,20171023,"楼主应该在霹雳论坛/彭亨论坛发帖比较容易被当地人看到给你好介绍。放这里，标题又和你问的问题那么不直接很难被对的人看到给你建议的。"
otkkalahteruk,20171023,"這不是方言哦～～是tamil nadu的官方語言哦"
死八婆,20171023,"做么会没有空屋，online找就一大堆啦。怡保这样大一间都找不到？去iproperty找就很多了。不要跟我说你只是找学校隔壁走路5分钟到那种。"
q(T_T)p,20171023,"是官方语言，不过就在tamil nadu而已，其他地方又有几十种不同语言，好像我们的籍贯方言差不多。我很多年前曾经自学hindi，所以知道一些"
otkkalahteruk,20171023,""
q(T_T)p,20171023,"对啊我知道，文字发音全部都不一样的，不过它们还是在同一个印度语言体系里面嘛，所以才用方言比喻。。。"
feilong,20171023,"有人说华人租房子只限华人，种族主义。结果。"
cct2050,20171023,"穆斯林最喜欢黑白颠倒"
彩虹百合,20171023,"simpang pulai 有培英华文小学， 或者离simpang pulai大概十分钟车程的Bandar Seri Botani有巴东牙也华文小学 。"
followme123,20171024,"全知全能的主，在那無時無刻都全心侍奉你的僕人最無助的時候，你 爲何捨棄了他？"
５星义工,20171024,"根据你给的link,iproperty,寻找perak max.600的租屋，才有8个选择，其中6个是rm600，机构服务才千多元。给两个月deposit加水电压低，那么我一家及两个孩子都不用吃了。谢谢你的关心，我们需要找便宜屋子，而不是高档贵族屋子。"
５星义工,20171024,"谢谢你的资料，由于太太不会驾驶，所以希望找到靠近学校的微型乡学校下屋子。万一将来我出远门办理急事或发生任何事，至少我的孩子依然可以步行上学。"
５星义工,20171024,"我们考虑，或住太太家乡森林地区，最靠近是淡米尔学校，我们家长都看不懂淡米尔文，难道要我孩子学校淡米尔文功课考试0分？要到另外最靠近马来语学校要一个小时车程，油费也是个问题，因为我们还不知未来，明年自己开始创业会生意维持如何。"
彩虹百合,20171024,"我有亲戚住在Bandar Seri Botani的巴东牙也华文小学后面的排屋，听说是走路上学的。"
followme123,20171024,"那你太太族人的小孩都去什麽學校上學的？完全不上學？"
弟兄姐妹,20171024,"可怜没人要的楼主去睡桥下吧。"
followme123,20171025,"有必要這樣嗎？你知道樓主爲了搶掉 囯陣 多少票，做出了多大犧牲"
otkkalahteruk,20171025,"那滿洲話，廣東話，福建話呢"
