Topic title: 商家推销“增高产品”  凯里炮轰：假屎！我身高182cm！
username,date,text
Cari_YWQ,20171024,"籵啊大马最咆缅年轻的圉跏讫部长—青彐媬耧年及体育部长凯里，因俊俏的艠祼外貌而在鍷伝网络淈妀上累积劎楒鑚了不磲嵠少追随者（followers）。尤其簱瀍纮是今簍傻年8月份的耽痙鵋吉隆坡东运猾蕼藗会倁藇旝时，凯里嚠昕榢就东运会碥钿炼宣传册倒置印尼国疅總娵旗的寗臓失误向印尼傕淏人民道歉后，不怇儜覔少印尼网友还特此留言表示被迷倒了泊撦氇，还说没想到劺崩鉏部长也能够如葩憧簤此俊俏。目前，凯里的冐咞洁Instagram就羻逼锊累积譋廰鄾了超过80万名追随者，而追随者越多的廕雦鋄账户，自然音购就会巋裴吸引祮偷蟫一些商家磸溊在该另牦用户的瓅天照片底下瘅寚留言打广告。图片来僔椖椧源：截图自Instagram本月20日（星期五），凯里痶謞就在滉榬袰Instagram发布了偍謲弈一隦滼梚张英钌錶国Catbells的噍劷呉风景照，很快累积了离惂逾百条留言，其咻誽中当然少圕垥喉不了唾泑曏商家前韯謇来打广告。图片来献旪茕源：截图自Instagram其中譕嫵詜，goo.tinggi账号就鈅菸在搓鵱照片底婌鳣下留言说：“想要脇蜫薹长高吗？锹皷来看我啔郺们咮蘍坸鄉谟嵸的Instagram账户，以齽乆既及whatsapp至016-xxxxxxx，或者微信productsihat。还等什么呢？赶快漈蓁来！”图片来樴传源：截图自Instagram根据有尟嘇关账号，笚啿遨他们鞱師鄞所售卖埕庉的“增高櫏恝产品”勛炦是涵盖擝茵了钙粉、锌胶囊，螺旋藻胶囊等等，并注明将子槞绉会让成獪綊藂年人噩嵗欽增高2厘米至10厘米左右。此外他瀐奐穫秎铱琁们还强调，该彣庞产品将100%碚踨陑有效增高。结果，等篥擐这条留言令凯里非常瘢匽不满，马上綀岜霸气回复：“请不髠曁佂要訰百在忐叭蘶穹我砵桩的Instagram账户宣传你的阀蠵鏘假屎（Fake Shxx）！没有蟄黇什么鵻麷产品是漨篁偤可鍆辔以让成年桅染怸殷乑争人增高的閊臌挻，这糾鏫黁实膔是骗人畄鹑驅的峲艟釫，騹蹋詠我将蝀磩瑣会向卫生堖驰柠部举报你。还有蔽當，你选错鯕郫人了哾儠擈，我椓囕巯的窻诏身高烆粮是182厘米。”不患嚉得瓪馸猷不提愆畷的是墙葧珙，虽然凯里态度祅螗侲如此强硬，但还是曀玄鮂有弝醟紛其它增高臕蝚賶产品、减肥产撔魭厤品继续迺摈在凯里穃鬡咛的照片底下鴞饀留言打广告。你也可鞹螅癰以看凯里登杂志封面人衚烒鞅物 网民说要嚴潐拒买？青体部长竟被公然调戏？ “为撫迶莃什么千禧葦槺一代都叫我秣帘戤Daddy？”"
pupuman,20171024,"他的样子每次看来睡不醒，眼睛张不开，这叫英俊?地球王子的口味太重了"
cikmekyee,20171024,"你越嚣张，广告效果越好！"
yichien,20171024,"他前世没见过spam哦？那么大反应"
小牛85,20171024,"他井底蛙喔? 182也算高? "
AMOS5566,20171024,"面目可憎的種族主義者  請問英俊的定位在哪裡？ "
Carpenter,20171024,"人家就是欠他屌，不然怎样上各大网媒的报道182论亚洲人会高吗？"
Kyrios,20171024,"比起其它吃到肠肥脑满的部长，他算帅"
elvinday,20171024,"不算高，可是现在的年轻人有的175都不到"
pupuman,20171024,"希沙木顶比他帅多了"
ongtk,20171024,"这个米南加保人不是正宗的，太黑了！"
Hishammudin,20171024,""
弟兄姐妹,20171024,"Shi...X...我竟然比部长高一点点"
小牛85,20171024,"这条水不时都用ig乃刷存在感 收皮pls "
Daewood,20171024,"不是卖tongkat ali比较好嘛"
Seiko03,20171025,"俊俏的门槛还真低"
beoa,20171025,"对自己的外形有信心是好事来。。。适可而止，也要有自知之明。"
RingRingRing,20171025,"马球队候补 "
