Topic title: 希盟废消费税与大道，石油降20仙，大学免费！削首相署百亿花费减贪污
username,date,text
cyberjaye,20171025,"保留一马援金！根据希望联盟所提呈的替代预算案，若希望联盟成功执政中央政府，将拨出10亿令吉，作为燃油津贴，而这笔拨款足以补贴54亿公升的燃油，为此估计每公升燃油价格将下调20仙。替代预算案中提到，有关汽油补贴将会针对40%低收入群（B40），因此，有关津贴只落实在1000cc引擎容量或以下的汽车及摩托车。另外，希望联盟为了鼓励人们照顾健康，减少食用糖，他们没有意愿恢复白糖津贴。该替代预算案也指出，希望联盟执政后，他们将拨出54亿令吉维持一马援助金计划，但要获得援助金的人士必须符合数项条件，而希望联盟政府会通过雇员公积金局或社会保险机构（PERKESO）的数据，确保申请者必须有固定工作长达3个月。无论如何，退休人士或无法工作的残疾人士将获得以上条件的豁免。此外，他们表示，获得1200令吉一马援助金的家庭，也不可以用有关援助金购买香烟及酒精饮料，也不能购买非必要物品，相反地是用于交付水电费及教育费。希望联盟的替代预算今日由国会反对党领袖拿督斯里旺阿兹莎推介，她在推介礼上表示，本身希望，这次会是希望联盟最后一次推出替代预算案，未来可以在国会下议院提呈预算案。替代预算案中也提到，希联执政后，将废除消费税，虽然预计会减少255亿令吉收入，但他们将透过减少不必要开销，为政府带来315亿令吉收入。该预算案中提到，废除消费税将有助于减轻人民的生活负担，让人们拥有更多的消费能力后，公司将会增加收入，因此政府可从公司所得税、房产盈利税（RPGT）增加收入。同时他们也将通过整合部门及政府机构减少不必要开销，当中包括削减首相署拨款及打击贪污可省下200亿令吉，经过计算以上多个方案将为政府带来315亿令吉收入。最低薪提升至1500令吉另一方面，希联替代预算案中，也将最低薪金制提升至1500令吉，并成立一个长达3年的政府与雇主共同承担成本机制，减轻雇主负担。他们坦承，将最低薪金制从1000令吉提高至1500令吉，在短期内会增加雇主负担，因此将成立一个长达3年的政府与雇员共同承担成本机制，每3年进行检讨一次。希联也提及，将在5年内将非法外劳人数从600万人减少至400万人。提高外劳人头税另外，制造、服务和建筑业的外劳人头税也会每年平均提高10%，同时会协助15万名在我国的难民，登记为合法的外劳。希联在替代预算案中也提到，他们将重组高等教育贷款，即社会新鲜人只有收入超过4000令吉后，才需要偿高教贷款，而在他们还不能赚取4000令吉薪金前，都不须支付利息。他们在替代预算案中也承诺，在执政10年内，落实政府大学免学费政策。他们也将拨出7亿令吉特别拨款作为提升各源流学校用途，当中，华小就可获得7000万令吉，他们也会每年拨出6000万令吉，提升华人新村和渔村设施。http://www.kwongwah.com.my/?p=412897马国在野联盟公布替代预算案2017年10月25日 星期三 07:18 PM文/范晓琪（联合早报网讯）马来西亚在野联盟希望联盟（希盟）一如往常，在首相及财政部长纳吉提呈明年度财政预算案之前公布替代预算案。希盟承诺，一旦执政中央，将废除消费税（GST）、终止大道收费，及通过肃贪和减少不必要的开支，为国库节省200亿令吉（约64亿新元）。根据该替代预算案，废除消费税后，希盟不仅能应付有关税收损失，还能有60亿令吉（约19亿新元）收入。纳吉周五（27日）将在国会提呈2018年财政预算案。今天，希盟主席及国会反对党领袖旺阿兹莎率先公布主题为“聪明花费、减低税务和投选希望”的替代预算案，表明废除消费税后会以旧的销售税取代，并以谨慎支出的方式增加国库。希盟替代预算案小组主席、人民公正党格拉纳再也国会议员黄基权在记者会上指出，根据国阵政府的估算，明年消费税可为国库贡献420亿令吉（约135亿新元），而希盟以销售税取而代之后，只能收取165亿令吉（约53亿新元），因此政府表面上将损失255亿令吉（约82亿新元）收入。不过他说，通过销售税、其他税收及降低支出的方式，就能弥补有关损失，因为一旦废除消费税，就能带动消费力和商业成长。“更重要的是，通过肃贪及杜绝浪费，包括削减首相署的拨款，保守估计可为政府省下200亿令吉。”希盟的替代预算案拨款总额逾2585亿令吉（约832亿新元），预估收入逾2294亿令吉（约738亿新元）、发展开支约583亿令吉（约188亿新元）、营运开支约2002亿令吉（约644亿新元）；财政赤字占国内生产总值（GDP）2%，比国阵政府今年预算案的3%低。http://www.zaobao.com.sg/realtime/world/story20171025-805825"
失望,20171025,"看到这贴，第一次想要更换网名成为“希望”"
158797,20171025,"这个是童话故事??"
空中说话,20171025,"梦里才有这样的情况。"
cyberjaye,20171025,"MO1的阵线每年贪污数百亿，省下来就能造福百姓"
雷克斯R,20171025,"利民而且不是一味討好 "
dupont378,20171025,"等待消除土族特权的政线"
cct2050,20171025,"秋天的童话"
cct2050,20171025,"实行这样计划开销每年增加 500 亿钱哪里来 ？到时加其他税 "
aquamax,20171025,"比童话还要梦幻叫神话才对"
Hishammudin,20171025,"大家不用傷腦筋繼續大力支持納吉就是了"
adriel_k,20171025,"赚的回来的你年收入超过200k的就准备给额外的富人税 如果你爸有留下一些产业给你，转名前你也要准备一笔遗产税任何股票，债券交易都要征税还有一个回教党提议的---存款税https://www.themalaysianinsight.com/s/16074/在他们眼中，“穷人”和公务员是神圣不可侵犯的，他们的遭遇是非常悲惨的，即使他们好吃懒做只会拜神，可是还是一样悲惨的，你们华人中产应该帮多点的"
cct2050,20171025,"308  505 兮盟的承诺没有一样实行所以这一次也是空头支票"
浩浩荡荡,20171025,"公务员减一半是最实际的不过有谁敢得罪这班铁饭碗？它们有的是数量 足以改变政权 也能加速国家破产"
总司令,20171026,"其实公务员不应有投票权利，有利益冲突。正如企业采购部不能参与选择供应商。"
