Topic title: 闯入民宅没被拯救却被弄死！马来貘的鼻子和耳朵还被割走
username,date,text
Cari_LSV,20171025,"马来褋線貘，已被穀饉敾国际自然保护联盟列为穪馎呦濒危物种，过去30年质袰蘧，它駾讷秂们的显祡洯数量櫕滍在东南亚臤秴邖地区襭座不断减少，目前，全球只剩下嵵蔥曎论大约1千至1500只马譀鈟来貘，而森林胍竍墷就弃巗是它们墺尘綎的獺檣娶主鏧嗷豏梱奦昫要栖息钳舂礃地。图片来漣鲐韎源：Khairul 面子书图片桐浫来源：Khairul 面子书根据网友Khairul，星期二深夜11点多，蠴酮螳一只疑似迷路的烠恂蜩马英哯軨来貘意外从雪兰莪乌鲁冷岳缘觢的森林闯到絻慵庫住宅区。当地蒧黐民众发现它匄糔谉的踪迹后，马上魹苫苁向民防局（JPAM）凁恎和消拯局牜怘人员寻求援助。Loading FB Video...【图片椝噇来源：Khairul 面子书】大鄪椗约1点多，相关人丂峻厧员便抵达蹸佖薎了有氊絪狳关住宅区，接着便用襅朢逰绳子拴住马熻贰辫来貘。根据目击者提供的闏驻属视频，当誛漽膐时，马来瘼苭擀貘依然活着，还尝试想诸奁要挣脱绳子。但袹孭在视频第3秒，现场似乎传出“砰”一靊韡声，而马撬腔来貘则应声倒地銡蠱，在鏌埶裈路穲囯上挣扎不爬舯鎮洞皷一梾灧会，便魩搕暨不再錡驹动弹。图片来藁榏源：Khairul 面子书根据Khairul靀溼上传懭臈的照片，马诩襔来貘口吐鲜血地允蛫倒卧在歅虏粿路軯鵳綰上，消拯瓾箨人员解开爪锷娝了马来犷礼貘身上榙夥分粒阅的绳子后，便把它的髛炀儗尸体丢弃餏紖椹在路旁。当时廼蘈搎，马圞濣来貘的芮嶄尸首依然完好无损。图片彀輘来源：Khairul 面子书但傯陿是，其中焣臼一砲儾煘名民众与马来魴朼貘尸体合影时碍汐矾，马謲蛎来貘已经残缺鸒娀不全，鼻子、耳朵欁賿腋和部分睼砑皮毛都惨遭梸蒮有心人盨骠士割走椊欴楖了。Khairul因此痛骂犯案者冷血无情，根本毫无人餍抏縑性。图片来遴瘸源：Khairul 面子书随后，Khairul也更新帖文称，野肸慃生动璜聽物保护局已在苝汔星期三早上臾犓10点45负煄肩分载走了凉钤蚘马来鑌彬貘的羻艻尸体。Khairul的峛羭惌帖文随即濺棥在面子书引起热议，但摢蓦渱不少网民都认为髊陸，垑寛绚是消拯员用矵憧谉绳子勒死马岧槮冖来貘，纷纷斥骂他縊鍚们嶠兙太残忍。- 你们洲輓糭看那个續傹视频，他奨砽们川昵願真是桚嶂勒死马妭鮣韓来貘的逪駵溴，他儁匇们撊嗥籢先拉绳子再勒，马鴲妺凅来貘都已经輁捋爌在抽搐鋯衑了，可角瓕是他佽驅们祌囒还继续拉，让它没命- 直接把他惡桾擊送回去就淔銽鯋好，钬晎拖为什么要肏裤郁勒死它？- 如锚錐果晬哉篩不懂得捉的鞥禙话，就鬇讚栄找专业人牕量鷾士，马簟钠乃来貘真可怜- 可恶！庞歅糂炅大的砽涩嚶消防车鬛姂和妛鮶这么多熫軷駴人围着他坴捑咧，顁傛要马鳨嶘蟕来貘怎么冷静，它肯定害怕啊塀壚在2010年鲘案框《保护野堖颙生覢蔃隳动物法令》下蜫栍，马圢膻来貘被列为頃斪稨“彻底被保护动韈拰物”。要尟袳是鄬惺娑民众賧傳在没霻館曗有准证草飤卥的情况鴭菲下，随意射杀马来鳰桀貘，将受到嵌叩磿法律对楼褗付。"
秋风死书,20171025,"河馬不死，馬來膜被勒死。"
feilong,20171025,"这些山范不知道马来模受保护动物吗？应该惩罚他们"
loneranger0536,20171025,"功虧一簣。這邊厢保護稀有動物那邊厢野生動物局馬虎辦事不救反殺了馬來貘。果然愚蠢至極。"
Hishammudin,20171025,"不意外因為路上還有很多垃圾"
kamloontai,20171025,"人类是世上最可怕。而动物是世上最可怜"
失望,20171025,"又是没有一个人负责任，环境局，动物局，全部都无罪释放，可怜动物在大马肯定很快就会绝种"
firehawk,20171025,"呕血死"
haku,20171025,"虽然他们这种人平时做事不认真的态度对我们来说是见惯不怪，最多容忍一下便过去了，没想到他们得寸进尺，就连频危动物他们依然保持这态度，结果好好的生命就这样没了，无知在这种时候是发挥它的可拍作用了"
koeyqi,20171025,"可怜，窒息了啦"
teachew,20171025,"鸡、河马，应该死的却不死！"
y2quin,20171026,"是谁call bomba杀掉那只马来貘的=="
unhpyppl,20171026,"四不像的耳朵鼻子和肉有列入中醫藥理嗎？"
总司令,20171026,"让它自然走掉就好，何必叫消防多此一举，白白害死它。让政府机构插手的事情，十之八九会搞砸。"
einsttan,20171026,"熊猫来到这里还有熊特备猫馆住，马来貘是本土被保护的动物却沦落到如此田地，马国的官员是吃钱和吃大便的。"
panic_tee,20171026,"确定会受到法律对付？ 我看到最后也是不了了之。。。。"
空中说话,20171026,"自己边临绝种的动物不好好保护。（这可是我们的国宝啊）却花大钱去帮人家顾人家的国宝。（不是我们的国宝）"
beoa,20171026,"好过分。"
肥仔聪,20171026,"“砰”的一声是什么？"
+_o_+,20171026,"山番眼里只有 “河马“ 是受保护野生动物。"
好学生坏学生,20171026,"猜想外劳切来补汤，外皮切来做皮革给河马皮包"
kalyn7,20171026,"可怜。。 "
贵妃族,20171026,"没知识的一群马来人，还有什么资格冠上野生动物保护局"
oo_tea,20171026,"这样你们以后就不敢麻烦他们出动啦~~~要知道让他们跑来跑去是很辛苦的吗！多么明显的下马威~~~"
wrm95,20171026,"無辜被殺害"
mangolu,20171026,"阿中救助熊猫被你们污赖，现在自家呢？"
Barryliaozs,20171026,"数目没比熊猫好很多，才1000多只左右。"
破坏天才,20171026,"又不是鳄鱼，也不是蟒蛇，叫什么bomba..."
重甲霸王,20171026,"证明马来西亚教育的悲哀。好好一只动物，没有攻击人，都被杀害。"
水果rojak,20171026,"tapir不是常常会见到的， 撇开什么种族， 难道本地华人就知道应该怎么样做？不过这证明了公共服务各部门的沟通和系统有问题，虽然不是天天有火灾， 什么野生动物都让消防员来抓对吗？ 应该联络野生动物局的专家来指导吧。很多政府部门的官员都白拿着薪水"
bboyed,20171102,"政府养了很多番薯"
prince,20171102,"这跟土著到今天，没水没电没学校的待遇是一样的，国阵不倒土著吃草！"
einsttan,20171103,"罗兴亚人来到这里就如熊猫的待遇，有屋住有米派，还有尊贵的副首相亲临接机啊，司马昭之心啊。"
HRforIT,20171107,"为什么要割掉那些部分。。。。吃？做药？华人还是马来秘方？"
advocado,20171130,"晚上打给动物局有人接电话吗？晚上只有Police, Bomba, Hospital会接听吧。难道Call TM Hotline?"
