Topic title: 【2018年财政预算案】建议私人界产假增至90天
username,date,text
Cari_CYJ,20171027,"首相纳吉宣布，政府关联公司、政府关联投资公司及政府机构，必须在2018年年底之前，董事部需拥有30%的女性。他建议私人界的产假，从原先的60天，增至90天。此外，他也建议离开职场超过2年的女性重回职场时，可以免税，并拨款2千万提供女性企业训练和培训。"
Hishammudin,20171027,"會不會成為老闆減少請女性職員原因之一？"
tanxinrong,20171027,"有可能。不过，一般上，女生做工比男生细心用心点，所以很难说。"
monster.inc,20171027,"华人老板给你30 天都嫌多了 还90 天。慢慢等吧"
kingpower2016,20171027,"私人界的女性 一般不敢要求多。不然三个月 你的职位纷纷中被别人取代。到时候自己就可以好好照顾孩子了。"
alexanderyks,20171028,"没差啦， 很多大公司已经是90天了。"
novation,20171028,"看是什么职位吧，如果你的职位可有可无，做不做都铁饭碗，放假一年半年世界继续转。如果你日理万机，假期你都要在家工作。 放假３个月??? 呵呵， 像是不用工作的人设计的政策。"
Engineer,20171028,"偶的前公司实施3个月产假制，马来女前员工充分利用这项便利，她每年都为国家人口作出贡献，怀孕时期时常拿病假或紧急假期，病假和假期拿完后就来个怀孕期高血压入院，病假自动增加到60天，怀孕后期时她不断拿病假，总的来说她每年只需要工作6-7个月要辞退这样的员工也不容易，怀孕期辞退她不太人道，等到她生产后回来上班要辞退她时发现她再度怀孕"
jellyfish_8,20171028,"福利越来越好。。"
vvti_84,20171028,"建議來做什麼。。直接立法嘛 "
空中说话,20171028,"这样我们小资本公司请一个年轻女员工来五年跟我生三胎，我不是亏本 ？（五年六十个月，产假就九个月）啊！ 我想到一个好办法了。接下来我要请那些年过四十的女员工。如果念过五十停经的更好。"
空中说话,20171028,"这样的 Kaki肯定年终Bonus会很少。擢升机会也排最后。"
Engineer,20171028,"没有加过薪给她也没有花红"
novation,20171028,"有做過工的人都知道可以隨意遲到早退，放長假的人，是可有可無的人。公務員能夠有這種奢侈，說明了什麼"
他旺,20171028,"那不算什么。有一些银行的产假是五六个月的。"
novation,20171028,"那一间呢？"
空中说话,20171029,"哪一间 ？我要知道。"
他旺,20171029,"平时多点阅读报纸吧。https://www.thestar.com.my/busin ... id-maternity-leave/"
总司令,20171030,"大政府当起大家长来揠苗助长了，企业都是屁孩。"
Engineer,20171030,"懒人族有5个月产假的话，扣除年假和入院后自动增加到60天的病假， 每年只需要上班3-4个月"
AMOS5566,20171031,"21世纪的当下，女权的呼声越趋高涨，社会上男女平等的观念也日趋成熟。然而细想一下，我们真正平权了吗？姑且不论其他，单是生育一环，其实就缺少了所谓的平等。《中庸》说：“夫妇人伦之始”，即有了男女结合才有人类繁衍，也才有后来的一切人力资源。在繁衍的过程中女性的功劳尤大，因为怀胎十月不是件简单任务。可是环顾现今社会，许多领域实则忘了女性在提供人力资源方面所付出的功劳。举个例子，产假问题。许多新手妈妈在短短的产假结束后，带着对宝宝的牵挂与不舍，不安地回到职场。针对这点，首相纳吉在2018年财政预算案中，建议私人界产假从60天增至90天及怀孕女官员提早下班等，期许减少女性在职场上面对的困难。不过，在聆听连串的女性佳音之际，我也不期然想起一些女性友人所遇上的情况。女性友人A曾经在面试中，遇上一直强调要聘请拚搏员工的面试官，对方还提及下属都是单身人士，已婚女子或多或少有点不合适。最后，友人表示有生育打算，对方立即说了“不适合”三个字。女性友人B因为连续两年怀孕，遭到上司与同事的冷言冷语，揶揄她不如回家当全职妈妈，让她在怀孕期间被迫面对另一层的精神困扰，眼泪往肚里吞。除了职场上，政坛也曾发生类似事件，民政党的陈庆亮曾经在推特上发文，质疑行动党梳邦再也区州议员杨巧双因为请产假而不适合担任州议员。已婚职场女性长久以来都面对一定程度，有形或无形的歧视。社会处处存在对已婚女性的局限，尤其是身为妈妈的职场女性更要面对许多的困难。企业在聘请员工方面有所要求是难免的，但如友人A遇上的情况，却让人看到许多主管其实存在“已婚女性是负担”的歧视性想法。如果这些主管的思维不变，那么首相建议90天的产假，恐怕会变相加剧主管在面试女性时的负面考量，尤其有人正谈论着延长产假所带来的经济成本。女性在职场上面对挑战与困难，源自于男女之间长久以来的不平等待遇。尽管身处科技时代，但许多人的思维仍旧被远古种种观念所左右，要打破既有的职场文化与潜框架不是件容易的事，需要长久且坚毅的努力。政府明文规定，采取措施进一步关注职场已婚女性需求是个令人鼓舞的进步，但若政府在推行或建议类似措施时，更全面地考量一些可能面对的困难，或可让目标在更大程度上受益。政府必须关注潜在的反效果，做好应对的准备，真正达至扶助女性，消弭已婚和怀孕妇女在职场上面对的不公平。(文章来源：星洲日报/笔下真情·作者：叶静薇·《星洲日报》昔加末高级记者·2017.10.31)"
