Topic title: 【直播】首相提呈2018年财政预算案
username,date,text
Cari_CYJ,20171027,"[fbp]https://www.facebook.com/najibrazak/videos/10154876391070952/[/fbp]首相兼财政部长拿督斯里纳吉于今天（27日）下午3时40分在国会下议院提呈2018年财政预算案。这次的财政预算案被喻为是为第14届大选派糖果的预算案，所以民众都非常期待此次预算案会带来更多的好消息。较早前，纳吉也曾表示本次的财政预算案将为公务员带来好消息，并表示这次的预算案非常具有包容性，每一位国人，包括中产阶级和退休人士都会受惠。"
binkybinky,20171027,"唔洗惊，鸡个系大厅"
小牛85,20171027,"搶到沙發鳥  "
aidj,20171027,"三个月 "
slimslim906,20171027,"先留个脚印 "
拖衰家,20171027,"糖果来"
小牛85,20171027,"yerr... 尼公務員啊？ 醬貪心要3個月  "
cyberjaye,20171027,"倪可敏：国债和家债达9千亿倪可敏推特：行政开销中的13.2%，是为了偿还国债。国债和家债已达9000亿令吉。国家债务越来越高，国家用308亿令吉来还债。林冠英在推特写道，我去美国促进投资，不象纳吉般给予40亿令吉公积金局的金钱.幸好槟城在首6个月投资额达到77亿。"
坦克車,20171027,"這次是有驚無喜，還是有喜無驚，或無驚無喜。"
梦想之追求者,20171027,"开始派糖果了吗？"
cyberjaye,20171027,"【倪可敏：预算案予人民商品和服务津贴萎缩6.5%】行动党国会议员倪可敏推文说，虽然预算案开销突破2802亿令吉，不过给予人民的商品和服务津贴，却萎缩6.5%到231亿令吉而已。"
kingpower2016,20171027,"还没说到重点对吧？一直废话。"
weiwei318,20171027,"所以最低薪资，跟单身姨妈援助金有增加到吗？明年吃饭吃粥都靠这两个了"
好学生坏学生,20171027,"有，现在提及教育"
heavenguy,20171027,"老师没教你，2.6B吧。。。。。"
好学生坏学生,20171027,"现在提ptptn贷款，还的时候有些折扣"
cyberjaye,20171027,""
小牛85,20171027,"皇后娘娘駕到 "
好学生坏学生,20171027,"取消batu tiga shah alam sg.rasau bkt.kayu hitam tol..."
好学生坏学生,20171027,"gst 事物，宣布。。。依旧。"
Hishammudin,20171027,"納吉看重玻璃市，雪州，柔佛特別是新山。"
Hishammudin,20171027,"提到保護環境課題，還揶揄在野黨提到檳島土崩涉及人命時，臉上還露出笑容。"
RingRingRing,20171027,"看来鸡哥志在拿回雪洲 然后强攻柔佛毕竟柔佛有巨大发展潜力 "
cfs181,20171027,"派糖果..."
cffong,20171027,"先留个脚印"
loongken,20171103,"消费税致物价飙涨 阿兹敏打脸纳吉"预算案之母"首相纳吉在提呈2018年财政预算案时，开始不到10分钟就马上炮轰在野党，而雪州大...KINITV.COM"
