Topic title: 原来辱骂人的是这模样
username,date,text
jellyfish_8,20171027,"你身边有没有这样的人？"
45461865-E2AB-489A-A7C1-D63CA76F5D0D.jpeg,20171027,"肥嗨不肯進回教、不肯減肥、還敢罵肥嗨。挺可憐他爸爸的。"
秋风死书,20171027,"中立样子应该也差不多 "
q(T_T)p,20171027,"在華社推廣 PKHKC 文化的丘光耀、火箭黨，有派律師和議員出來捍衛這 3 人言論自由嗎？劉鎮東呢？ 曾經捍衛過丘光耀罵首相夫人 “bitch”，說首相夫人不是王室，可以批評。火箭火箭，站出來呀。"
一燈大師,20171027,"问题是?"
seankaz,20171027,"华仔常常自豪的五千年文化台仔常常挂嘴边的德智体群美不能身体力行，不堪一击。。 "
jellyfish_8,20171027,"话说这年头大家都骂祸国殃民的MO1不骂唇红齿白"
cyberjaye,20171027,"好奇水母长什么样。。"
肥仔聪,20171027,"很快有人会找出来，不用担心。身为狗狗团的水母仔想必在流冷汗"
pupuman,20171027,"其实前面那个安哥跟我很像"
jellyfish_8,20171027,"他們zomok要罵獸相? 不衰拿來衰滴 "
小牛85,20171027,"期待ing~"
肥仔聪,20171027,"火迷更怕再下大雨土崩"
jellyfish_8,20171027,"刚才下了。。"
肥仔聪,20171027,"应该和完美女人国母很像"
scooter,20171027,"你可不要乱讲说像你，人家可是用两只脚走路的。"
一条粉肠,20171028,"应该是有柄的。。"
肥仔聪,20171028,"什么回事？"
