Topic title: 乡村仔傻孩拿督最新的视频！
username,date,text
友仔,20171031,"乡村的傻螃，跟据"客家人"最喜欢说的一句"烧脑"了这条傻螃要不得！"
友仔,20171031,"这群中国人真是相信这条傻孩拿督，我要回中国爆他大祸。。。"
qazz1947,20171031,"要浏览器HTML5才可以看。这个拿毒不简单"
友仔,20171031,"直接按"youtube浏览器"看~"
Screenshot_2017-10-31-07-54-35.jpeg,20171031,"ngap 些什么Q？"
.PARIS.LEAN.,20171031,"他老大是谁？世界首富？"
.PARIS.LEAN.,20171031,"好厉害的年轻人"
kennyteoh818,20171031,"照片这两个人是谁来？"
友仔,20171031,"这条水"傻孩拿督"是烧坏脑袋了的！"
友仔,20171031,"这视频是几时拍的？是不是张建刚要被捉的时候？你有注意到视频里，他被后的照片吗？如果那照片是真的，那么，大家心里有数是那一州的Datuk了。"
khteoh2001,20171031,"那个州都没有用啦，他都不是马华的人…这个乡村傻孩拿督跟老千张健的"作风"是一模一样的，做老千的跟大人物合照是一定要的，搞关系找靠山…这些是做老千的机本功夫来的。。。"
友仔,20171031,"有看过楼下那几个账号吗？(还有很多分身)喜欢卖烂文烂史，常故意以进回教话题开帖然后借事卖他那套文史论，再以多个分身自己跟自己辩论炫耀他那套烂文识。早年常吹水示意自己还是个留学生，最近被人揭穿是个年近50的大叔。是个非常喜欢在人前充有学问的人。"
.PARIS.LEAN.,20171031,"还有很多分身，，常羞辱其他人种如东马人或其他东南亚种族为污血人种。       "
.PARIS.LEAN.,20171031,"不知道视频是几时拍的，很像是昨天的视频来的！"
27_avatar_middle.jpg,20171031,"原来是无聊人来…"
01_avatar_middle.jpg,20171031,"一百副棺材 。。。他是不是要跟他的会员 同归于尽？"
69_avatar_middle (1).jpg,20171031,"我都不明白那些在中国的中国人为什么那么信任他…这个人脑袋有问题了的。。。千万别学"
.PARIS.LEAN.,20171031,"连用华语发表讲词都近乎是低俗的烂仔式真不懂他和苏丹怎样交流。"
