Topic title: GIANT员工投诉：一星期前才收到停业通知！
username,date,text
CARI_KJW,20171102,"GCH零售私哧葟人諏笞栫有限公司懿绣于星期三（1日）宣布，嫯硉锢国内5家巨愽蜭人霸岔弰级市场（GIANT）即将停业，但却懹氎岤有GIANT员工欆枉墒爆料，指部俀捺分员簛盈击工在誩十镆庮一星期前才收蕳鱷龄到停业通知，还抰姶蓙来倄漵欉不及规划下絷鵯秂镫飸一步就鮍屇鬤已成彝屶黑为“失业人闦汷檹士”！一籉鉎名俜旒不愿透露姓名嬽崟贅的GIANT员工儎慿告诉自由今日大覨汿马，几乎所曎栶有受影响员蛾饈工，如駂劬今都感閧殰到“前途茫茫”。“公司给我蔅粢鵃颭们两顎蛻个选择，一赑蟊秪是馊彝接受赔偿金，二则橍謨是到貈姈其他温傸閝敳筙分行工诃鸃缄扊作，但那些分嵅靐烞行不洄徙愴一雦鹉定有皜錨鹪职缺。”该名员工奝殳慪表示，莎阿南城市中鱣闤餷心的襂蝢溃GIANT将在辥濜11月5日停业，而清空存货囄卹僱大约需要囚拣一繍覲袒个蒅猓月的琗堜时蠍胱间，惟她仍然没想好，氦顑下一愷鈹脴步究竟该怎么做。另柶旇一名员工迃唵凉Mariam则表示，公司向员工耹畑硙解释，称“租凭包蹴基到期”才会悙蠕突然关闭分舘弘濕行，但据她观察，来賍幈弍莎阿南城市働攵中心GIANT购物的缨迉聳消费者鍳饉鹞一般都是鄁鶧艝萝在附近工猍臫貁衢漑作颎天的人莸懱，极少顾客之余，销售额也鏃米不理想。你也可槨嘠以看5家巨蝗艿甾人霸撽葲级市场停业 贸消部长：跟经济低迷无关"
lier-king,20171102,"林冠英出来解释一下。。。。。我先替中立pusing"
夕阳子句,20171102,"5间停业了，那大概会有多少人失业？"
まゆゆ,20171102,"公务员有空缺，公务员欢迎你。"
仓底货,20171102,"巨人卖 shell helix ultra 和 mobil 1 RM99 让人回味无穷。"
Jason929,20171102,"有賠錢犯了什麼法?"
SIEWMIN,20171102,"平常沒促銷價格都偏貴消費者越來越精明，加上行情壞看緊荷包所以生意越來越競爭不少tesco也是重新裝修騰出更多商鋪出租給其他業者aeon big也關了不少間econsave，99馬來友族寧願捨棄一馬，也關顧這些價格比較公道的商店超市"
拖衰家,20171102,"太竞争了，jaya grocery, tesco, aeon big , 99mart , aeon , 等等其他的商场。  "
yk13,20171102,"乱讲话之前不是有部长说Giant关闭不是因为经济不景气，而是要搬去更理想的地方和租金吗"
皇上爱皇朝,20171102,"都是淘宝的错。    "
Weida,20171102,"五间巨霸市倒闭相信应该同蓝旗党党朋政治有关系或者资金被冻结才倒闭！"
lumixcer,20171102,"现在的行情，消费者勒紧裤带，加上恶性竞争，没人流的地方是hold不住的。。"
chtan69,20171102,"我也是很疑惑。脑残部长刚说是搬去更好的地方继续营业，这边厢却说没生意需要关闭。"
雷克斯R,20171102,"打貿消部長的臉? 好大的膽子! "
crovoseas,20171102,"有br1m，eis，赔偿金，怕什么？？！"
c.c.chong,20171102,"Giant的大部分马来员工应该是投那鸡一票的吧,那就是你们自找的。"
c.c.chong,20171102,"Giant 卖的无骨雨刷sparker也非常好用"
无名好留,20171102,"劳工部不是规定需要赔偿的吗？"
leouy,20171102,"是不是要提早通知你+赔钱？如果提早通知你就是早早让你知道几个月要走了，那时要赔吗？"
yewchang,20171102,"如果不是你做错事被炒鱿鱼，被裁员都是有得赔的，看工作年数。"
猴年馬月,20171102,"巨人出手太快，失業員工等不到就業保險。"
EdmondKuan,20171102,"生意越來越競爭, hard to survive"
mark,20171102,"麻花中立说林神必须出来交代"
loongken,20171102,"要感谢震虎。"
prince,20171102,"undilah Bankrap Niaga！！！"
prince,20171102,"giant 早就静悄悄倒了好几间，这次一次过倒5间，都是亚洲第一cincin鬼才的功劳！"
alexchng399,20171102,"上个月刚好到沙阿南就顺便逛巨人，令安大跌眼镜是巨人自家品牌的食用油卖RM19.99，假如买了又买的价是RN18.99。马上扫10支。"
舞猫猫,20171102,"投狗阵，失工作  "
aidj,20171102,"大势所趋 各行各业自动化明天特意购就开始启用customer self-service counter很多顾客跟POS 收银员谈到旁边的多部机器听TA语气 似乎知道不久将来工作也保不住了"
aquamax,20171102,"又不是全部倒完"
mark,20171102,"如果在槟城的话， 麻花中立又要进林神的帐了...."
firehawk,20171102,"跳去一马商店咯 。。又是土著自己人 。。。"
Orochimaru,20171102,"没有犯法  其实和中国大妈抢奶粉有付钱一样咯"
lancer12,20171102,"没有办法，现在经济，唯有默默捱下去吧"
Orochimaru,20171102,"哪里等得到哦？ 这个保险有一条law根本是帮忙A钱，第一次claim有个条件，要连续两年都有缴付保费才可以claim! 也就是说震虎这两年只收保费进口袋，完全不用出钱!"
Akira_sendoh,20171102,"猫猫几时酱粗俗？"
舞猫猫,20171102,"酱都算粗俗咩 "
monster.inc,20171102,"kedai 1 Malaysia 员工不知道怎么样了。"
神垂死,20171102,"人家也素pasarraya，为什么人家NSK和mydin越做多大？就素giant卖的东西人家杂货店都能找到的不会特地去那边买，卖的东西毫无新意，如果新颖的百货公司能卖多点市面上找不到的东西肯定还能生存，比如hero和grocer jaya就卖很多外国的零食~"
scliem,20171102,"线上搞好的话对接线下或许不用搞到关闭吧...巨人没有在这块发展...特士购在这块做到不错...泳望的S....网购平台不懂几时会向钻石五看齐..."
