Topic title: 彭亨25华小去年零拨款！
username,date,text
cyberjaye,20171102,"彭亨华小零拨款槟城华小有制度化拨款身为前华小生，大家明年大选要投谁已不言而喻！换！http://www.enanyang.my/news/2017 ... %E6%8B%A8%E6%AC%BE/"
洗零,20171102,"彭亨州的马华一流！"
teachew,20171102,"这里不是槟城，马华公会和民政党还有佳礼中立是不会理睬的！"
巴士来啦,20171102,"彭亨州的马华正义必胜 "
cyberjaye,20171102,"话说暗中来的选区在彭亨。文冬的选民应该要知道怎么做了！明年大选给文冬华小复仇！"
洗零,20171102,"文冬和bukit tinggi每逢佳节倍塞车暗中来 正义比胜！"
cheefong33,20171103,"不见了的意思是什么？在肚子了"
cct2050,20171103,"事情看两面无能落魄党 MCA 的资料 华小5000万令吉拨款课题：问与答华小5000万令吉拨款延迟发放的课题，引起华社高度关注，也少不了对政府的批评。但这些批评当中，也存在许多误解和不正确的地方。这份《问与答》，希望能厘清一些概念和事实，让大家对有关课题有更全面的了解。（一）问：拿不到5000万，华小就一毛钱都没有？很多人以为5000万令吉是华小所获得的全部拨款，如果5000万令吉没有发放下去，华小就一毛钱都没有拿到。但在现实的情况中，我们明明又看到，在5000万令吉拨款延迟发放的情况下，全国各地华小都还是正常运作，老师照常上班，学生照常上课，没有因此而停课或关闭。这说明5000万令吉不是华小所获得的唯一拨款，也不是华小所获得的全部拨款。最重要的是，华小也根本不是依赖这笔5000万拨款来运作的。（二）问：那么，政府拨给华小的拨款有哪些？简单来说，政府给予学校的拨款分为两大类：1、行政拨款2、学校维修及发展特别拨款上面提到的5000万令吉拨款，就是“学校维修及发展特别拨款”（简称“特别拨款”）。在政府拨给华小的整体拨款中，“特别拨款”只是其中的一部分。（三）问：什么是“行政拨款”？“行政拨款”是政府每年公平分发给所有学校的拨款，是按照各学校所需的行政费用，以及学生人数和科目，制度化的拨给全部学校。行政拨款当中，包括校长、副校长、教师、校工、保安的薪金，占了最大的比例。华小每年的行政拨款，是数十亿令吉的数目，以最近6年为例子，例如， 2012年华小的行政拨款是20亿令吉，2013年是24亿，2014年是25亿，2015年是25亿，2016年也是25亿，2017年则预计超过28亿。华小近6年的行政拨款（四）问：什么是“特别拨款”？“特别拨款”的正式名称是“学校维修及发展特别拨款”，是特别拨给政府资助学校，专门作为维修和维护校舍用途的额外拨款。在媒体上引起关注的所谓5000万令吉拨款，其实就是这项“特别拨款”。（五）问：你说“特别拨款”是拨给“政府资助学校”的，那什么是“政府资助学校”？我们的各源流小学分成两种，一种是“政府学校”，另一种是“政府资助学校”。“政府学校”以前我们称为“全津小学” ，就是学校的土地和建筑物的拥有权都属于政府。“政府资助学校”以前我们称为“半津小学” ，就是学校的土地和建筑物的拥有权都不属于政府，而是由董事部等相关单位拥有。事实上，由于校地归属权的因素，各源流小学都分成“政府学校”和“政府资助学校”两种类型，而不只是华小有政府资助学校。（六）问：那么，为什么政府资助学校需要“特别拨款”呢？政府学校，由于学校的土地和建筑物的拥有权都属于政府，因此学校校舍的一切维修和发展工程，政府都必须承担。而政府资助学校，由于学校的土地和建筑物的拥有权都不属于政府，因此学校校舍的维修和发展一般上都由学校本身负责。在过去，政府资助学校如果要维修校舍和进行发展，学校董事部本身必须自己想办法解决相关的费用。但是，自从现任首相纳吉在2008年担任财政部长后，政府就开始每年固定发放一笔拨款，让各源流的政府资助学校作为维修和维护校舍之用，这就是上面提到的“学校维修及发展特别拨款”（简称“特别拨款”）。（七）问：华小过去几年获得了多少“特别拨款”？从2008年开始设立这项“特别拨款”开始，华小过去9年共获得超过6亿令吉的特别拨款：在有了这笔特别拨款后，政府资助学校都能用来维修和维护校舍，因此近几年来，华小较少发生诸如校舍坍塌、漏水、白蚁侵蚀、厕所堵塞等硬体设备损坏的问题。（八）问：2016年财政预算案的华小“特别拨款”到底是1650万令吉还是5000万令吉？在2015年和2017年的财政预算案中，都具体列出各源流小学个别获得的“特别拨款”数额。不过在2016年财政预算案当中，并没有明确说明各源流学校个别获得多少“特别拨款”。当时的预算案只是宣布，拨出总数5亿令吉“特别拨款”给各源流学校。5亿令吉是拨给全部学校的总数，至于每个源流学校各获得多少，没有说明。但是，首相于2016年1月再提呈新的预算案时，大幅减少了各部门拨款，其中包括教育部的预算。因此，2016年给各源流学校的拨款是1650万令吉。只是，马华认为1650万令吉对华小而言不足够，因此决定不接受这笔拨款。也就是说，不是教育部不给钱，而是当时马华决定不接受1650万令吉的拨款，并坚持要为华小争取获得5000万令吉拨款。当时，各个源流学校，包括淡小、宗教学校都接受了1650万令吉的拨款，只有华小决定不接受，因为马华坚持华小应获得5000万令吉拨款。较后，经过马华领导和首相纳吉讨论，首相答应把华小的“特别拨款”从1650万增加到5000万令吉，而这笔拨款在2017年2月26日开始分发，并于3月29日发放完毕。因此，反对党一直强调所谓“华小5000万在哪里”、“5000万不见了”，其实是在误导人民。 "
mark,20171103,"亿里路部长不是说2015 和2016 年的拨款全发放了吗？？"
山村野夫,20171103,"不谈数字谈信心，彭亨州选民一定要对马华有信心。"
