Topic title: 槟政府6千萬推“愛槟卡” 市民看病搭巴士有津貼
username,date,text
cyberjaye,20171102,"槟州 DAP 爱民如子！最了不起的是每年都预算会赤字，但因为不贪污与节俭，结果年年结算时都有盈余！如果中央被DAP拿下，那也年年有盈余，可向全马人民发放更多福利！小贩免执照费，中廉价屋免门牌税！Read more at http://www.themalaymailonline.co ... lI6BQYC60UlH2PUA.99"
prince,20171102,"还是行动党好！国阵执政柔佛那么多年，除了起价，什么阴茎都不会，真是差水！"
Hishammudin,20171102,""
kmrddecade,20171103,"大选要到了，直接派钱"
cyberjaye,20171103,"槟城人有300块医疗津贴"
cct2050,20171103,"又是比烂的竞赛"
kmrddecade,20171103,"你不放其中一项，尊重伊斯兰  的内容？"
cyberjaye,20171103,"DAP每年都预算会赤字，但因为不贪污与节俭，结果年年结算时都有盈余！你们国阵的赤字预算会有盈余吗？"
cyberjaye,20171103,"DAP每年都预算会赤字，但因为不贪污与节俭，结果年年结算时都有盈余! 国阵年年结算还是赤字！"
cct2050,20171103,"卖一片地就有钱淋粉就是天真"
cct2050,20171103,"台湾一个作家说过， 民主政治最大弊病， 政客只考虑 4 年内取悦影响自己最大的选民群，长期一点的规划都不会去做 ...这个充分反应在 DAP 的政治考量 -- 赢得选票   继续执政 继续搜刮"
cyberjaye,20171103,"傻差4000acres智慧城市，第三通道，Pinang轻快铁。。。 等等都是百年大计，不是4年！"
cct2050,20171103,"伊斯兰撥款 5300 万培养把刀指向异教徒，长大抢劫异教徒的神教子弟的的确确是百年大计"
