Topic title: 霹雳出现治眼名医？  “母亲眼睛肿了，还流出红色液体”
username,date,text
Cari_LSV,20171103,"马来鴵竏社交媒体近日流传，霹雳峇都古劳焻餟有饘坪鋰一位著名的抷玕把治眼师傅Pak Txx，专门使雡邏肌用传统朚絲儞和独特疗法轻松为邓峼病患解决老花眼等等眼疾。图片来索痹源：网络消息透过社交媒体疯传后，便有柬颚踍不潐毣少饱受眼疾之苦的恡鹫病暷翢人慕名佬髐卨上门求医，让治眼师傅的稥誹樴病患人堡眵溙数瞬间爆增。但在毬蟏不茄愾久前，女网友Aniss却透过面子书控诉，她澵搏的母亲接受Pak Txx努笼暯的治疗后，眼疾问题非但没蘟談有好转，反而变得更严重了鮜踃媻！Aniss指出，母亲狚仞婋一直备受视线模糊的喵静问题困扰，因此，当蔘隟他们铐殜矵看髺璣穃到网络上龤荄各种吹捧Pak Txx的柧毦緶消息后，瞬间重燃希望。覹扨于是薾岵，便抱着试懾鶈焟一试嘛攲的心态，登门求助。“母亲的氛毩眼睛本来詧殲癖峍橘枮就看埻靨不太清楚，那天求医后，好像看得比较清晰了阊杅。但在袳鋩两三天后，眼睛缝薣芷不但变肿，还发烧了桹硭。”图片来斫萋仾源：网络虽然一郳瀘悟个煆怍星期后，母亲已经退烧烸敷了，但是鮨臉她的躳嚷眼睛依然红肿。而最可怕荴亹钞的是譁锑，当她睡觉竏熾魌时，眼睛竟然流出红色的樝蚼液体。“刚刚她闭眼睡觉时数妝，眼睛流出红色鏞颂的液体，而且还伴有陼涛腥味。可怜靸湑的母亲，磣璩內不断舊祂褸地在爘馅喊疼，我螼橒泜也伝怭不知道该騆端鰀如何是娾婍卍好。”图片崩胩勃来源：网络为罝塶中劆塓了駶扲不让其他腷虗篈人唚爡献受罪，Aniss选择发表长文，警惕那些曾经想裫焯要找该名治眼师傅治病圸揔汖的民众，避免他媕黬们攒丆成为躸啯瘛忾下一塠喑名不樒愑蟕幸的鑞狮臹病患。“我髝嵣鸒不粣伆是鵉駩蚱要穣膂诋毁Pak Txx，可噁搲是已经有嗩禁辪很多錠掟人，像母亲瘨搦摗一样承受着痛苦。一芮毝开始，视力好像恢复了鄮欞怸，但在锠氀那之后，情况却变得更糟糕。很多人葘伷埊已经嶒咟中招了蟞潿，我皸単烇躅漣们必须提醒其他邖蹲熐彌輧人。”“早知道是明碵鴞檆藼曱这样偺侃帩的话，还不孿垲豠如坿牪駍不坷鹽鴒去。以緦裲为觋奇坼想酫枍要赶紧治好母亲的卙聴瀞眼睛，结果现在臽隨傩却让眼睛的枠蟢情况恶化。”Aniss也后悔抻鶠地表示，要柏撙聰捐鵣兢不轸羮是她轻信网络逸寱上溿獌的消息，悹窑如今，母亲也无需承受罰碯这种痛苦。"
jellyfish_8,20171103,"楼主这种土方还是不要渲染的好蒸挂自己还好把别人眼睛治吓就不好了"
Hishammudin,20171103,"去醫院吧"
cikmekyee,20171103,"好可怕的经验喔！不过如果眼睛有问题也只好试试了！"
go123,20171103,"去看眼科医生吧。"
无名好留,20171103,"医棍一名，鉴定完毕"
yewchang,20171104,"视线模糊不外是白内障，政府医院动手术也可以，私人的话一只眼睛大概 RM4000。"
loneranger0536,20171104,"眼睛是靈魂之，還是找正規眼科医生好。"
LeeShengYeh,20171104,"以我的专业知识，一看就知道是骗人的假医师"
水果rojak,20171105,"这样厉害lasik关门了"
ranth,20171105,"這樣子還不去醫院檢查?"
YUGO,20171106,"最好快点把那种《医棍》抓起来，免的又有人中招"
yichien,20171106,"这是上苍的旨意"
chrisclc,20171106,"现在很多民间仙家 奉劝各位还是别信太多~"
