Topic title: 火箭檳州政府：比中央厲害，公務員花紅 2000；用2018預算案發2017儲備金做2017花紅？
username,date,text
一燈大師,20171104,"【更新：用2018預算案發2017儲備金做2017花紅？】2017 年尾花紅 $2000，用 2018 年的預算案支付？2017 年預算案沒年尾花紅，只有 0.75 開齋節獎勵金？然後被巫統議員指出錯誤後，就說用 2017 年的儲備金發 2017 年尾花紅？大選前討好公務員 + 沒做功課 + pusing + 笑死人。火箭檳州政府：比中央厲害，公務員花紅 2000；原來是用儲備金發花紅。原來連谷種也提出來當花紅派，這就是厲害的原因。這就是火箭的財務管理、火箭的財政預算案。派谷種，呵呵呵。"
158797,20171104,"这样的人可以改朝换代?重建比摧毁更困难百倍，希望投票人善用手上的票，投人不投党。"
一燈大師,20171104,"許子根 308 離開檳城當晚，州儲備一分一毫原封不動 移交給林冠英。原本 “前人種樹，後人乘涼”，怎知道 後人 把樹砍去派了。賣了那麼多億的土地，竟然要挖谷種出來哦。哎呀呀。"
dupont378,20171104,"如果成功入布城动用储备金发一年花红"
jellyfish_8,20171104,"为了继续在位，“晒冷”所有储备也在所不惜加油，伟大让人佩服的马犀利一号"
cyberjaye,20171104,"差查有开废贴误倒民众Pinang每年结算都有盈余"
一燈大師,20171104,"是賣掉 “谷種” 土地給發展商 的 “盈餘”。出示数据证明槟政府靠售地获盈余梁德明驳林冠英言论不实| 光华日报民政出示數據指責檳政府盈余靠賣地| 東方網所以 谷種 = 谷種，別說成 “盈餘” 那麼好聽。     "
一燈大師,20171104,"不夠再填海賣地，或修改了法令向中國借錢。"
jellyfish_8,20171104,"先用未来钱。。"
A1FF1E60-D781-4C88-A8AD-23F023BCF523.jpeg,20171104,"雪蘭莪 阿茲敏 也宣布 3 個月花紅。雪蘭莪人民請小心，雪蘭莪州政府開始籌錢了。一張 $1000 的 saman，誰中過？"
一燈大師,20171104,"Jj dap 說投黨不人，造成很多沒用的上位，有用的人不選，我被騙了"
kamloontai,20171104,"整天罵公務員花費國家很多錢又沒有效率的紅豆兵現在要說什麼？"
JowY,20171104,"還證明兩點：1）Penang Institute 發表削減公務員的報告是連檳城都不用的錯誤垃圾。http://penanginstitute.org/v3/media-centre/press-releases/895-press-statement-budget-20172）林冠英 每年撥款 300萬養 Penang Institute 發表錯誤垃圾報告。槟政府每年拨300万供运作"
一燈大師,20171104,"檳州公務員絕對不會沒有效率。。所以不算浪費錢 "
vvti_84,20171104,"用储备也好，还是花未来钱也罢最重要槟城要比中央厉害就对了中央给1000，槟城就给2000中央给2000，槟城就给3000中央给3000，槟城就给5000总之槟城一定要比中央厉害！总之槟城一定要比中央厉害！总之槟城一定要比中央厉害！重要的事要说三遍"
bkkt09,20171104,"还有三百万养一个厉害玩Fifa Manager的管理槟榔球队，让球队排行第一名"
jellyfish_8,20171105,"奇怪为什么紅豆兵没有出来护主难道忙在水灾避难？"
