Topic title: 槟城所有山坡危楼什么时候要停工？
username,date,text
jellyfish_8,20171105,"马犀利一号什么时候要宣布停工？还是草菅人命继续施工？"
6427346F-257F-4CCC-BB42-4D72E0AC7247.jpeg,20171105,"Hillslopes are safe, not ticking time bombs, says expertMBPP Geotechnical Consultancy Unit adviser Chin Yaw Ming said hillslopes for development are safe as these are properly designed and endorsed by Professional Engineers with Practicing Certificate (PEPC), who are registered with the Board of Engineers Malaysia (BEM) and have relevant experience in geotechnical engineering.Slopes that are properly constructed with engineering supervision are safe.Slopes that are regularly maintained are safe. Thus, properly engineered slopes are safe and not a ‘ticking time bomb’, Chin said at a press conference in Komtar today...Read more at https://www.malaysiakini.com/news/400345#iBxhAUL2djFVF657.99LZ误导人民，哪里有危楼"
6427346F-257F-4CCC-BB42-4D72E0AC7247.jpeg,20171105,"山坡发展是安全的，前提是有良好的工程设计，良好的监督系统，良好的施工技术。问题是，发展商，建筑商，州政府，做得到以上的要求吗？昨天的崩塌证明了一切，幸好豪宅没有人住，但那几间肯定成为危楼了。"
6427346F-257F-4CCC-BB42-4D72E0AC7247.jpeg,20171105,"山坡工程停工?你要槟城政府赔钱赔到破产吗?"
6427346F-257F-4CCC-BB42-4D72E0AC7247.jpeg,20171105,"屋主这次diu咯。"
坏孩子1989,20171105,"两百多粒不见。。。无语问苍天。"
kimtt,20171105,"都建好了，當然停工了。這次是平地。平地地陷。後面是幾乎 90度的山。山會山崩。"
~Zack~,20171105,"死了 11 人，也沒停止全部山坡發展，鄭雨週想用自己少吃 7 天飯馴服林冠英和發展商？  "
feilong,20171105,"嘴炮和搞民粹游行内行，干实事就外行。"
仓底货,20171105,"就算郑雨周饿死，JJDAP也不会理。"
一燈大師,20171105,"隔壁几间没有中，不过相信屋主也不敢住了。"
一燈大師,20171105,"你错了，原文是剑指建筑商和工程师，没有提到发展商和州政府包括州政府不follow guideline批准发展。"
kenny16031984,20171105,"技术不够，隔水防水没做好"
李国锋,20171106,"Tj bungah 发展商祝他们好运了"
158797,20171106,"发展商扑街咯，那些房子不用卖了"
158797,20171106,"不用担心发展商和jjdap他们赚肥肥只担心买来住的人民。"
byte77,20171106,"要是不幸买到这样的房子怎么办"
魔鬼终结,20171106,"若不幸买到，跳光大彩虹桥是唯一出路。"
热血江湖,20171106,"有钱人2百万马币算什么？"
kamloontai,20171106,"买的人也是该死。  明知道靠着山边建， 明知道是填土堆土围起来的， 还要去买， 助长了发展的气焰。现在可好了， 一拍两散。  发展商收了钱， 拍拍屁股， 一句破产， 就脱身。没有几个人可以告了政府， 所以， 当官的肯定也不会有事。只有买家大祸临头。 时间金钱双重损失。我家附近的山坡地， 也是这样建了新房子， 填的堆土有3层楼那么高， 而且也是有地下水， 建前居民都抗议， 也请了YB来陈情， 结果还是一样批准， 还是一样照建。 我现在就在睁眼看， 几时会出事。"
Engineer,20171106,"在香港和重庆，建在山边的建筑物比比皆是，也没有发生过有重大事件,可见设计得当，承包商无偷空减料，高地建筑物不是问题"
科学就是未来,20171106,"对有钱人来讲，亏RM 200 都是大事了，还可以忍受两百万变负资产？"
科学就是未来,20171106,"不是一间都没有卖出去，业主哭没有眼泪了"
山村野夫,20171106,"一夫当关抗群奸，党不爱郑雨周还有老天爷会爱。"
淋神无敌,20171106,"Uncle lim 不是完蛋！ 是developer垃圾。"
dupont378,20171106,"会批 不会监督"
jellyfish_8,20171106,"郑阿周太天真。绝食可以带来什么帮助？最好就是去光大拉布条，然后通知各个媒体和报馆记者"
jellyfish_8,20171106,"什么叫地下水？山坡的地下水就是山坡的小河流，为了山坡危楼，发展商就把这些河流给堵住，埋住，然后这些水不受控制的到处四溢，冲掉山坡黄土，流出黄黄的泥水。。"
vongolia,20171106,"州政府是时候全面检讨山坡发展计划。"
Carpenter,20171106,"有钱人和有权人的损失"
jellyfish_8,20171106,"看一楼的图，比淡江高原土崩惨剧还要够力！淡江的地基很稳，没有地下水，只是土崩。一楼的图土崩地陷（地下水冲掉砂石）。100%是危楼。这样的发展计划。。。 唉"
jellyfish_8,20171106,"看一直重复的杀狗，拆庙，搞回化，和华团对立，谩骂马华仔，水灾，地陷，土崩，人命伤亡。有没有贪污不知道，不过槟城被管理得很糟糕。八年毁掉一个槟城！"
李国锋,20171106,"槟城现在危楼比比皆是。"
一燈大師,20171106,"後面那麼大座山，是防不完水的，反而是要加強排水。但是消息說山下的土層有水流，更不應該在上面建房子。地陷 20尺，是最好證明。"
一燈大師,20171106,"有可能此地不如彼地。若人家山邊地方有岩層石塊，就會有更好的基礎供建築使用。"
一条粉肠,20171106,"你这个柔佛士姑来的快递员几时变了地质专家？"
hangz81,20171106,"这事我敢肯定一定会被大水灾盖过连一点涟漪都不会有，红豆也不会进来反驳"
一燈大師,20171106,"可以瘦身，和林冠英肥頭耷耳成強烈對比，就醬而已。"
chinapee,20171106,"都没死一千人。。。。 瓜瓜吵干嘛？  真是丢你啊信一灯"
jellyfish_8,20171106,"就算外行人，一眼都知道"
IRR2000,20171106,"一燈讲到你好像是土木工程师！！你肯定吗？？"
IRR2000,20171106,"Jellyfish_8  和一燈讲就天下无敌做就"
蓝血人,20171106,"林神抽了这么多危楼油水，几时赔回我家的家私和摩托？？？车都还没去修啊，你一句天灾但没事啊"
福气又安康,20171106,"好可惜的豪宅，眼看差不过要建好可以入住了却发生这样的事情。但是往好一面来想，幸好购屋者还没有搬入，否则，住了进去才发生，分分钟生命也不保。只能盼望发展商会做出适当的赔偿。这些山坡计划必须重新检讨。YB 郑应该马上就退党。而不是等到大选才退。"
总司令,20171106,"Matthew 7:24 “所以，凡听见我这话就去行的，好比一个聪明人，把房子盖在磐石上。Therefore everyone who hears these words of mine and puts them into practice is like a wise man who built his house on the rock.7:25 雨淋，水冲，风吹，撞着那房子，房子总不倒塌，因为根基立在磐石上。The rain came down, the streams rose, and the winds blew and beat against that house; yet it did not fall, because it had its foundation on the rock.7:26 凡听见我这话不去行的，好比一个无知的人，把房子盖在沙土上。But everyone who hears these words of mine and does not put them into practice is like a foolish man who built his house on sand.7:27 雨淋，水冲，风吹，撞着那房子，房子就倒塌了，并且倒塌得很大。”The rain came down, the streams rose, and the winds blew and beat against that house, and it fell with a great crash.7:28 耶稣讲完了这些话、众人都希奇他的教训．When Jesus had finished saying these things, the crowds were amazed at his teaching,"
一燈大師,20171106,"什麼時候了，你還放 rf rf 這種 “口不對心”、“幸災樂禍” 的表情。rf rf。"
一燈大師,20171106,"魯班師祖早在馬太的師傅 -- 耶穌出生前 500 多年就懂了。"
总司令,20171106,"两个都是匠人，各有千秋。"
Engineer,20171106,"阁下应该去咨询专业意见才来发表伟伦，以免贻笑大方"
一燈大師,20171106,"同意。現在的發展商注重利益無可厚非，但是官商勾結、偷工減料、無視地點，建造危樓害命，愧對魯班行。"
lam69,20171106,"没有死人不要紧，就算有人死也成立xxx委员会调查就可以了"
一燈大師,20171106,"中西方都有相同的建築規範。你連這基本的知識也不懂，自稱 “Engineer” 貽笑大方。https://cforum1.cari.com.my/foru ... amp;fromuid=2236753"
jackyboy05,20171106,"這只是幻覺。"
jellyfish_8,20171106,"如果没有偷工减料，如果有符合安全规格，可能不会一场雨就地陷塌楼。。"
jellyfish_8,20171106,"任何规格都是以安全为前提。可能他的规格比较不一样。"
jellyfish_8,20171106,"请问“槟城山坡危楼”可以算是“豆腐渣工程”吗？一场雨，地基的泥土就被冲掉，地陷，塔楼槟城还有多少类似的危楼会为了安全而停工吗？"
