Topic title: 驳反对党卖国论　纳吉轰「卖你爸爸的头！」
username,date,text
abc74,20171106," 最后更新 2017年11月5日 17时54分驳反对党卖国论　纳吉轰「卖你爸爸的头！」（吉隆坡5日讯）  首相拿督斯里纳吉驳斥在野党的「卖国论」，更以「你爸爸的头」怒骂在野党的言论毫无逻辑，欺骗人民。他今日为马华第64届代表大会致开幕词时说，在野党曾放话，若贏得来届大选，將会修正许多政策，包括与中国签订的一些协议。「他们恫言要改变一切，说得我们好像真的已经卖了主权似的。什么卖主权？（卖）你爸爸的头！」此语一出，立即引来全场哄堂大笑。他接著为自己的失言行为道歉。「对不起啦，我用了一些比较粗俗的语言。因为这实在是不合逻辑，哪来的出卖主权？愚蠢！你们（在野党）很愚蠢！但我们不愚蠢。」他以前首相敦马哈迪在亲自走访马中关丹產业园后指国人不能进入產业园为例，称这个说法「极其可悲」。「大马人民不能进入关丹產业园？愚蠢！这实在是极其可悲，想要欺骗所有的大马人民。这里是马来西亚，是我们的国土，属於我们的主权，所有人都可以进入，包括大马人。」他说，他之所以愤怒至极，是因为在野党在说谎，发表一些荒谬的言论。「（在野党）去到森林城市后又开始作出各种各样的故事，拜託，森林城市的土地都是填海地，不是柔佛州的土地，当然可以卖给外国人。」「你以为大马人是笨蛋？他们的脑袋不能自己思考？这国家真的不能由一名93岁的老人（马哈迪）来领导。」纳吉也奉劝国人不要支持在野党，並揶揄马哈迪是一名「完美的人」。「（行动党国会领袖）林吉祥曾说马哈迪是所有问题的根源，如茅草行动、宪法危机、柏华嘉钢铁厂丑闻、外匯投资等，他还说过，马哈迪是最大的独裁者。」他指出，在马哈迪执政的时代，许多人在內安法令下被捕入狱，包括林吉祥、卡巴星及林冠英，马哈迪还在茅草行动中逮捕了逾百人。「请问我援引內安法令逮捕了多少人？零！因为我是那个废除內安法令的人。」「马哈迪说，那是警察的错，他只是听从警察的话。请问马哈迪什么时候听过警察的话？听过副首相的话？都没有。因为他是个完美的人，除了他，其他人都不完美。」他说，即便在野党在上届大选贏得不少的选票，但仍无法成立政府；下届大选也一样。「你（在野党）並不是最强的代表。」http://www.orientaldaily.com.my/s/219096"
cyberjaye,20171106,"MO1没卖国贪腐，祸国殃民je"
yming2475,20171106," 馬華的口號 ： 戰戰戰  我以為他們在喊 ：漲漲漲 "
mark,20171106,"国库和 EPF 是 MO1 的 pocket money, 所以不存在卖国论"
一条粉肠,20171106,"就好像那些老千金钱游戏的口号，什么赞赞赞、亏亏亏的，马华不愧是千中之王的大老千。"
李国锋,20171106,"老马上台，废除与中国合作。"
Barryliaozs,20171106,"在野党不是上届得到不少选票，支持他们的普选票超过执政党呢。 "
loongken,20171228,"当今大马 (Malaysiakini Chinese Version)31分钟 · 【免费阅读】新加坡《海峡时报》指称，一马公司是把属下两家公司的股权，售给中国官企，才得以付款予IPIC。================订阅 #当今大马，支持独立媒体！http://subscription.malaysiakini.com/cn一马公司卖资产给中国，才得以还IPIC款项？《海峡时报》指称，一马公司是把属下两家公司的股权，售给中国官企，才得以筹款还债 。                                       1MDB向中国脱售子公司股权还IPIC债务一马公司昨天在第二笔还款中终于还清了拖欠阿布扎比国际石油投资公司（IPIC）总额...KINITV.COMMALAYSIAKINI.COM"
元旦8466,20171228,"卖填海地不等同卖土地…？！！那么整个马六甲海峡都可卖掉了！"
元旦8466,20171228,"反对党应质它几时会卖掉马六甲海峡沿岸一切。"
家驹,20171228,"我觉得最可能卖国的是林神"
