Topic title: 首相夫妇抵槟州巡视灾区  林冠英亲自迎接
username,date,text
CARI_KJW,20171107,"首相拿督斯里纳吉簸褜于星期二（7日）飞抵槟城巡视灾区，由槟州首长林冠英亲自迎接。图片糈肯来源：星报据星报，与纳吉同行畁粗的包括首相夫人树昈罗斯玛彣眍以及交通部长拿督斯里廖攒躮中莱。图片詅縲来源：推特纳吉是叀摐厅怚糢于今早9时餌貽隒45備俒分左右抵达威省办事处，亲自向当地蔝軺硺官员东妨了解灾情，事后也窷扢会前往各个凜刨鳽灾区，橖餩糿了解灾黎嫟厝的情况及聆听灾黎的觸伝需求。"
仓底货,20171107,"半夜流出鳄鱼的眼泪达到效果。"
jellyfish_8,20171107,"选不能治水的倒不如给阿耀哥一个机会？"
Mr.LowGimWei,20171107,"纳吉哥和淋神靠那么近 肉麻啊"
Ragnarok026,20171107,"麻煩了，救災的時候就少把什麼事都拿來政治化執政黨和在野黨各自都掌握著一部分解決問題的手段，只有兩者放下恩仇攜手合作，問題才會得到妥善的解決"
Hishammudin,20171107,"廖：收手吧！"
仓底货,20171107,"奇怪，国阵为什么不派他去对抗他的哥哥？"
feilong,20171107,"有人当武松是英雄，因为武松经常吹要打老虎。可是看到老虎的时候就怂了，这时候粉丝赶紧粉刷一番。相信这样的khaxiao将来会打虎，不如相信母猪会上树。"
我很很好,20171107,"好朋友，握握手"
flashang,20171107,"被招安了？到底是要算清 mo1 还是老马？ "
Barryliaozs,20171107,"除非纳吉是为党务而来，不然中央领导来，地方首长迎接，陪同是很正常的。"
草根一名,20171107,"在野和在朝是时候组织联合政府了。"
unhpyppl,20171107,"猶如港特首迎接大陸主席。"
BBJ,20171107,"政治的角度来说：纳吉去是因为副首相已经先去了吗?首相不要让副首相独赢。这是不是首相和副首相之间的角力？"
calvin_siang,20171107,"以民为本"
deadman,20171107,"那么多人都跑去了，首相无论如何都要露下样子的。"
unhpyppl,20171107,"錯了，是要訓練承繼者。"
Hishammudin,20171107,"扎希是国家中央天灾管理和援助委员会主席人一定要到"
lier-king,20171107,"大丈夫，能屈能伸，一时的低头不代表永恒的失败，再说我们可是有交税给政府的，如果中央政府袖手旁观，那就不要拿我们的税。"
michaellmj,20171107,"肥婆河马也来了。。。希望水灾的水位不会在增高。。。"
mark,20171107,"希望麻花中立别政治化"
cct2050,20171107,"林家早通过纳兹里和纳吉暗中来往密切"
RingRingRing,20171107,"果然是以民为本的首长 赞"
carine,20171107,"好朋友，握握手"
BlazeA4,20171107,"老實講天災面前人民想看的是不分朝野大家合作所以林冠英其實這次的PR crisis處理得很好巫統人也很精於PR都盡量在人民面前留下好形象唯獨賣華最腦殘去諷刺人所以才會招致人民的怒火"
一燈大師,20171107,"現在見到面又不敢講 26億、1MDB。"
一燈大師,20171107,"來看看漢奸去諷刺人。 "
kennyteoh818,20171107,"过几天又在开战了。呵呵"
forte,20171107,"boleh land史上3大贪官之一的马鸡白，我在场的话一定举这个牌子 （不要跟我讲赈灾为重，赈灾和打贪官并不冲突，救灾是国家责任，不该由地方政府负全责，烂鸡敢阿之阿左，选民不会放过他）"
1 (1).jpg,20171107,"这次林冠英有2大收获。1. 只要不骂人赖天赖地，做该做的，声望一定飙升。2. 永远都有人在助攻，而且是那种长途奔袭，过掉11个人，面对空门时把单刀机会让给你的神助攻。第二的是在说后门部长闻哥，和十多个人帮忙拿bomba hose射水的祥哥。"
forte,20171107,"政治是酱的啦，有几个人记得？不管哪一边，都有时常有人做这种事。人民的善忘、盲目崇拜、维护利益、过份的善良，造就政棍的肆无忌惮"
forte,20171107,"笑死人，林神没有当面质问1MDB和26亿吗？"
建铭,20171107,"行动党若加入国阵，马航三七零事件将会再次重演，吉隆坡双峰塔将会被骑劫的马航客机给撞毁，全球穆斯林的骄傲双峰塔将会在一夜坍塌。"
山村野夫,20171107,""
Hishammudin,20171107,"JJDAP的骨气去了哪里?"
李国锋,20171107,"又吵 "
江左梅郎,20171107,"这一次林神处理得很好。。。"
蓝火爆,20171107,"搞屎棍就是你这种人。。。"
蓝火爆,20171107,"为了槟州子民，哭一哭演一演又何妨？"
蓝火爆,20171107,"mo1是谁？河马是谁？"
山村野夫,20171107,"能赖就赖，不能赖就哭，林冠英果然是百年难得的好人才。"
蓝火爆,20171107,"比马华民政的好一点点就够了。。。足矣。"
phoi86,20171107,"有了闻哥的衰多口的借镜，朝野都了解到现在绝对不是吵架的时候，谁先开口谁就死。灾民会说：你们要怎么样乱也都算了，可现在你们得先帮我处理我的家园呀。。。"
一燈大師,20171107,"人民給了 2次、執政 10 年機會，全部荒廢掉，最後要納吉打救。這就是口口聲聲說要執政中央的火箭黨無能州政府。"
yk13,20171107,"污桶，麻花，民政三大领袖一起现身槟城，支援林首长全力救灾做么不见火箭盟友公正党，诚信党和土著团结党去槟城呢？搞什么鬼啊~~"
一燈大師,20171107,"什麼時候了，還鋪紅地毯，奴性就是奴性。"
重甲霸王,20171108,"红地毡是礼貌，可能是标准程序需要的，不是林首长亲自安排的。奴性。。以下这个就是显露奴性。"
重甲霸王,20171108,"连同野蛮人欺负自己华裔，这种人和党也是奴性。"
ijibang,20171108,"看来 山人 预言的事可能要发生了。。。学 各辣干 投入 鼻恩 然后被 病狼人唾弃。。。"
flashang,20171108,"扎希这次的处理和发言就让人心服口服了。 "
淋神无敌,20171108,"林神又假狗干嘛不投诉那几亿的治水资金。又怕死了。"
Net.City,20171108,"还是要弯腰。"
IRR2000,20171108,"一燈小朋友无理取闹！成熟一点吧！！"
jytxi,20171108,"不懂这个亲密举动宗教师眼里的阿拉会不高兴吗？"
lier-king,20171108,"那也足以证明中立PLP狗和中央政府根本不能替马国做事，政府就应该换。"
chinapee11,20171108,"中央政府要玩你槟城， SO WHAT？　最多你不就在厕所／CARI喊　。    喊完了。。 也不就狗狗的去还税。。。。。。。"
lier-king,20171108,"我为什么要喊？我赚的钱是有良心的钱，我交得心安理得，我身为一个好公民交税是我应该做的，反而啊，你们这些中立啊，为了钱当一只哈巴狗赚了违背良心，生孩子没屁股，祖宗十八代都觉得羞耻的钱，我还真心做不到，人什么都可以做，就是不可以做汉奸狗啊，你这样你父母知道吗？或许你父母也是狗吧，好可怜。"
chinapee11,20171108,"lier-king 发表于 7-11-2017 01:53 PM大丈夫，能屈能伸，一时的低头不代表永恒的失败，再说我们可是有交税给政府的，如果中央政府袖手旁观，那就不要拿我们的税。上面那句。。 是人说话还是狗吠？    我叫你认命吧。。。 吠了还不是狗狗结受。。。。。 "
W5567T,20171108,"你第一天认识小林? "
一燈大師,20171108,"不講 1MDB、26億，也可以提潛水艇、蒙女 呀。還有，平時 LCLY 的樣子，怎麼在馬華民政前縮骨又低頭？"
W5567T,20171108,"人民給了震虎14次執政 60 年機會, 全部荒廢掉，最後要人民支付消费税打救 "
一燈大師,20171108,"檳城人民捐了 10 年給火箭，現在不拿出來賑災，卻還要向大眾籌款。檳城人民捐了 10 年的錢去了哪裡？  "
W5567T,20171108,"那人民支付的消费税去了哪裡？ "
loongken,20171108,"不怕被人踩而求於对手这种就是以人民为先能屈能伸的好领导。"
matt_att,20171108,"你现在住在深林里？？ 全部废掉？？"
一燈大師,20171108,"你家裡沒電視，還是沒看參政預算案。"
followme123,20171108,"之前 北馬大水災 還數落 Jib Gor 幾差幾差，現在要求救了"
chtan69,20171108,"终于学乖了。不像上次柔佛大水灾他却跑出国"
W5567T,20171109,"老子住在 KL。 但这里逢雨成災，马路坑坑洞洞，野猴飚车，匪徒如猛虎，殺盗姦掠几乎常常发生。 好像跟深林没有什么分别。"
W5567T,20171109,"請分享细节多少数据。誰不会放屁？"
一燈大師,20171109,"你意思是，氣象局放屁後，專門找的快遞小子，把屁裝進袋裡，交到你面前打開給你嗅嗎。"
W5567T,20171109,"就知道你只会放屁 "
matt_att,20171109,"老人， 美国，都这样。。。感觉你还真的活在深林。。。没看过世面。。。ok ...明白。。。。"
feilong,20171109,"你看，说送人家轮椅，现在还不是头tap tap，眼sap sap。最厉害就是在槟城人面前装英雄。慈母多败儿，慎之。"
W5567T,20171109,"拿大马来跟美国比？ 憑什么？到底是誰没见过世面。。笑死人!"
W5567T,20171111,"总好过那只鸡，370事件发生时，他还与河马在 Pavilion 血拼。 "
