Topic title: 明天油价再涨7分，现在是严重的不正常的价格了
username,date,text
12A123,20171108,"   麻花和民政完全相信价格的变动？！"
kmrddecade,20171108,"难道现在世界油价在大跌？"
cct2050,20171108,"国际油价大涨"
IMG-20171107-WA0070.jpg,20171108,"稍安勿躁，应该没起这么多 "
完美@1010,20171108,"你po这里没用的，那些中立狗奴才每天在家插他们自称的淋神没出街的，起不起没太大影响"
paranoidx,20171108,"国家油价离129美元的价格还很远。。。气油价格已经要接近历史顶价了"
12A123,20171108,"还不到历史顶价格的一半"
12A123,20171108,"文告都出来了"
12A123,20171108,"七月六号开始到今天十涨三落，一公升起了36仙。"
snsv,20171108,"還沒宣佈不是嗎？"
使用者,20171108,"你的文告在那看到？"
完美@1010,20171108,"秘密"
12A123,20171108,"【大马最新[backcolor=rgba(88, 144, 255, 0.15)]油价预测报告！】下周预计油站零售[backcolor=rgba(88, 144, 255, 0.15)]油价(2017年11月09日-2017年11月16日)"
loongken,20171108,"不会超过5分的，不要吓人了"
完美@1010,20171108,"那么等一下，你就不要看新闻了"
12A123,20171108,"没力了，国际油价大涨"
qiqi51,20171108,"涨 7分 pakcik、makcik 应该还是会选国阵，除非涨 7角啦！"
firehawk,20171108,"不知中立会不会提一提阿都啦时代国际油价美金140时他提高无铅油到马币2.70马上就被拉倒下去的事件呢"
Mktp,20171108,"ok,拭目以待 "
完美@1010,20171108,"看到了吗？"
Hishammudin,20171108,"超過$60 RON97都來到RM2.60了再突破$100，我在等著看納吉的功力可能他會仿效政府醫藥津貼那般拿來曬冷，到時國陣沒有輸的理由。"
prince,20171108,"那贼要更多钱收买反对党议员，当然要涨价啦！"
pupuman,20171109,"在等待pakcik makcik 的反省，希望不是等到我归西都未发生"
qazz1947,20171109,"刚刚取消了收费站"
完美@1010,20171109,"下次有内幕消息记得再分享  "
科学就是未来,20171109,"对咯，非常不正常，竟然跟中东产油国在同一个levelhttp://www.globalpetrolprices.com/Saudi-Arabia/gasoline_prices/之前沙地砍汽油津贴，现在应该是恢复了"
haku,20171109,"马来西亚是产油国，世界汽油上涨政府不是赚更多吗"
Weida,20171109,"汽车价会持续高涨大家有排唉！"
完美@1010,20171114,"明天的油价也是起7分？？"
12A123,20171114,"在考虑7分。。。明天早公布"
12A123,20171114,"反正是一定有5分，打油去吧。。。不要排队"
zmsoon,20171114,"照这个星期油的走势，又是起的啦。这个星期压的住，下个星期玛是要来的。"
完美@1010,20171114,"谢谢老板通知"
weiwei318,20171114,"再起下去看来要买辆2手prius c来开了，听说很烂价"
好学生坏学生,20171114,"身边的人都说明天会起价，个个都咬牙切齿的样子。"
12A123,20171114,"30k 5 yr"
wei2,20171114,"老板真有钱，又换汽车了"
everyonecan,20171114,"这个星期听说又起七仙"
绝地榴莲,20171114,"以前一个月起1角， 要起7个月才有。现在一个星期起7先， 10个星期就有了。"
weiwei318,20171114,"讲而已啦，怕买了被汽车板块的人笑水鱼"
