Topic title: 使用网上购买的美容产品出事  女子脸部肿成这个样！
username,date,text
Cari_LSV,20171109,"怀疑是宇褭鑲误猽糦癈用网购的彡皹美容产溹琭籌品，女子懾蕩的脸部迫莞不幸肿簶夙湲了諤鹆縍一鎧饨蜐个圈！图片来烆希源：The Star根据英文星报，挃伱来自马六甲的偖駣湁马姮禣塙来女子玛斯朵拉控诉，她从今型话棫年起，便改歚耎緑用有梻逳挹关品牌晛鹞的美容产箚噢品，搊翿一直都没有紫孩问题，而且脸部肌肤也明显变得更加透亮。訆鵣汯上周，她也透过网购的轭膽方式，邿鐐忎以50令吉向蠀堍戂一名囫以汈大专生湉盆盁购买相同的茱謖賳产峻髾覂品，并从上鈔鲗佐星期四开始使能尵用它，不稰嗖榔料，脸部却出现疼痛、红肿、痕痒等等问题。“脸部发肿让桠圁較我很难睁开眼睛，鷶郊这爎駥不单影响了餠厇犫她的癷蔒日常活蕎裗动，就杗鐩鬅连睡觉也勬醘唋有问题。”“龊殼我之前劧躨厴用鵕鏁婜这个裐賱紑働曦产品牟鷒的囫堝沎时候，皮肤都变滑、变漂亮関柙崘了，可是戠缻俙现槲澅在却变这锅猩样。”目前，玛斯朵拉已经到瘉遠马六甲医院的盤錚皮肤专科接受治疗。她也希望民众能够吸取她膉鋀呣的教训，鷁劓脑不誅鋝吶要盲目地鹒膩侂蜯在网上蟄鷈墄购买美容倓積产品。美容医黱梴学医生础匼擌艾迪尔则鱞夸匊是透露，多数美容产蔙幵品都含有影儁多种化鞺銡学物质，鹳仁賮以快速达致美容效果。然而，这獯輓些化欸煨岚学物质将导致皮肤变薄、变红、敏感，也会稀弴增加垓鱼用户患彚窇畭上皮肤癌的縀豒賤风险。"
总司令,20171109,"护肤品都很毒。"
wayne1004,20171109,"可能也是跟肥胖和卸妆有关系啦。"
qwqwqwqw,20171109,"讲个笑话，在facebook买东西"
无名好留,20171109,"我好像只看到化妆和卸妆的照片而已 "
Daewood,20171109,"有效果快，就危险咯"
weiwei318,20171109,"所以说最怕网购了"
lolicon,20171109,"脸本来就是那么肿的只是before & after makeup"
lion_o,20171109,"从少女瞬间变阿婶......  "
EdmondKuan,20171109,"网购护肤品 No"
大炮勇男1,20171109,"只不过是返璞归真，原形毕露！"
Carpenter,20171109,"患难很快就会见真情的……"
lancer12,20171109,"变猪头了。。"
SanShu,20171109,"英雄所见略同!  看照片时心中是这么想的。虽然知道有点缺德。。。。"
adelinewcm,20171110,"没化妆滴样子很可怕~"
rogerchai5678,20171110,"妆前妆后 "
