Topic title: 隆市起重机倒塌扯断电缆  甘榜峇鲁大停电
username,date,text
Cari_LSV,20171109,"吉隆坡甘榜峇鲁一唅啘翅处浺墍粪工地翝錤怛发生陸嬆起重机倒塌事故，造成至少2人祧晨受伤，一醪鋮閍辆轿车遭破坏！根据星洲日报，獃頿枧这起事故片紴蠳是隰攭揔于星期四纥圍中午12点30顾瀛分，发生蓲捾嗐在緅渉甘榜峇鲁附近的価啼菠拉惹慕达慕沙路的朤皍嬡某处工鳿怱地膣勇礤。目击者指出，起重机缓缓倒塌之际，原本痯娷用作瞄舯加固起重机的篜帢钢缆也逐步断裂跌落在紫蠟坠亥緀括地，吓得毺炨雪不少路羈栉鯘人四处逃窜，至少畗窅有两人藵妓垼在笃紒焻混乱羇蔋中受伤。此外，这阄墢慴起起重机倒塌事故也燶凶炴不幸扯断了堸淏电缆，导致有醱鍗关瞦深鏍地区大遟妦讇停电。无论兀鯞旡如何，媎腕淫国能公司已派员前往处理善后工萂笢作搬贽萬，而警方接报后，也派员到騦螠詿现场维持秩序。"
thunder,20171109,"辞职辞职辞职，负责负责负责，噢!不是Penang啊！没事没事没事!"
AMOS5566,20171109," 欠缺問責，繼續敷衍，再多的前車之鑒也是枉然。"
phoi86,20171109,"cidb 有没有出现哦"
lion_o,20171109,"这是报应！  1969 年的报应！只是学到它们而已....."
一燈大師,20171109,"工地意外。                  "
peipei3018,20171109,"一切都是意外啦，在penang 发生的话就另外说法"
mark,20171109,"麻花中立说是林神的错， 因为没监督这业者"
johnnie_jazz,20171110,"槟城以外纯属意外，你野蛮老子说了算"
e200,20171110,"重要的是有没死人的了？？.........."
SoloHeart,20171110,"看得出几位火粉兴奋了.大大力消费工地意外.但这不是土崩形工地意外啊.真的是人为疏忽,直接把公司封了便是.难道公司老总辞职负责就可以了吗?其实起重机慢慢的倒,应该已经在安全范围了.调查下就可以了恢复工作了.就算发生在槟城也是一样说法的.没什么好兴奋的."
