Topic title: 国阵州发生闪电水灾
username,date,text
cyberjaye,20171110,"只有中立会赞成国阵说的水灾是报应。另外，芙蓉水也是黄色，看看中立如何pusing柔佛和森州水灾。"
Screenshot_2017-11-10-19-47-54.jpg,20171110,"guan eng错。。。是penang水流过去导致淹水的。。。"
Screenshot_2017-11-10-20-48-40.jpg,20171110,"黄色水和黄泥水还是有分别的，看水退后马路上是不是到处都是厚厚的黄泥"
Screenshot_2017-11-10-20-08-45.jpg,20171110,"麻花中立说是林神的错..."
Screenshot_2017-11-10-20-13-04.jpg,20171110,"闪电水灾啊"
Screenshot_2017-11-10-20-16-46.jpg,20171110,"国阵KL又土崩了"
Screenshot_2017-11-10-20-38-11.jpg,20171110,"套用茅山王的金句，不要跟天鬥"
qweasd147-,20171110,"不是檳城。自然不值得一提。也不會有什麼腥臭狗報的什麼高級記者出來寫那些不知所謂的“跟天鬥”。"
kmrddecade,20171110,"中立说是林神的错因为没监督KL 政府"
mark,20171111,"本来水灾这事几乎每个州都有的，不知道为什么槟城的会被说成心地不好引起。。。莫名其妙。"
keexj,20171111,"而且之前根本每一年都会有，挖了又淹，淹了又挖，每年都是重复又重复。。"
cyberjaye,20171111,"驊仔: 不是檳城關我淋事"
Screenshot_2017-11-10-22-05-09.jpg,20171111,"只有檳城發生的水災被歸納為“過度發展造成的水災”。莫名其妙，夠白痴。全馬那麼多國陣州屬水災不斷，有大城市的，有中等城市的，有市鎮的，有小市鎮的，有鄉村的，有偏遠地區的。。。。。這些地方都一直發生水災。。。so 告訴我，他們的水災是什麼“發展”造成的？過度發展？零度發展?落後發展？那些人，做人拜託用腦一下。"
丁小蟹,20171111,"是不用发展，像宽频将不需要。"
dogdogman,20171111,"又是林冠英的錯!!"
mark,20171111,"兩天前JB又閃電水災。其實水災在國陣州根本就是車禍死人那樣家常便飯。但是，因為不是檳城的，nobody give a shit。到現在還沒有人能回答我，國陣州的那些水災是什麼“發展”造成的？過度發展？零度發展？ 落後發展？Five areas in Johor Baru hit by flash floodsRead more at http://www.themalaymailonline.co ... vlHCAlTcIBdKLy3i.99http://www.themalaymailonline.com/malaysia/article/five-areas-in-johor-baru-hit-by-flash-floods#hfQIXB1u4OZpgoUV.97"
novation,20171111,"发生在他们的州就是天災在反对党州就是人为。"
肥仔聪,20171111,"Penang如果不发展，淋神还是会被人吊，十年了，不发展!"
雷克斯R,20171111,"无论有没有水灾，大家都不希望看到这一幕发生，水灾来了，政客的理由千百种，而受难的还是人民，这时刻大家有时间该多帮助这些受难的人民，而不是互去攻击政客的对错，因为在马来西亚，每一个地区都会有水灾的可能，今天你攻击我，明天我攻击你，真的没意思。"
dogdogman,20171111,"@一燈大師 @jellyfish_8 去了哪里？失踪了？他们是被水灾淹死了吗？"
