Topic title: Kuching 最快 2019 建 LRT 輕快鐵，叫檳城火箭3億500萬的隧道報告情以何堪？
username,date,text
一燈大師,20171111,"Kuching 最快 2019 建 LRT 輕快鐵，叫檳城火箭3億500萬的隧道報告情以何堪？預先恭喜古晉和全砂拉越人民。反觀檳城，發展商以 “不急着出報告” 可以作廢火箭州政府對人民的 N 次承諾？火箭州政府是人民保姆呢？ 還是發展商的鷹犬？ Loading FB Video..."
完美@1010,20171111,"一天没建好，还是听听就好 "
山村野夫,20171111,"古晋轻铁若先建好，檳城行动党就很难再混下去了。"
yming2475,20171111,"哈哈哈見這種新聞都想笑 ，JB講了20幾年連一粒蛋都沒下過 "
山村野夫,20171111,"你在怀疑一个拥有300亿储备金州属的实力吗？"
一燈大師,20171111,"原來是馬哈迪時代的事呀。    "
一燈大師,20171111,"300億？真不真哦？  人家檳城有 16億儲備金，已經可以計劃建 第三大橋、海底隧道、越海纜車、環島交通大藍圖，還能發 2018 財政預算案撥給 2017 公務員年尾花紅 呢。"
syncsw,20171111,"2019年开始建建，2020年建好，何止槟城，全世界都情何以堪 砂建轻快铁 2020年竣工"
山村野夫,20171111,"Abang jojo 之前油和醋添多了，正确的完工是2027年才对。"
lokecl,20171111,"Kuching真的需要建LRT吗？"
山村野夫,20171111,"储备金太多不花会皮痒，bobian 。"
vvti_84,20171111,"只会让人更讨厌中央不协助槟城 "
lokecl,20171111,"原来是酱的。储备金太多但是不见得那边的人民很富有 "
syncsw,20171111,"丢类楼谋的红豆仔，添什么淋油醋？？！！joe说2020年建好就是2020年建好！！！ 上次有个冒充我名字的红豆仔质疑joe在2020年建好serian到kuching的80km lrt，结果已经被我们大砂仔打脸到很久都不敢在cari浦头了。你不想步他的后尘就嘴巴跟林北放干净一点。"
好学生坏学生,20171111,"马六假一条lrt建到破产停厂成为白象。东马还建得起，呵呵~"
山村野夫,20171111,"羡慕和祝福砂拉越人民就好，请不要妒忌。"
壬炜,20171111,"海底隧道？已经多少年都过去了？2011年还大事报道由温家宝和纳吉两人见证签约呢？"
prince,20171111,"恭喜kuching人民买贵屋。建lrt不过是为了炒作房地产，结果将跟新隆高铁一样，屋价炒完了，地皮炒贵了，连杂菜饭也飙升了，最后高铁不见踪影，留下的是一群买不起贵屋的人民，国阵发财，人民破财，恭喜恭喜！"
寂寞的小子,20171111,"一天沒看到 一天還是大隻廣"
dogdogman,20171111,"大吉隆坡區的延長線建好以後，乘客人數不但不增加，反而減少。砂拉越人口少到這樣的地區建輕快鐵，準備燒錢燒到變廢鐵吧。"
山村野夫,20171111,"砂拉越每年油税和储备金的投资收入有几十个亿，年赔几个亿算个舍。"
pulauturtle,20171111,"你根本不懂槟城人，反而是中央关联的政党及NGO死得早"
pulauturtle,20171111,"有时你还老实告诉它们，不过它们不相信你"
lokecl,20171111,"不烧钱政府没有机会吃钱"
RingRingRing,20171111,"该建的不建 不该建的拿大把钱去丢"
洋葱小弟,20171112,"那么该建什么呢？ 树上长屋？"
RingRingRing,20171112,"建洋葱田啦 这样洋葱小弟你不怕无得捞啦 "
justebelmont,20171112,"国阵答应沙巴的神山第二公路从上个大选，到现在都没开工，得了吧！宣传过头，就会被人打脸了。"
e200,20171112,"靠！！这大桥什么时候建成的！！怎么连我都不知道？？...11.11.11烟花璀璨 黄金桥今开幕"
qw,20171112,"听听就好，认真就输了"
us2009,20171112,"恭喜国政又有机会吃撒老越的钱沙巴钱被吃得七七八八撒老越一直在防止梧桐东渡 阿男哥一不在 jo阿里大哥立刻把撒拉越卖了给梧桐三百亿注定送给梧桐麻花民症又可以分一份"
山村野夫,20171112,"是为了二，三十年后的古晋发展而建，懂得未雨绸缪才是好政府。"
~Zack~,20171112,"发现到红豆兵，火粉们最希望砂拉越是个失败的地方，才能显示出他们的优越感。凡是砂拉越的东西，还没开始就先诅咒一番。凡是槟城的东西，无论好坏都能找到赞美的方法。"
~Zack~,20171112,"的确是一个问题，不过再贵也不会比槟城贵。"
TMNUTsucks,20171112,"看见马来亚酸民酸及吃醋，看了真爽。"
WeeksEng,20171112,"人口太少和集中、建了只是浪费钱"
cat_fish,20171112,"政府浪费钱已经不是一两天的事了，建lrt至少是利民计划。东马交通不方便，有了lrt多多少少也会吸引外国旅客到了。所以我支持古晋建llrt."
洋葱小弟,20171112,"古晋密度高， 我不认为 2019 可以开工。 他只是说最快， 不是说最迟。"
vvti_84,20171112,"新廁所好大便。。再加上之前免費。。。所以吸引人潮咯 "
vvti_84,20171112,"penang的uber / grab car到處有。。。好奇還需要花錢建地鐵嗎 "
Carpenter,20171112,"这几年到过Kuching几次，那里的道路街景的干净给我留下很深印象，单单这点就能看见他们的管理能力。我居住的马六甲有个摇摇欲坠只提供游览的轻快铁，对马六甲人来说这是个耻辱，马六甲政府的管理从来都没像样过我只求马六甲的巴士覆盖率和频率可以增加三倍，已经是对马六甲经济有很大的帮助了，效仿Kuching的lrt就免了，马六甲暂时没这个需求，州政府也没有人家的魄力，财力！马六甲政府不倒，古城大炮肯定倒，都被他们拿去车大炮了"
壬炜,20171112,"槟城从2008至今连一条highway都没建到，还大声到处喷口水？"
一燈大師,20171112,"火箭粉可以取笑 Johor 沒 LRT 就很滿足地躲在自己的美好世界裡了，  "
syncsw,20171112,"对啊，酱红豆仔什么淋都好妒忌。连joe说的2020年建好都要质疑，难道红豆仔不知道300亿储备金的能耐吗？我是马六甲来的，我的州也有轻快铁/monorail，我知道只有国阵才有能力搞好这种大工程。"
一燈大師,20171112,"火箭粉和林冠英就是不敢拿其他州相比，自己比自己，自我感覺美好，付了 3億500萬，連隧道報告的影子也看不見，更別提報告的書皮。雙 11 剛過，大家付錢網購了，然後商家說 “不急”，“不發貨”、“不退錢” 給你們，你們 diam diam 嗎？誰選擇 diam diam 的請舉手看一看。"
RingRingRing,20171112,"有些迟了20,30年的发展 是不是也是好政府"
prince,20171112,"槟城再贵也不到johor 的半价。"
山村野夫,20171112,"迟发展的那些都是联邦政府的错，不是州政府的错。"
RingRingRing,20171112,"原来错的都是州政府 对的都是联邦政府 feelsbadman "
山村野夫,20171112,"被乌龟迎头赶上切实难堪不好受，白兔酸溜溜的心情我能理解。"
us2009,20171112,"可悲的沙老越子民以为人家妒忌他们就快有lrt也不想想自己有多少人民来支掌lrt"
bkkt09,20171113,"别人我不知道只从你的回帖来看确实给人酸溜溜的感觉"
CjHyMC,20171113,"乘客人数下降，不奇怪，不奇怪。以我个人经历来说，有时候用Grab/Uber出门的费用+Promo Code还比公共交通(LRT, BRT)便宜。而且，有时候，Grab/Uber还比轻快铁快一些。最关键的一点就是，我从公寓走路到LRT站，需要走15分钟。等我走到LRT站时，早已满身大汗。而我使用招车服务，只需要走到Guard House即可，基本不流汗，神清气爽。另外，我搭了多次的BRT，有时候一上巴士，就闻到一股迷之臭味。这方面会降低用户体验的。"
garrod,20171113,"哇，酸味十足。馬來亞那些心底酸溜溜的我也理解，更何況那些先浸區。"
syncsw,20171113,"对啊，我们大砂国图纸啊什么都弄好了，器材工人也已经在位了，下星期就开始动工了，肯定能在2020年建好。红豆仔看到大砂国全部都有了，肯定酸溜溜啦 "
us2009,20171113,"哈哈住在雪州的 会羡慕沙老越?你才是那个吃醋的"
一燈大師,20171113,"其他人我是不知道酸不酸啦，但我這裡 LRT3 和 MRT2 都來着了，東馬應該享有相同的發展，畢竟外資也青睞東馬。"
洋葱小弟,20171113,"仙境区 目前没有什么发展空间了。 除了 铲山 建 公寓。。。"
syncsw,20171113,"等红豆仔的关丹新村有lrt才来车大炮啦，不要妒忌我们大砂国的lrt。 "
monster.inc,20171113,"慢慢等吧。应该建火车道比较便宜。"
l@coste,20171128,"除了马来亚，美里人也是蛮嫉妒古晋所拥有的一切"
monster.inc,20171129,"古晉到處塞車。這個是別的省份人羨慕不了的。"
l@coste,20171129,"塞车就是象征发展蓬勃，不像美里空荡荡只有几只小猫在路上逗留挺可怜的 "
