Topic title: 回顾过去 4 年   华人输的很惨
username,date,text
cct2050,20171111,"505 前的文章现在看起来华人这一场赌博  是输了 而且输的很惨华人来届大选的政治豪赌 ·2013年3月16日　距离第13届全国大选的日子越来越近，在几年前就开始发热的政治，现在可要热得爆炸了。华社更是如此。而且，这次的政治发热，还有一个特点：大部分华人选民希望通过他们的手中一票，改朝换代。根据各种民意调查，华人选民有75%到80%是支持换政府的。至于为什么要换，归纳上来主要只有一点：国阵执政了50多年，现在应该换一换，让其他政党联盟执政。其他原因只是“辅助”。这样的想法是基于这么一个理由：在民主社会里，政党轮替是正常的，因为唯有这样，政党才能互相监督制衡，人民才可从中受益。我们回想一下2004年全国大选，阿都拉首次领军参加大选，结果国阵获得马来西亚大选有史最好的成绩，获得91%的国会议席。当时国阵的受欢迎，“新人因素”发挥了极大的作用。更加重要的是阿都拉是以“清廉先生”的形象得民心。可是，事隔不到4年，国阵的支持率大跌，在2008年的大选中，跌破了国会议席三分之二优势。因为这次大选成绩完全是出乎意料之外的，国会反对党，即人民公正党 、民主行动党以及伊斯兰党，根本没有想到它们竟然能够取得大突破。也因为这是“暴风雨之前的寂静”，这次大选才被称为“政治海啸”。3.08 政治海啸之前的寂静所以，这三个国会反对党在选前，并没有像面对第13届大选还没到来之前用“改朝换代”的口号来制造舆论。就此而言，不只国阵，连这三个国会反对党也没办法预测民心所在。当时，在大选下赌注的人根本不看好人民公正党、民主行动党以及伊斯兰党会取得那么大的胜利。现在，我国第13届大选日期迫近了，华人即使不知道选举会有什么样的结果，但是已经显出了在下届大选来个政治豪赌。我们说这是个政治豪赌，想指出的是大多数华人，已经铁定了心，要换掉政府，不顾一切。而从华人坊间一般的反应作为衡量基础的话，华人普遍上认为华人将会在下届大选成为“赢家”。实际上，不管是来届大选民联执政或者国阵继续执政，赢家可以肯定的是巫统与民主行动党。亚洲策略与领导研究院日前发表的调查报告，也指出这一点。正如《大马华人周刊》多次指出的，行动党鼓吹“马来西亚人的马来西亚”，并没有标榜代表华人，但却需要完全依赖华人的选票，华人也没有特别要求该党捍卫华人的权益。从这个角度来看，华人要借来届大选成为“赢家”是不可能的。我们也不要忘记，这“改朝换代”的口号其实是在1990年全国大选的时候就提出来的。当时行动党在槟州展开“丹绒二役”，推出“改朝换代在今朝”的竞选口号，还配合《爱拼才会赢》的闽南歌曲。根据丘光耀在《超越务实与教条—马来西亚民主行动党研究》 里提到“‘反风’迅捷猛刮，声势浩大，锐不可当。”可是，这所谓的“反风”，只让民主行动党在竞选的54个国会议席中赢得20个（槟州则竞选7个，只输掉一个）。州议席方面，在槟州竞选20个，赢得14个，只差三个议席就可以“改朝换代”。然而，在发展槟城成绩累累的林仓佑医生，被林吉祥以706张多数票击败。“丹绒二役”不成功，行动党继续在1995年全国大选来个“丹绒三役”，以为借上一届“反风”改朝换代，但是行动党在槟州大败，竞选26个州议席，输了25个。国会议席方面，竞选50个，只赢得9个。显见槟州选民，相信了林吉祥的“改朝换代在今朝”，连林苍佑也“晚节不保”，但在下一届大选有点后悔，感觉是对一个贡献良多的领袖的不敬，因此给了行动党大大的教训。“丹绒三役”槟选民给行动党的教训霹雳州行动党的表现也同样受到影响，在1990年大选，行动党竞选16个州议席，只输掉3个议席；可是，在1995年大选，竞选19个州议席，只赢1席。值得关注的，行动党在1990年“改朝换代在今朝”，还提出“此时或永不”（Now or Never）的口号，倒真的吸引了许多华人，认为应该给民主行动党执政的机会。在第13届大选还没到来之前，民主行动党再提出“改朝换代”的口号，这次不“乌巴”，下次就没有机会了。 这次是瞄准中央政权。可是，最值得关注的还是在“丹绒二役”，被林吉祥视为可以与巫统分庭抗礼的46精神党，无法获得马来选民的支持，竞选61个国会议席，只赢得8个议席。因此，尽管民主行动党在“丹绒二役”是一支独秀，但是却是独木难支。这规律，在来届大选还是会重演。根据许多民意调查，来届大选行动党因为在华人选民居高不下的支持下，将会成为民联里最强的成员党，伊斯兰党可以大致上保住现有的国会议席数目，但是人民公正党不但无法重演上次大选的所取得的辉煌成绩，还可能成为民联最弱的党。一般预测，民主行动党会在全国所有40个华人选区的其中至少35个胜出，伊斯兰党与人民公正党合共赢得35个左右的席位。这是比较可能的成绩。这主要考虑到的是马来人与印裔选民选票的回流。这里所指的是在2004年支持国阵，2008年反国阵，但在来届大选将支持国阵的选民。但是，华裔选民在某些政党的大力宣传之下，认为2008年全国大选，是选民求变的征兆。但是，选民投票，各个考量的因素不尽相同。我们千万不要忘记“求变”的对象不只一个。在该届大选，许多马来选民对阿都拉在处理关系到马来人与印裔的课题极度不满，因此他们要求更换的是首相；有一小部分的华裔选民，对伯拉领导时其女婿的傲慢霸道做法非常反感，使到他们对整个政府形象大跌，而投下抗议票。另外，还有选民因为不满候选人、国阵内部自己人扯后腿等因素，而对国阵投下抗议票。当然，我们还没忘了前首相敦马哈迪所扮演的角色。大选投票“求变”的对象不只一个阿都拉领导的国阵，从最高峰跌到低谷，这样的表现，引起了巫统党内的“逼宫”，黯然下台。而在2008年大选过后，我国也举行了16次补选。在阿都拉任首相的时候，国阵在8场补选，输了7场；可是，在纳吉于2009年4月接过首相棒子后的另外八场补选，国阵只输掉沙拉越诗巫国会议席补选，在另外7场补选都胜出。可见，纳吉上台后，国阵就开始站稳脚步，挽回不少的支持。数据摆在眼前，华裔选民如果还是认为来一届大选改朝换代，以“乌巴”（行动党在宣传的时候当然是要“乌巴”中央政府以及国阵执政的州属）作为投票的标准，而不考虑个人投票，是以关系自己的利益为出发点，那最可能的结果是让民主行动党做民联的老大，巫统继续成为所有政党里得票最多的单一政党。一句话，以民主算人头的角度来看，华人把鸡蛋放在一个篮子里，冒的是极大的风险。表面上的，华人社会现在“乌巴”不断，而这乌巴的声音，是不是跨越族群？回顾2008年全国大选，一切几乎是“风平浪静”，没有所谓的反风，国阵被看好会大胜，但是几个州却真出现改朝换代。用“政治海啸”这字眼来形容这次的选举结果还算贴切，说明了这是在绝大多数人无法预测的情况下发生。2013年的全国大选，民联“预测”会有政治海啸。可是，能够“预测”的海啸，能不能称为海啸？可见，所谓“再造海啸”在很大程度上是政治宣传的需要。事实上，华人在下届“下注”（说把整幅身家当赌注也不夸张）到民联，能够肯定的是民主行动党表现会最好。从民主行动党在历届大选竞选的议席数目来看，还可让人看到该党的多元种族色彩越来越淡。在1999年、2004年以及2008年全国大选，民主行动党分别竞选46、44以及47个席位。可是，在1995年、1990年、1986年、1982年以及1978年，民主行动党分别竞选50个、54个、63个以及53个国会议席。即使国会总议席增加了，行动党竞选的议席反而在过去三届大选里，明显的不超过50席。根据民主行动党全国宣传主任潘俭伟的说法，来届大选该党竞选的议席不会超过50个，有望胜出的几乎清一色是华人选区。换句话说，行动党还是需要靠华人选票取得大胜，而不是混合区；而人民公正党却需要在马来选民占多数的选区才有保障（当然，如果行动党肯让出华人选区，公正党有浓厚的胜望）。最吊诡的还属大部分华裔选民下注不求“回报”的心态，主要的是不要求民主行动党代表华人。即使我们从民主选举选民结构角度来看，国会议员需要以选民的结构来为他们在国会上争取利益。例如，一个有80%华人的选区，该区的代表需要代表的还包括华人的利益。这就如一个拥有70%选民是农户的选区，有关人民代议士是可以不关注这些农民的利益吗？可见，华裔选民连涉及本身的利益也不在乎，在下届大选，誓要来一场政治豪赌。你敢赌吗？不要忘记，“十赌九输”。　"
gaomin,20171111,"华人输得很惨？难怪有人在喊华人海啸。"
一燈大師,20171111,"華社是時候脫離並唾棄火箭和馬哈迪的陰霾，Bangkit 起來成為真正有尊嚴的馬來西亞人。"
cct2050,20171111,"海啸论在很大程度上是政治宣传的需要"
Upgraded,20171111,"国民党输了， 换了一个贪污扁。。 台湾沦陷了吗 ？ 不！现在的台湾国民党还像以前吗 ？不！为什么？因为台湾敢于改变。。。一个没有输过的人会变成越来越骄傲。。。。是时候改变了。。。 做不好。。。 5 年后换人"
cct2050,20171111,"没有考虑清楚换到蔡英文更烂     台湾人后悔了"
Upgraded,20171112,"在高度民主国家，没有一个政府是 “全部”人民都说好的。。。。我不是要 100% 好的政府。。。 我要的是”换“ 政府。。。游戏规则是 做不好就下台。。。做得不错可以多 5 年。。"
cct2050,20171112,"马英九 其实还不错当年台湾人大脑如你，不计较代价硬换民进党，现在后悔莫及"
家驹,20171112,"改变,改变,最后还是骗烂,烂,烂,最后火箭自己更烂民主,民主,最后只是五十步笑百步.....这就是这几年我们看到的火箭....."
q(T_T)p,20171112,"坚持不透国政就对了 "
