Topic title: 水灾后国阵吉打龙卷风袭三甘榜
username,date,text
cyberjaye,20171111,"如果是槟城，那些无良中立就high了。无耻的会说槟城砍树太多，所以才有风。"
Screenshot_2017-11-11-23-17-26.jpg,20171111,"藍X一派最近很喜歡說的天譴論。不懂吉打這個吹毀12木屋的龍捲風到底是上天安排來要清除誰？我這裡諷刺他們，藍X們搞不好狀告我冷血無情。什麼都是由藍X們說完。"
dogdogman,20171112,"喝酒的 吃水灾没有喝酒的 吃风灾"
洗零,20171112,"吉打马哈迪的家乡兮粉炮打马哈迪"
cct2050,20171112,"中立好厉害，槟城讲LGE， 吉打就不讲国政，讲马哈迪。PLP 好厉害, Pusing 好厉害."
Joey2000,20171112,"中立说是林神的错...."
mark,20171112,"马六甲就是林吉祥的，johor就是木有丁的，Kl当然是希盟的，pahang 就要怪罪火箭环保战士，森美兰就阿福的, kuching就是张建仁的，无耻就是中立的。"
thunder,20171112,"马哈迪盘踞吉打40年人人皆知"
cct2050,20171112,"傻，民政够在檳城几十年!而且老马在吉22年，但囯阵在吉50余年。"
cyberjaye,20171112,"1970年 - 2014每一任吉打大臣都是马哈迪家族的傀儡"
