Topic title: 红豆兵的素质是这样低的吗？~
username,date,text
白发魔女,20171112,"~ ~  ~"
北方未明,20171112,"楼主是到现在才知道？真不知道？还是装不知道？？"
白发魔女,20171112,"以前有酱过分咩？~"
仓底货,20171112,"单单看这照片就知道红豆其实也是很贱格的。"
白发魔女,20171112,"不懂~   可以解释一下吗？~"
仓底货,20171112,"已经很明白了不是吗？"
白发魔女,20171112,"不懂啦~"
仓底货,20171112,"人家父亲往生慈善乐捐八百万，你看他写什么？幸好 YTL 集团子孙都是英校生，看不懂华语。你接受到吗？"
白发魔女,20171112,"原来是丧事说是喜事~真过分~"
仓底货,20171112,"何止过分，简直就是很贱格。"
mark,20171112,"怎么那么无耻， 看来红豆兵也学到麻花枪手了..."
Jason929,20171112,"一定是藍腳兵嫁禍給紅豆兵的"
leouy,20171112,"区区小兵，比不过光大狂人和伽玛两个重要人物"
feilong,20171112,"说了一句不要与天斗，就被咬得死死的。至于他为华教做的一些工作，就没人给予赞赏。"
hangz81,20171112,"红豆就是无耻无极限，只有更无耻没有最无耻加完全没原则的代名词。  难度楼主第一天认识红豆？"
无人达人,20171112,"大先要到了。"
jackyboy05,20171112,"紅豆兵沒那麼賤我才覺得稀奇"
skyline101,20171112,"轰豆炳很多不是好东西。跟马华比什么？没有马华，大马华人会有今天？比烂，比粗言恶口，他们是不错。"
北方未明,20171112,"希盟建立起来之后就已经开始了，只不过一直在恶化着，至今已经病入膏肓。自己的党内成员有异议都被干掉了，更别说是敌对党。"
syncsw,20171112,"是这样的，有个中立仔开贴问为什么有人家里有丧事却能够笑得那么开心。我就拿其他家丧事也有人在笑的照片出来给中立仔看，网民如果认得照片是哪些人，就会知道是反话，当然小脑袋是例外。=============================说反话不太好的地方是，总会有一些比较笨的小脑袋是get不到的。小脑袋一get不到就会气炸天了，然后我们就可以看小脑袋表演了。"
syncsw,20171112,"楼主traced了photo origin是红豆兵吗？"
仙女飘飘,20171112,"楼主颠颠的，千百年前就酱鸟"
一燈大師,20171112,"張部長已經輪迴了。繼續為華校打拼。給力馬華，華社團結勢更強。"
Carpenter,20171112,"马华有很多很棒的代议士，张盛闻其实不错的，但他所做的一切好事都不会名流千古，只会被反对党攻击遗臭万年……何国忠也是一个不错的代议士，他为他的选区服务那么多，当年也被他的学生红豆天兵刘东东给拉下马，他没做事吗？不，那区的人耳朵轻啦……被行动党垂弃的几位党员如沈吴等人没做工吗？如果我的区他们有上阵，我铁定投有做事的人，而不是比烂比做戏的人。"
jellyfish_8,20171112,"张阿文马不停蹄陆阿福还在沉醉在喷水吗？"
Derrickwong2002,20171112,"抵死"
荣耀归来123,20171112,"很久以前就看好张盛闻"
