Topic title: 为什么会这么天真无邪的人？
username,date,text
jellyfish_8,20171113,"看到这样的想法。。 （无语）原来世界上真的有很天真浪漫活在乌托邦的人"
169995FC-C2D1-42D3-8CE1-5351C5B8CF3D.jpeg,20171113,"所以？他的票还输那个有丑闻的什么球？"
仓底货,20171113,"Dr. Boo 会落选的关键是他不支持舔老马说明了懂不懂得舔老马是今天dap党选的首要中选条件"
bkkt09,20171113,"有良心和原则的都不适合搞政治。。"
jellyfish_8,20171113,"別傻了。對他們仁慈，對自己殘忍。"
使用者,20171113,"Dap良知代表就剩Dato teng 最后一位了"
bkkt09,20171113,"有良心和原则的就不是你家主人了。。"
肥仔聪,20171113,"Zomok你说话酱直接欺负人，它已经是一个连杂饭都吃不起的可怜虫了"
Akira_sendoh,20171113,"Dr. 巫，真的是个有政治理想的人，可惜他太直，不适合政治。"
pig733,20171113,"当年老马惺惺相惜的说：啊，你是soulless robotcop左青龙：只要您呼唤一声，属下上刀山下火海义不容辞"
jellyfish_8,20171113,"我聽到的是搞派系。與馬六甲的同一陣線。馬六甲的已經退出自立門戶。很快就會～會師"
畢畢畢,20171113,"政治没有朋友，也沒有敵人，只有利益！"
家驹,20171113," 这句话到是真的。给你一个赞"
sihong,20171113,"走不远啊。太直连自己人都怕。 要把你干掉的。哪一个人身上是干净的"
sihong,20171113,"真的可惜，那时308大家都是投他，靠的是激情！那时我们同事都说要给他赢。后来505，红豆兵失控了，不可一世，嚣张，我们开始才决定要给火箭一次痛的领悟。"
pig733,20171113,"不怕神一样的对手啊。。。"
sihong,20171113,"政治讲原则，是不能当饭吃的，所以才很多人要做官，名利双收。讲原则的，都是被排挤的。加巴星还在的话，火箭的处境很尴尬的，要麽给他套个罪名，排挤在外，要么就就装聋作哑，不管他。"
pig733,20171113,"我尊敬佩服日落洞之虎卡巴星，不怕王权，不怕土权，不怕回教党，不怕国正。有良心和原则的英红。"
kamloontai,20171114,"這種中文造句讀者看了都變兒童.我還得猜主體內容是什麼.我的結論是這醫生回去學醫或移民算了.觸景生悲啊!"
immigrant_at,20171114,"讀了那麼多書的人，連anonymous是誰也不搞不懂就叫人滾回去，自己怎麼不滾回你老母的cb去呢？說的真是樓上那位惡心的賤人。樓上這種自以為是的馬國人不必看主體內容都懂到處都是，不死幾個對不起天地良心。"
肥仔聪,20171114,"说实话也算欺负？"
