Topic title: 又有人报警了：网民脸书辱骂张盛闻，直辖区马青5代表报警促查
username,date,text
一燈大師,20171113,"又有人报警了：网民脸书辱骂张盛闻，直辖区马青5代表报警促查。罵張盛聞的網民別擔心，有必要就求救火箭律師。根據劉鎮東邏輯：不是王室就可以批評，張盛聞不是王室。#正義必勝火箭律師示意圖："
一燈大師,20171113,"扣查而已，要改朝換代必須有人要犧牲，大家說對嗎。#inikalilah"
一燈大師,20171113,"大家有分享和轉載過這類 FB 的，push 上來自己的主頁，展現人民力量，別跑去刪貼。  #ubah"
一燈大師,20171113,"“最高罰款 5 萬或坐牢 1 年 或兩者兼施。”原來不用 18 年，1 年就出回來當好漢了。  "
仓底货,20171113,"很好奇是不是这位比贱无底线的人？"
一燈大師,20171113,"他在 CARI 買賣市場有買賣貼，可以看到他的商家資料。他竟然如此侮辱權貴，權貴的打手去看到他的資料就完蛋了。"
qazz1947,20171113,"马青5代表帮马华倒米啊。又流失选票了。"
一燈大師,20171113,"你覺得馬華還有米？         "
TMNUTsucks,20171113,"他们报警不是问题。不过，既然有脸去报警，就证明一件事情，就是他们还不知错，不知悔改。"
qazz1947,20171113,"Umno不会让马华死的。给一点米饭就会感恩了。比如学校。APA cina mau"
wilsonng168,20171113,"还有。。食湿米。。"
Ragnarok026,20171114,"我認為被網路霸凌嚴重困擾而去報警無法有效證明被罵者不知悔改就好像之前某單tony跟某人撕逼的案子，對方對你有恩不代表就有權利污衊你；同理，對方與你有仇也不等於你能無下限霸凌對方"
友仔,20171114,"他很聪明…很有脑…也很会骂人"
immigrant_at,20171114,"你們到底講述哪些個網友? 做麼要我猜的, 這裡很多反民天天喊RAMPUT AYAM BAS.到底是誰?"
家驹,20171114,"说得对得饶人处且饶人做人流一线,日后好相见!!!!!"
Mktp,20171114,"号称（自称可能比较贴切）代表马来西亚华社政治人物报警被网霸凌。还有抢手有脸在中文论坛恐吓不可以《网霸凌》公公。。公公们看来不只是没有。连袋袋都没了呢。可怜"
巴士来啦,20171114,"马华正义必胜！"
友仔,20171114,"他是槟城新村的福建傻傻啦~(他是谁？他是村人…泰山…乡巴佬)"
阿白,20171114,"被网络霸凌了, 希望他可以挺过来, 千万不要跳楼自杀"
mark,20171114,"那林神每天都被麻花中立霸凌， 那岂不是全部中立被捉"
loongken,20171114,"张盛闻可以先嘲笑林神和槟城人民、为什么别人批评他就不行？看来他的政治生命， 毕于 2018 全国大选。"
kennyteoh818,20171114,"骂人就是不对。"
lumixcer,20171114,"这样搞，对张盛闻有好处咩？"
lihlihkoo,20171114,"还有，贪污米"
lihlihkoo,20171114,"他以为警察叔叔很得空"
Ragnarok026,20171114,"批評≠霸凌抨擊≠辱罵再來張嘲笑的只有林神，是檳城人（和紅豆們）覺得林被侮辱了就等於自己被offense了我反感張在救災前趁機揶揄政敵撈取政治本錢把賑災放第二的舉動，但是在災外，政敵互相罵囂揶揄這種事還少發生過了？送棺材送輪椅這種大龍鳳，朝野來來回回干過多少次了？"
