Topic title: 这里可查询你的个资是否外泄  “如果是，你能够做什么？”
username,date,text
CARI_KJW,20171114,"上骯狰纼个勉类菍月，瀜丆縼我国徝鬄饨爆出史上俗鞡虂最严重的帱杯藐膁峺个资外泄案，共有煂噣鏉约4千620万名手机用胼寧穡户的号熴个垆瑁人耪鼉蠓资料遭外泄，包括手机用埇墪鸿户的怇葑住址、身份证号码及SIM卡资料等。为鏦趭此，汖彇断大马通讯及多媒体委员会颩偗（MCMC）连忙表示，他嵼阛濁们嫚嬼匩訒会跟警方携手合作驘縌死，竭尽全力找出幕后黑手，查清事情真相；然而，调查归调查，却仍然改嗧冣不蝰忰了大糚样由马人祧碂輛絨鰷的萕歋个资遭外泄橮溳獴的事实。你是骕珥否好奇，自己讼堜是凬琳不稒惆繊是肿李聏个资遭外泄釘芶吳的“4千620万名手机覥绤鬀用户”之一艺缟父？图片来賲虞源：网络近日瀆齰蜆来，国澇馚内紧黶一名电脑专家Keith燱墙博就架设彚歫了郑亽一个貔槈診查询网站SayaKenaHack，免费开放让崭萹国鬑幙人查询自己的唡凃资料究竟有胟貝没忩蜲有在瘮穅外泄名单上翪穱瞙。民众只需要祉鲸愩填写自己的鲛寫身份证号码，再按瑢顽瑨下“CHECK”，豒夜憮就能获得结果。截图自：SayaKenaHack网站Keith在磾氱呒自己的痟邿部落格写道，丆缕窔这钮釽个查询网站媳秨桧是由他憟蕊斁斸厣一手创建，资料则鸯癘挳是从国丆餑内各个搦媸廔电讯公司魼息銳下载而来痪南顲，而忊秙攰他目前还在蛼忧考虑，是哥蚣否要嚜盗上鎝醿查传大璁邊烇马医药协婠蠡阙会的霔敫乼槼欧个人暁嚞隓资料。“这鲞焟跠芗是否代表扙潣瑅我鸮鉰纫下载了计畅瓂非法数据？技术垠巣备上来初苨猽说，是磥賑逥筊啓的，这井谻鞈些数据也许是刻遻违法的锶鈁，但任何郷刍一名科技宅（Geek）都能轻易在弯鯏呎网络繭爛琰上找到頝軿忴这湐蛲些资料，只要麬鉡夥燀僙在Google搜一鯪鼐搜就襍騜肒行籗醲漍了。换句话说，我飾禐袇只是颰縌蜂将这碄踸棏些数据鼱儶鑐对‘正常鲜規人’公开，因戇蘩狆为正常人矞賗觩苋庍不倹欂会浏览骇客网站。”“我仰喁晁只焥鹦祳会公开电话号码篕貂餑的前四码及后两码，所有楪囬数据都粸醚会被屏蔽，安全程度很高，好比你用唪顆忀信闰鱏鼠用卡付账，收据上釛笁只显示部破璥甘分号码一朷衠样。另外，我孹囍埼不誣絇簜酏会公开姓名及住址，所屆梤顮以尽管查询吧！”那么，倘若发现自己妶逮在外泄名单上瓢搱虷，究竟可以籪顽汾做些什么？对六餉此，Keith也给予丹搏娥了建议。“很枾衖不幸羅陈的，你能做的鄽觨事非常少，因膠蔋为我譏您们镸緉恩摘鴧的身份证号码醈擛是永远不騤藊镚啸跖会改变的蘑芃。梿蓓如果你遗失蟕贍邞了电话号码、信用驈有懳卡资料或电邮，你还有鐽惝燶其他毃碠醥方法来諽旣哒减轻损失，但如尔抗脉果儇餬譩有馁鰻稗人获得你的噐跮身份证号码，你不蓒骬可能到餲詉妌国渣枔民登记局（NRD），要嚽羆嶏餚嫺歿他鉪咁们楈嚻哓为你做一枣孬张全新鳱耋的身份证。”“或许嵅鋐嘳我们籈灠踛可以蟢毺做的蓚糇璚是擙凼浆，繀巒嬺不要恨匀焄再如韡公紙此广泛地輩駺使蠰恰咮用身份证号码，又或者想办法让我稓藐洩唄憲们阕筭傃的身份证号码能够改变（峌鶰如：改变鱞國国家政策）……当然这皼翹凥并不鬋犌容易，但是探縚瀱朘在身份证号码腀么不变蹶胮幪的情况蹪蚑下，榝糗我梃繕们就懟蟐永远都曝露曹幧在柿钺熆个资外泄的嫊曋堸危险妡賕嚈下。”过去几謮啫泘年繌牫来，手机紋槅用户逐渐转而使魳胶蚰用体型较小的縯厺瓛Micro和胸鲀夻Nano SIM卡。【图片来擣鉾源：网络】“好消息是蔠仒，哟溗这份外泄名单是鶧僫2014年監鯊流出的蒈锵燗，而你还在藺峜闛绩霚嬄用着同蒇欢嬲一个悋糾电话柆蒭的可能性微乎其微。刵爺这三淶缔砅年堌眝瓰来，我摰亡的窄輀朋友圈里几乎都换諙鍝搝了新电话，所凵鳴抁以外泄戏徙鍜的IMEI（绑定手机髬餍的手机序号）数据，基本趞蓩霠上已经毫无用僡潮处。”“除此之外，鲗鳠蜖我也非常肯定，螐瘙在过去三禀牥年来燻掏蓁，不肒賋少劕薈人都因逭瘔为购买新手机而更换过SIM卡，又或榵夸圍是将旧SIM卡更换成体积更小的乖夐歙Micro及Nano SIM卡，因此外泄的蒅嘌财SIM卡资料，也相等于洧瞾籸镫浹是无效的砧娞弗。”“然而，蛈痯一个竐铙矟尪俉檓不能否认的掫煪事实是讅譢瀠，还是势甹鴐抌繜有很多人疳冉没有僂禁稠更换过手机号码、姓名及住址，包含身份证号码萃屙在内，橬犫譯这4种资料就嶝駤蟫是閉鵵粛攜覨滰个资外泄朆沃嬁的沽軬主要淮鍶砝数据。”截图自：SayaKenaHack网站究竟榼鐝澕我孎螔焏国4千620万名手机冘榴用户窗芏的个隟檙资，是鵲狂屓如廄咾何遭外泄銂冞的？Keith也说出懘薊了自己錄摆的猜测。“盷瀯这次的霺鞀崙外泄案，溻蚖傃不仅是苳骙电讯公司的瑸鲸蔂资料遭窃取，还包括撸靔鋠了求职网站Jobstreet，以澬鲜褉及其鹛埆他漍鳟来源，但囵囵就让我颦艶樐徔们先聚焦在蟾褘軭电讯公司，毕竟这歬蕢雋许厯是最眽苐大的嗍払洸数据来呈彝蜄源。”“电讯公司踳跦廗的数据只可能透过两种方式外泄，禅澶屷一、叞苨有人鄯婉梫各别骇进国盆堑内通讯公司的羂袰狻数据库，窃取袻蠶用户资料，二、骇客骇进碁乏了储存着所劥舤鯨有数据的襻瞌痪中黡魼心数据库。”“明撍如今，我列秢们陬蔂釳知道愋鄨这份外泄名单上奠覵也包括了櫱略靷冨鼾一些小型电讯公司的軂澀数据，獅醬如Altel、Redtone等。试问摪踚一腽畉个疲鳎鲛有能力骇进大輋纁団型电讯公司，锼薐如Maxis、Digi等嵅曉咿的骇客，会袵敝浪费做煹桅时间在驺郺Altel棪鳚这种小型电讯公司身骛搛梀上？所以詑缔很显然牙鯩夫的，就妵蚪连Stevie Wonder（美国崄肍冸歌手）也能知道这囼斟些资料是条蒔烛从哪里泄露出去的晉櫂了謈嘢。”目前，大椒膉马通讯及多媒体委员敋韕帥会还未公布汳攋这起玧婧麪个资外泄案的屔阵调查结果，而在樯漀飭调查结果出炉前，憋绶大家唯蒜蠭有继续自求多福了稃术皋！"
三傻Samsung,20171114,"希望有黑客洗掉大部分人包括我的信用卡资料"
看笑話,20171114,"試打1234567890看看  "
zaqre,20171114,"三、內鬼"
Carpenter,20171114,"刚刚查过了，以下是相关网站的回复Woohoo! Your IC is not in the breachWe've not found IC number in the breach data (so far). "
YTS_ATS,20171114,"刚刚牺牲了自己的 IC 试了，结果显示有一个电话号码（自己的号码）中招了。这亦验证了为什么我的号码会一直收到不明来电和短讯  "
tequila123,20171114,"俺也查了中了幾個"
tequila123,20171114,"短訊不是好咯blocked掉就行我還中了不少次老千sms扣錢"
adamlevine,20171114,"这样输入IC安全吗？"
AMOS5566,20171114,"我老婆根本不曾擁有手機或任何號碼，家庭成員也沒有Celcom的用戶，竟然顯現以下查證，有誰可以釋疑？Oh-oh! You've been pwnedYour IC number is in the breach, and tied to the following Accounts. Data is from 2014 and only the registered owner of the account is affected.Telco: CelcomNumber: 019*****13Data exposed: IC Number, Mobile Number, AddressTelco: CelcomNumber: n.aData exposed: IC Number, Address"
无名好留,20171114,"国家应该立法 阻止私人界公司 收集人民信息。。"
马六甲人,20171114,"所以怀疑隔壁家老黄？"
nyluon,20171114,"没什么奇怪的。只要你用某个电话号码注册了什么服务，市场上的所有公司就都知道了"
猴年馬月,20171114,"感覺很被動，隨時提高警惕也許就是無奈的對策了。 "
寂寞的小子,20171114,"家人幾乎中了，之前cut了的電話號碼也還在記錄==要死了"
落伍人,20171114,"应该要求telco自己去检查，并替我们作善后服务。"
tequila123,20171114,"都沒關係了查不查你的ic號碼已經在server裡面jor"
仓底货,20171114,"落后国家就是悲哀。"
tequila123,20171114,"有人盜用你的身份如果是你的號碼2014年前到現在還沒換過最好去換sim不然對方可以復制你的sim或以後可能會收到扣錢sms"
jellyfish_8,20171114,"红豆兵的网站来的有了你IC，知道你是哪一州，年龄。这些资料就足够跟马犀利一号和左青龙报告"
残兵之上將潘凤,20171114,"换个鸡巴号根本没卵用，反正早晚还是会被盗"
immigrant_at,20171114,"我的一個 010 已沒用的舊號碼也中了."
daimon,20171114,"我也有。。。。 = = "
lokecl,20171114,"你们中了吗？@啊不然呢 @ong449 @使用者 @斯克 "
秋风死书,20171114,"u mobile prepaid number中了給facebook公司"
FF-9,20171114,"我刚刚试了，2 个号码是目前使用1个是以前公司给的号码，已经没用了还有1个号码我没用过有人盗用我的 IC?"
wuyaya,20171115,"够力，旧的手机号码也中，而却是中完全部资料，那张卡是在手机店买的，够力....只有在电讯官网买的手机卡和换台的手机卡没有中招。帮家人check下，也是中到够够力，以前没有用的号码，还在...看来真的有些手脚不干净的。"
追魂鼓手,20171115,"Oh-oh! You've been pwnedYour IC number is in the breach, and tied to the following Accounts. Data is from 2014 and only the registered owner of the account is affected.Telco: CelcomNumber: 011******12Data exposed: IC Number, Mobile Number, AddressTelco: Digi PrepaidNumber: 6010*****45Data exposed: IC Number, Mobile Number, Name, IMSI, IMEI, SIM NumberTelco: Maxis PrepaidNumber: 6017*****46Data exposed: IC Number, Mobile Number, Name, Billing Address, IMSI, IMEI, SIM Number, Phone Numbermaxis prepaid 我没有用过。。。 是不是他用了我的IC去register一个？"
teikee,20171115,"Oh-oh! You've been pwnedYour IC number is in the breach, and tied to the following Accounts. Data is from 2014 and only the registered owner of the account is affected.Telco: UMOBILENumber: 6019******00Data exposed: IC Number, Name, Address, Mobile Number, IMEI, IMSI, SIM_CARD中招。。。怪不得这么多广告信息和不明电话打来&#128549;&#128549;"
aidj,20171115,"不明白 为什么 作者提到 美国歌手我还真认真去 学习"
aidj,20171115,"内鬼 找到scapegoat北韩 朝鲜特工 跟西蒙勾结够扯吧"
LoboSolitario,20171115,"骇客再厉害也需要时间寻找漏洞，如果是系统更新最新的就更要花多时间研究漏洞及编写相关exploit呀，如果骇客本身系统规格不够强，想要盗窃网络资料更是会要花更多时间。有组织性，有sponsor的还好说，但本国大公司的资料库被入侵甚至下载那么多数据竟然没人发现，更别说阻止了。。。 当然不管怎样做pentest然后加强网络安全也无法防最绝的资料盗窃招数：内鬼!!! 九成是内鬼干的啦"
啊不然呢,20171115,"外泄就外泄，这世界无敌的是身无分文的人抢匪看了都觉得你讨厌 "
Akira_sendoh,20171115,"吃不起杂饭所以营养不均，智商不高？"
黃貫中,20171115,"所以陌生的電話號碼通常我都不接，再google一下那個陌生號碼，通常都是telemarketing"
jintei,20171115,"家人资料全泄了"
jellyfish_8,20171115,"要设立那样的网站骗骗人很容易。。"
Aaron80,20171115,"我的号码两年前都换了新的telcosim 去年又再换多一次这个网站显示我的号码和资料都还在旧telco"
AMOS5566,20171115,"問題是我老婆連註冊名下的手機號碼都沒有，他如何得逞？"
