Topic title: 檳城馬華領袖母親妻子兒女..全家被火燒死大家一起默哀
username,date,text
labster,20171115,"時常看到紅豆bing喜歡叫人全家死.因為政見同而詛咒,應該嗎?希望大家放下政見,有點人性.一起默哀.不要攻擊.http://www.sinchew.com.my/node/1 ... %E5%AD%902%E5%84%BF"
labster,20171115,"真的是一場悲劇.http://www.sinchew.com.my/node/1 ... 1%E5%87%BA%E6%9D%A5"
一燈大師,20171115,"特別給 cyberjaye 看，他最喜歡在貼裡咒罵 “全家XX” 、 “全家出山”。"
lumixcer,20171115,"最不愿看都这种悲剧。。RIP"
bkkt09,20171115,"看来红豆兵的诅咒真的显灵了看你们还怕不怕"
kel2b,20171115,"默哀。。。"
cyberjaye,20171115,"RIP火神找错人，应该找傻谎中立林神有情有义 VS 希望槟城死多多人的中立中立，我呸"
Screenshot_2017-11-15-14-33-57.jpg,20171115,"小孩最可怜才八九岁而已"
bkkt09,20171115,"愿死者安息，也请不要把罪名推在红豆兵身上，不要忘记滥交兵也是诅咒了不少人。"
lier-king,20171115,"按照比例，詛咒人的紅豆兵是1000：1紅豆兵不分青紅皂白，只要稍微不順從他們意見，就會被詛咒"
labster,20171115,"詛咒式的攻擊根本就不應該存在，愿死者安息。"
hong_87,20171115,"國陣支持者和火箭粉互罵 “腦殘”，沒有開口咀咒 “全家出山”。cyberjaye 例外。"
一燈大師,20171115,"就事你没口得。。 看你党人HKC"
chinapee,20171115,"最喪盡天良就是還有槍手把人家的悲劇拿來消費"
黃貫中,20171115,"悲哀。。RIP诅咒人家是最缺德的行动，大家不管在哪里都要慎言慎行"
yk13,20171115,"可以肯定的是，這件悲劇肯定有人拿來消費。"
labster,20171115,"暫時沒看到有人攻擊，但是林神去拜訪受害者，800多個留言，大部分歌頌林神，這算消費嗎？https://www.facebook.com/kwongwah.my/videos/1562106903902821/"
labster,20171115,"Johnso· 1:23 首长您好！非常棒！LikeShow More Reactions · Reply · 8 · 4 hrsManageLengleLe· 5:08 DAP 首长 我们在一起。永远支持你。LikeShow More Reactions · Reply · 10 · 4 hrsManageVerni · 12:44 好爱民的首長LikeShow More Reactions · Reply · 8 · 3 hrsManageSiew Sag · 2:31 Penang people are so lucky to have LGE as our CMLikeShow More Reactions · Reply · 2 hrsManageJasold · 5:00 看了好心痛。。。死者安息。。。。生者加油。。。LikeShow More Reactions · Reply · 6 · 4 hrsManageEee EdeeEdmond Weed Wee · 4:41 有事林神不分政党LikeShow More Reactions · Reply · 5 · 4 hrsManageJosephan · 13:10 看看首长有多好呀 !LikeShow More Reactions · Reply · 5 · 3 hrsManageLengln · 4:22 DAP 首长 我们在一起。永远支持你。"
labster,20171115,"行动党说政见不同而已，不用做仇人，可惜我不认同。"
leouy,20171115,"自己去做點功課，不要白領薪水。除了幾個plp之外，這些悲劇的新聞留言八九成多數都是rip，南無阿彌佗佛。。。這樣也要拿來比？"
labster,20171115,"行動黨煽動人民仇恨政府，仇恨首相。然後卻在其他場合和他們一直辱罵的人談笑風生。。。"
labster,20171115,"白拿薪水沒做功課的是你。我隨手COPY.ohnso· 1:23 首长您好！非常棒！LikeShow More Reactions · Reply · 8 · 4 hrsManageLengleLe· 5:08 DAP 首长 我们在一起。永远支持你。LikeShow More Reactions · Reply · 10 · 4 hrsManageVerni · 12:44 好爱民的首長LikeShow More Reactions · Reply · 8 · 3 hrsManageSiew Sag · 2:31 Penang people are so lucky to have LGE as our CMLikeShow More Reactions · Reply · 2 hrsManageJasold · 5:00 看了好心痛。。。死者安息。。。。生者加油。。。LikeShow More Reactions · Reply · 6 · 4 hrsManageEee EdeeEdmond Weed Wee · 4:41 有事林神不分政党LikeShow More Reactions · Reply · 5 · 4 hrsManageJosephan · 13:10 看看首长有多好呀 !LikeShow More Reactions · Reply · 5 · 3 hrsManageLengln · 4:22 DAP 首长 我们在一起。永远支持你。"
leouy,20171115,"是你说的，人民打从心底自己恨，不需要煽动的，希望行动党和他们拥抱的举止不会影响人民的正能量。"
黃貫中,20171115,""
一燈大師,20171115,"原本住水泥屋，最不怕就是火災。怎麼燒得比木屋烈。過度裝修不是好事。"
绝地榴莲,20171115,"看到你在消费使用这新闻。"
lier-king,20171115,"随你，反正这数据是你个人想法。"
ga00,20171115,"默哀。。。"
hellmales,20171115,"现在就是你这恶心的家伙在消费受害者"
loongken,20171115,"假借大家一起默哀来攻击反对党。"
一燈大師,20171115,"火箭假默哀，借題發揮真鳥馬華。"
syncsw,20171115,"本来我以为这次的受害者是个马青仔自己人，马华仔/中立仔会有所收敛，不会讲那些神啊天啊之类的。想不到还是可以被cari的马华仔/中立仔消费，这个马青仔真的好可怜。"
syncsw,20171115,"这个贴就是假哀悼，借题目、发挥真鸟火箭的好例子。"
unhpyppl,20171115,"看到這些新聞，我就想到那些咒人死全家的死賤種。"
unhpyppl,20171115,"那些紅豆不是硬套上別人是漢奸不然就是死全家，出口造孽，現在他們很開心。"
bkkt09,20171115,"现在开始我也要检讨下是不是应该继续批评dap我的家人是无辜的，尤其是小孩"
Kombat1977,20171115,"用别人的丧事来炒作话题？ 楼主留点德给自己与后代好吗？"
寂寞的小子,20171115,"人死了 第一個拿出來做攻擊行動黨 可恥 不要忘記他是和你們一國的"
RingRingRing,20171115,"大师怎么落井下石 那位不是你同事吗 还好林神亲自送上慰问金慰问"
大黑天,20171115,"娶中國老婆的！"
假冒是神50,20171115,"需不需要对PENANG LANG宣布这起喜事呀?SARCASM?淋斗兵嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
xloongx,20171115,"有图看吗？"
q(T_T)p,20171115,"那么惨了还被同事拿来消费，真可悲。。。"
洋葱小弟,20171115,"失火原因 不知道。团长， 对不起。 节哀"
假冒是神50,20171115,"DAP很多流氓混进去当SUPPORTERBECAUSELKS AND LGE本来就不是啥魔正人君子DAP许多忠良死的死走的走把DAP留给两个纣王GENE的王八父子去作种吧嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
仓底货,20171115,"你的佳礼提醒是不是多了三条可是又找不到是哪位网友回复你对吗？不用紧，我帮你还原真相。那位网友其实就是比贱无底线的极品："
贱格2.jpg,20171115,"不必假腥腥啦PENANG LANG是亲眼看过你们淋氏如何杀狗的灭啥淋门?有比你们灭过的门多么？嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
贱格3.jpg,20171115,"你可以尋找我開的貼，談華小搬遷的。"
贱格4.jpg,20171115,"攻你条假理性的老母。你文内不是就在借题攻击吗？"
假冒是神50,20171115,"怎不烧你全家？反正你条斋Talk卡不死都没淋用。生了条得把嘴你父母不死也难有希望了啊，，想不到这毒的话也说得出口。"
一燈大師,20171115,"怎不烧你全家？反正你条斋Talk卡不死都没淋用。生了条得把嘴你父母不死也难有希望了啊，，想不到这毒的话也说得出口。"
巴黎猫paris,20171115,"做贼喊捉贼"
巴黎猫paris,20171115,"南无阿弥陀佛"
巴黎猫paris,20171115,"不是喜事，就不用宣布咯。喜事白事很容易分的，就总是有人对号入座，傻傻被troll。"
lihlihkoo,20171115,"你们如果没什么好话说就静静每人说你哑。说那么多做贱自己倒不如给人说哑巴好？除非有拿薪水的例外。总不能每天白拿薪水不做工吧？"
仙女飘飘,20171115,"有点节操吧！别什么淋都想拿来攻击政敌,会有报应的。"
syncsw,20171115,"PALIAH嗯嗯嗯嗯嗯嗯嗯"
advocado,20171115,"这个很久的账号来的，我被网管和版主ban了很多次，所以需要开分身才有得继续发言，这个是很多人都知道的 如果真身恢复了自由身，我就会用回真身了。这次post错是因为我log in那个分身，要找回之前save draft的一些资料（就是照片那些火箭全家x的留言） 忘了是分身就回复了，发现到就delete了。由于赶着离开，就打算回家才po过，既然你帮我po了就好了。"
thunder,20171115,"很無奈，原因佳禮版主不肯出來認錯，前天13日就預言說火災了，“所以，我是相信天是长眼睛的，这次水灾真的是自大的槟城人咎由自取。。。。。xx版主害死7个槟城百姓，你们若不知错还会有报应的，相信我。下次就是火灾了。”真的，版主害死7條命還不認錯！還要害死多4條命，上天懲罰版主開始有點凶了，版主們要趕快祭天啊！你們是凶手，妳們是罪人！我也幫不了你們。你們必須選一個版主來當祭品祭天，這樣才能保佑檳城。聽勸吧，別再自以為是"
假冒是神50,20171115,"rip，但愿上主祝福他们"
圣母玛利亚,20171115,"可怜"
