Topic title: 这就是宗教和谐！穆斯林学生为基督教堂大扫除
username,date,text
CARI_KJW,20171115,"近几年炯泞甕译来，琚鎀国内族群课题似乎越来賩黧瓝越严重，曍巏不同族群或宗教之间的莵簼艡冲突也越来甼狔越多。尽管首相纳吉巐丬在几銮筥驫年前就嗲刏推出“一将慉嵊毜靠烬个马来弍錶馓西亚”口号，鼓励各族群不送嫥簪分絠獥你我菶变瘚，但族群融合杺濬一事，似乎还是栛鼻“强求不嗒蠇蘈搢霵来”。然而，竎魰一群漦拽宷来自沙巴京那律青俠攛姩年及体育部培训学甝愶院（ILKBS）匥倊海的穆斯林学蘿掀韡灴生日前却鄫箭壾用行动巙逓证明了炩剒何为惊经“互相包容”，齐齐罛譐到一获竵所基督教堂，胋桯雯为该教堂进行邋澫大扫除！图片来螱鍦丸源：面子书据婆罗洲邮报，这蠶缅駙批学銤亜剝生鬒缞繬是薈炻諉拊煦在老师瘪硏櫮的带领媇胤下，抑蠊于11月12日褕醑邇到担波罗里（Tamparuli）的毽顢雿圣保罗教堂进行大役嗶扫除。参与蚴示垸大扫除鬑鰾檠的还螼边有其範隲勅他志工県唣倧，而大蛓蠎堚扫除的檲鏩趚工樭祻咚筟作包括油漆、维修电线、安装新风扇偬墽以及翻新屋顶等。图片来巽觽亀源：面子书同样参与大行鷩扫除活动郢荪鄫的悓甮，还有搞袷沙巴团结党九路区州议员拿督佐尼斯顿，他鶴閥开心地枩咒表示，很高兴能够参与这鋌漓膼么有杓臝莪意义茞臎的穗膴蠣活鎅寝动。“看见赈庠这些莱齃谢学峁惑搁生参与教堂鍗郾大扫除，真颮俰阊的很令甿酪人振奋，尤其在襷栂呈此时剂抟此刻，部分夳鳁吚人驴巾质疑沙巴不郺捯娮再推广宗教自由……因此，巢肻这些学慊呆榤驟秲生齥浀的高尚行揆鼸为也别具意义祡曟。”图片貕儮晇来源：面子书沙巴京那律青年惊綗哑及体育部培训学蕝钬院也刂餼狰在其面子书专页上鶡袻蝇传攇讛繹了学葖潖生居鬩辛勤劳鬓璺动亏衘朡的照片，指学倀綡搇髇生是超擥在俅剖瘻“2017峺貇年Touch Point Cabinet Away社区服务计划”下侕齒覘参加萶璳了円衶鞋这项活殉参动，同嚙擜时鼓励国蠲壼禃内青年旑膆积极参与志肯閼工计划，为匭闯尺社会鼃関滌蓯矠籞作出贡献。"
xloongx,20171115,"报宗教局捉他们，不然知情不报是共犯"
qazz1947,20171115,"以为发生在西马"
lumixcer,20171115,"沙巴那边的怎能相提并论？"
大黑天,20171115,"宗教和谐！没有婚姻法 阻止！很多华裔女子和 山番拍拖过的。。。你不介意吗？"
Carpenter,20171115,"so..."
scooter,20171115,"可能是土著基督徒咧"
大黑天,20171115,"这些都不是 马来人，是  苏洛人，orang Bajau！"
大黑天,20171115,"不要一直去贪心羡慕 什么宗教 种族和谐？ok！和谐到最后，回教婚姻法废除，像印尼那样可以改教，或者 新加坡那样 可以签署无需入回教的法律文件！你知道，会有多少无数的华裔女子会给他们shoot掉吗？然后再嫁给你！"
leouy,20171115,"这种事很容易，东马那么喜欢吹"
大黑天,20171115,"还有啊！以华人那种 爱显的 个性，肯定会给 他们一笔酬劳＄＄＄的！不然他们会来免费义务的来大扫除？！"
skyline101,20171115,"西马的话？就要看看那些政治家有没有良心？不在胡搞宗教课题。"
坦克車,20171115,"希望不會全班給抓去再洗腦"
c.c.chong,20171115,"那些穆斯林宗教司是时候出来做网红。"
落伍人,20171115,"如果是正常的国家，就不会有这种新闻了。"
ben987,20171116,"等这些小事不再是新闻，在来谈和谐吧。"
johnnie_jazz,20171116,"清蒸的问题又要来料"
followme123,20171116,"西馬華人 移民 東馬"
绝地榴莲,20171116,"都有讲是沙巴啦。SB 马来亚半岛的， 为什么那么HIGH？"
followme123,20171116,"你應該幫忙 西馬華人 移民 東馬 的"
绝地榴莲,20171116,"为什么要帮？ 西馬華人 是我孙子吗？另外， 不要看到有一点好， 就HIGH得像得了三五八万一样。叫西马人去住一下， 得空爽爽断水断电断网路， 才再来讲要不要移民。"
followme123,20171116,"https://cforum.cari.com.my/forum ... ead&tid=3709063馬來亞、婆羅洲 兩地，在工業化時代以前幾乎是世代隔絕，除了港口貿易之外，基本互無往來隨著 英國人 坐蒸汽船來航，兩地人民交流互動日漸頻繁然而獨立後，由於兩地在經濟上的差距不斷擴大，兩地人民的隔閡也越來越深 一些 東馬純種華人（就三代以內沒有跟番人通婚的） 來到 西馬，由於長得很 南島化（Austronesianised），經常會被 西馬純種華人 誤認為是 土著而 西馬華人 之中的一些 loser，跑到 東馬 為非作歹，甚至還把自己在 馬來亞 的狐黨以 '人傻錢多速來' 招到 東馬 坐大，也是時有所聞然而，目前 東、西馬華人 都面臨著一個嚴重的問題：回教化回教化 對 上層華人 是沒有多大影響的，回教法 鋪天蓋地，他們仍然可以在自己的高尚住宅區內有自己的酒吧、KTV、按摩館中、下層華人 則是避無可避， 回教法隨同低糜的經濟，只會逼使走投無路的華人進回教在這個危急存亡之秋，本座籲請 東、西馬華人 放下歧見，一同促成 衣冠東渡，把 東馬  變成一片王道樂土當然，衣冠東渡，有幾個問題必須解決首先，西馬的華人妹 大多是不願意到窮鄉僻壤去的，所以大部份東渡的 西馬華人 將會是男生。大量 西馬華人 湧入會造成女人短缺，引起各族的衝突。尤其是 Iban人，絕對不能取走過多的 Iban女生，引起他們的不滿，則不用想成立新天地了。有關於這一點，本座認為可以引進 印尼女生 來滿足市場需求其次，要取得話事權，就必須掌握當地土著。本座認為，基督教、天主教的傳教士非常適合此一重任。比如在 西馬，有這麼一位 華人牧師，就取了一名土著女生，不止成功打入土著社群，也慢慢地通過教化，灌輸土著正確的政治意識，增加反對勢力的票源。這正是 中華文物冠亞東，教化萬方通，有教無類孟與孔 的最佳實踐http://cforum.cari.com.my/forum. ... e=1&authorid=205941也只有透過通婚，人種改良，才能在 東馬 發動一場自上而下的變革，讓 華人 在 東馬 穩固政權，進而對 西馬的國陣  有所牽制，破除 馬來西亞回教化 的危機"
feilong,20171116,"林神一样 只要是姆塞林就极度褒扬plp. 人家做一点就高潮了。"
filenes,20171116,"宗教合谐,希望说到做到."
2387581,20171116,"在沙巴很普通罢了。。。"
alvin_chai1101,20171116,"一看新闻，心想，世界变了，看内容，艾，果然就是东马。东马boleh! "
Longan,20171116,"在西马的话这位仁兄肯定被同族铲上天花板.但是还是得嘉勉一下这种善举."
2252lkh,20171116,""
2252lkh,20171116,"你的腦袋裡裝什么东东？你是华人版的IS嗎？宗教和諧有什麼不好？難道要像中東那样的人民天天活在种族厮杀的日子就合你意？？？要知道马来西亚华人只剩下20%，种族宗教一不和谐华人肯定很危险。。。。别鼓吹那种落后的种族主意了好吗？？？"
blurdreamer,20171116,"当教堂十字架被极端回教徒抗议拆下，回教徒主动抗衡把十字架放回去才来跟我讲和谐。"
Jinjinjan,20171116,"可悲……原来现在的华人男性差到这样啊？幸好你有自知之明自己条件公平竞争比不过人家，看到那个维持回教婚姻法的必要性。借助华人女性跟外族男性一起前三思的“保护”，眼光才看到次一等的你。好有远见哦！给你个赞"
