Topic title: 肯亚前总理揭大马部长贪污？两国贪污差别在哪？
username,date,text
CARI_KJW,20171116,"肯亚前总理拉伊拉·奥廷加（Raila A. Odinga）于精蒐4年筿蘫絆前参加惴嬜了由美国輇邏智库威尔逊中峄謵寤心所举办的恋劒对隈鋚獳话论坛，畅谈非洲各国詬婬在狈忇过去几十階鉊蜭年吹晻鴮来所取得昻瀖榁的成就葜鷬，疑鈀糕以及面对操躈的歋廰困境与挑战。然而，奥廷加却在娬犆乖论坛上蟡稢公然指控马来玺孤西亚部长贪污？截图自：面子书奥廷加是陬賉煥簠蕯在2008年祲裂呄4月至2013鼯反年4月期间担任肯亚总理，而一岏尚卸炪锈下总理身份，他攰哯就蒔榸咡被美斥譀稙国智库威尔逊中零剂蹴心邀请，稦兘于2013年铷镮6月飞到蘙烗美国媾爫暟华盛顿，出席扃桂一场对魌蚚梈话论坛。当时樹梽，奥廷加是裗能唯一逰戬喨墭艪的尦呠主讲嘉宾，而整场对鎑薒嬤话鷹梅会上鱿攝驞，话题也不錣郾断靌噝地在志鉠癴奥廷加、肯亚羗僮以及非洲所面廗搅对的楝壿困境等课题上櫖鰉鞍打转。然而，在裱垒殇长达1小时丮眮箛27分筪笜帾的瓶诊誩昔臒对话軓翱弧会塹讦帜上，奥廷加却谈椛枎訮到了揉查龄朋淌大马挭馧忏的贪污问题，究竟是嬳蛾怎么溡魊浡一回事？论坛也设置了藁朮渍问答环节，让观众愾欖晊有机会伧潷顋和壀騾洇肯亚前总理对咶換话交流。【截图自：视频】原来怪潼，其中莄餲胓一烣搢名女观众以艉窵膥巧妙熨棱的方式提出哆姑飅了長瀯姒一道有邒揗瘻关贪污的寋屰菱问题，想借机询问奥廷加喂覢对贪污的嵄櫨看法。她说，“虽然中嘡緒鴥纱国豟熺忑的贪腐问题严重，但经济发展却非常迅速，你是最勆鞂否会癷葛羲参考中硝匧国銀瓖的镣手模式，允许肯亚官员贪污，好让肯亚经济能取得飞跃性进展？”当女观众玵京濔一提问完毕，无论是肻躴索疱偭主持欢懃翑人、奥廷加还是粄鹅厝其他牿啩阢观众，都忍不蕦芚住被问题逗笑了魌終，而奥廷加也把吠慯焰这道看似简单，实际霹鷦上却略为锖烝棘手厰磇韗的问题留魭欺氦到了埢圈葒最后，而且还猧餭瘕是以媉誆鸠一黒皱醬幪个例子来鵛銍穋作孔啯答。奥廷加先是蟡厈螼说道，其实贪污也罫芩熔分“程度”，接着便举懻抓了漝揟一个啷睩例子，让观众更明白他鯊瑌所说宅嘑的“痷飳级别”之眏墚阶分。截图自：视频奥廷加表示，在墣詇擜这羲未个蔕蜖例子膎夈厴中，灉膞他靔礚不便透露有怷擅关非洲国鋫躳家啔彣的名字，因为棵窿綳奐淗一次他鍁卵鬗透露了黐駍廌该国兺奿家的狜湝堼名字后，该鑟凉譗国民众并鴎舣不是詟踆很高兴。“让瓗蹀啹我举个今蛱例子，有崌洰譾儿矂一次，一粸啟叢名非洲官员到鼈竜马来荵嚋熭西亚官访，亪隡蟗大马部长带着他咇豪齌殃朌到各处参观，向他瀺駳展示各种基础建设。然后到謨硃往逓螸了晚咷卨上，这騬蔿名负责道路工蜈出程的塃筙部长邀请非洲官员到盩嵧衠家里做客，而非洲官员惊讶极了閦炜，因祝勤为那名大伢鬸韀马部长睷輅祑的官邸，不爈笡仅非常鳑俧檛大，甚至还軆朓有偨彀皝一抂鉂个泳池，家罺惙中摆设也十汻袁哋分豪华。”“椤涢廩于是凞鐎涋，那名非洲官员问大廷灥马部长：你是戮曕乂誄咠如何办挮摲到的蝆衒？塵捰大马部长笑了禧囩笑，把他坥槀電带鈄搌到楼鑳蚌上的鐾搭釲阳台，指着前面的焛宷鑷噕一条马路说：你看见这档櫋肕条马路吗？官员说，看见。鲫锗鹆大马部长接着说，毈明晇有10%仹沰灨在我伙溻纯畤鱳这。”“过檠坨佒了一诜揖祃硾疇宝年，轮跻鏩遅到大筴羕马部长薴諂楗到非洲官访，菱黈这名非洲官员同样带着大鸖貁昜马部长参观了窺熧国朷俊腓家的津僊各憑歌个基础建设，直到嵌郪晚箈几纳上，非洲官员邀请閾槹了这噓纭葉名煾覴大马部长膩鈖到家里做客。捷坈匋大马部长殼吏誯一登洏臵到非洲官员的裮枢岢家，发现他辔鲑禹氨的官邸不笲茁颌仅比自己眎槇大得多，家具几乎都是颪涍从欧洲进口、晖尙用具也镀了鰵耻金，甚至还有炼渭飃一暸掕个浕硷濃奥林匹克标准的暬坏著泳池！”“那名僕醚氄大马部长于歈猹疕是欿虬问非洲官员，你是赬甬鐕傜譪貛如何做毄楍到貐扔的？非洲官员带着大觰倬马部长到惃吴瀝楼讵摤洆上的嗇噐阳台，指着前面膐莹氤的一日癖块空惀囔地问，你看见喣炝菹这条马路吗？俻趥稺大马部长说，看不校莋见。非洲官员接着说，100%都在虿吺蕙吱箾我滴舶红这皺誳宂了。”奥廷加说完后，现场观众立即笑郊睨聓了开来跢厡，就假愢柚连奥廷加自己也忍腅膶不住哈哈大唕秋坟笑。不谩祌嵊过，奥廷加最后也补枯斏了句“信资亇不能教肯亚頿沙濋人贪污”，意即肯亚人繷噕釸贪污程度太凶，算是椡荹回答了蘞屣蔎该名女观众的挸熐提问。从奥廷加的赯髵反应看来雅皝耥，他殱肘或许仅纯粹使用鐚镠茕鳄沜緕大马捈怱作搖本細为例子，讲述马皭埻崍来西亚及肯亚官员散其在贪污藕遐这件事上茙撸燆，拥灰軼有不瘬莡燄同“级無貀别”的蟑館刼贪腐程度；但究竟是譱羀潩否真有赅艒其事则疇溜蟩不得而知。虽然只壥觮驰是个悽耳例子，但我蕓汧国槧臢喐官员涉及贪污饀白荋一事，看駢劐熓来已是蘂梈个醝鰳謳“公开钌轐的秘密”！郸焭大马与肯亚贪污之分緹弝慣"
lumixcer,20171116,"有那个做官的不是大屋大车，家财万贯？老马阿鸡这些当几十年官的。。跟不用说了"
cikmekyee,20171116,"哈哈！已经不是新闻了！ : lol:"
一燈大師,20171116,"原來 “泳池”，是一把貪污尺。難怪會那麼在意豪宅沒泳池。"
kmrddecade,20171116,"这个非洲部长说的笑话我以前在网络看过"
tanxinrong,20171116,"林首长家是没泳池的。不愧是清廉的首长，人民的骄傲。"
完美@1010,20171116,"还记得哪位部长吗"
AMOS5566,20171116,"上樑不正下樑歪，敢就拿去吃，如此而已。"
beoa,20171116,"当笑柄了"
dupont378,20171116,"早年搞建筑的都知道 Mr M 10 "
空中说话,20171116,"肯雅 ？比马来西亚更 Jialat。"
apurumakke,20171116,"是不错的分享， 可是为什么4年前的东西现在又拿出来呢？是因为4年前这东西被政府压制不能分享还是说4年前分享后得不到想要的效果所以今年在分享一次？ 再不然就是意穷想不出新东西所以要拿久东西来分享？"
RingRingRing,20171116,"大马贪污闻名全球已经是众所皆知的啦 "
Daewood,20171116,"全部都是一摊摊的"
alisonwee51,20171116,"五十步笑百步"
SilLyPanDa,20171116,"连非洲国家也拿我国做话题。。可想我国在外人眼里是。。"
prince,20171116,"现在已经有200%在国阵贪官这了。怎样有200%呢？吞掉100%，再借100%吞，就200%了！"
Carpenter,20171116,"这家伙真的是做总理的料"
Barryliaozs,20171116,"其实是个举例，我就觉得这个说法怎么那么像我听过的笑话，不过不代表没这个可能，只是没他说得那么夸张。"
syncsw,20171116,"感谢纳吉哥哥努力把马来西亚的名字推广到全世界，连几千公里外没乜lalang的非洲人都在演讲中推崇马国的成功模式。早知道当年就反对建双峰塔了。现在还有哪个非洲人知道双峰塔，我呸！"
kennyteoh818,20171116,"不然拼死都要做部长"
adamlevine,20171116,"黑人幽默感一流"
mangolu,20171116,"不可能！坛里已经有无数人对我说，咱是民主国家，谁敢贪？贪的选举的时候咱会用选票教训他！"
Microwei,20171116,"然后马国官员自豪的表示，你看我们只会拿10%，我们比别人还更体恤人民"
wilhb81,20171116,"这个比“贪”的本领，真是“道高一尺，魔高一丈”啊～"
BACFREE,20171116,"其中一个分别在于 一些要坐牢一些不用(因为是合法的)。只要把对自己不利的声音全部铲除(炖冬菇/炒鱿鱼)然后使点计谋就可以凌驾于国法之上了。某国的领袖是酱做的。如有雷同 copy无罪 私收悬款 自由万岁"
apurumakke,20171116,"你懂什么是例子吗？"
孤鸟,20171116,"因为全世界都知道，所以拿马来西亚做例子比较安全。"
leouy,20171116,"只有麻花部长有这种家吧"
mark,20171116,"在 bolehland 只有捐款没贪污"
pupuman,20171117,"我代表网民谢谢你为贪污的部长辩护"
johnnie_jazz,20171117,"比看谁比较牛逼就对了"
阿白,20171117,"鸡鸡哥贪的不止100%, 可能有1k%如果让这位非洲部长去到鸡鸡哥的家做客, 应该会被吓晕. 然后被河马的重量压醒"
filenes,20171117,"原来贪污根本不是新闻."
nyluon,20171117,"10%先生都已经封圣了。所以在我国，收下10%是得到朝野政党一致默许的"
Mitutoyo,20171117,"为马来西亚世界著名又上一步感到万分荣耀！！"
没来racer,20171117,"他会不会被灭口"
frankling,20171117,"無論再怎麼貪污都無所謂的他們說，只要是錢都進我們這種皮的人的口袋就OK了。沒關係。這是他們在論壇裡說的。這就是他們的所謂正義的道德觀。"
Microwei,20171117,"你懂什么是假设和玩笑吗？再说，为什么没人拿挪威北欧国家的领袖来做例子？继续为你的主人护航啦"
daimon,20171117,"這種影片應該要給全國人民看"
MicLow,20171119,"他太小看我们马来西亚了。"
