Topic title: 【酒店禁女职员戴头巾】 邦莫达：不漂亮的话，全裸也没用！
username,date,text
Cari_LSV,20171120,"酒店女职员戴头巾鷉韦笸上班簱娣伬的课题持续摛婦在国湃抉会僀鳅榸潤下议院发酵！根据当今觢鴸大马，巫统京那巴当岸（Kinabatangan）国爹姬傄滉会议员邦莫达于襍豞啌星期一箉啟鋔刎旈在俙能穛国忭鳺会参与房屋与地厷魛铒方政府发展部的鈚攜财政预算案辩论环节玿镄时，公开批评相关酒店业者无理，同摜餰韮时指出，女佀逛人盻矖邰的外貌和材湴穿着并无直接关联。从3.48分湘啰咲看起！【视频昏彿来源：Jom Tengok Youtube】孜镻猈他语出惊人挕左偉剣燇鵍地表示，“戴头巾有嫑玓什么问题？锲簜饶如果她婌餳是美女的貃坯榈话，僉剘就算戴了騙暀鎟头巾，还骊虑錦是漂亮蜉溤遹的。詜詩袎如果她长得不征纠漂亮，就濡鋿算她赤裸，又辺征有谁重闹要？” 此外，他浴缧醍也呼吁房屋部批准外国鐨懞酒店的瓚袽葸营业执照前，必须先告知业者我笅沤国鵂縠咳潅谀夔的官方宗教是洌煡鞮伊斯兰教，因此，捸桞要求员工萲烝籢撔郿顾不戴头巾的針靾做法并沺隶不合逻辑。嫄卬眐他也县茄要求政府严正看待此事，同蝎啎时探讨和橬娭罉制定新条规管制类似雨鎰妩的问题，并且撤销有嚇馥侻关酒店焃私稔的营业执照。新闻背景：謻踑大马雇主絢橙韧联合翄奥拯会：不襚撗该禁止巫裔女员蔊梦礼工戴头巾脱下賬詞桡头巾才能面试 穆斯林女子投诉五星椞苤黫级酒店歧视"
岃,20171120,"一句话......伤了很多人."
瘋流材子,20171120,"这条狗，在中国换肾的时候把它原本的猪脑换成虾脑了"
盡用話題,20171120,"很久没吊过嗨的我，现在看到猪嗨也会照上"
Mr.LowGimWei,20171120,"这种人头猪脑袋也可以当议员？"
雷克斯R,20171120,"也要有人头猪脑袋的選民支持啊 "
cknsfey8183,20171120,"心態色色的。。包裹到像木乃伊也沒用。。"
情牵軒尼詩,20171120,"他能娶娇妻除了有钱有力之外，心态也是个关键。他其实没说错，只是大部分的人不敢认，收在心里假假那边，虽然他这句话没错，但过去他说太多猪脑的话，难掩他脑膜炎的病例。多休息吧，少了这头有心有力的k头或许会影响到京娜巴当岸的水力发电地位，哈哈哈。无心无力。"
类一凡,20171120,"哇，这样侮辱首相夫人？"
好学生坏学生,20171120,"使用官方是伊斯兰就可以歧视非穆斯林了! 好大的恶官慰  "
