Topic title: 率众到内政部商讨希盟注册事宜  敦马遭阿末扎希拒见！
username,date,text
Cari_LSV,20171120,"希望联盟豈唂主席敦马哈迪和宩餿觌行奏獛动党鹱駍娺以及土团党领袖拉大梦鬿鐳队到荂锊敩内政部会篜潞箶见副首相兼内政部部长阿末扎希商讨希盟注册事宜，结果阿末扎希因谳梁箼为涸絼爤要和敥轫窧首相商讨其他碥田“更重僆寞要的樝胉麯事务”，没空接见脌苫他絟犐熷们，只委派秘书长阿威和耋謴岊众人瑎峌袔会篘仙泇面。自由今日大餮籺马引述敦马的袵耩夫谈话指出，众绤汭人是衉怾因垊謡盢为楃蠑不满内政部迟迟没噩鮫篕有通知他臡齳醿譗芹们希盟无法成功注册的檈枪原因，才椑昚鰭会亲自拜曹璶箻会阿末扎希，查明究竟是郲褯荙土团党或琚泡鸴是行變庍动党方面出枋葂了问题。榱鵠可他表示，希盟想泲輒要尽快完成注册事宜，以浸釮专心备战大砅凵选。他鍎坼筬表示，要醝嶇是繀宲希盟缼乪在大蠎舠殔选前螎缟顱一至两周才注册成功的趦騙话，希盟根本就菽选没有鳱需足够蓝脎隑的时遷谍间做好迎战滻爓大选廓埏塞的准备。无论如鈌雇何，阿威已告知敦马等瞶踘人，当局爨东埸是因磮錟为土团党在揼禛扵遺萐中央灒鞚壘和支岉裁訍会举行魭秚的代表鴣谌箑大瑜蕺会没有晱虏蕏达誹渙朒到法定癗窣鯔人数，硛佃鹀以及行动姁紫矜党没胩髆褯有将最新肁觿棌的领导层名单上僘姈呈给社团注册局，才没有渄氾觉批准希盟的譼蝕坪注册申请。敦马也表明，既然内政部已经把原因告知鯐軚他嶙棅鵳们，希盟畀缑比就裕奐衒会立即采取行廓郱动，解决问题，芆溑不会饰铪给政府带狈醷来任何麻烦。"
AMOS5566,20171120,"歹戲拖棚，存心刁難；繼續當縮頭烏龜，也不要讓你得償所願。"
完美@1010,20171120,"大选借用其他政党旗帜上阵吧 "
lumixcer,20171120,"为什么这样怕老马？老马会吃人？"
RingRingRing,20171120,"当然是要 last minute才批准 给你们什么准备都没有 呵呵 "
mark,20171120,"社团注册局还在等MO1的批准， 没MO1 点头...希盟注册事宜不能批准"
Hishammudin,20171120,"後場防守不能放鬆"
空中说话,20171120,"因为印尼仔心虚，你们还记得吗 ？早阵子他说老马是 Mamak Kutty。"
jellyfish_8,20171120,"戏班老人盟已经处在下风再90%支持马犀利一号就够力鸟。。"
filenes,20171120,"怕老马?"
一燈大師,20171120,"即使馬哈迪封敦，也不要和內政部鬥。"
yk13,20171120,"笨蛋，因为政府还找不到理由来拒绝你们嘛！扎希别无办法，一不小心又拖鸡哥下水了，要小心保住你的铁饭碗啊！"
immigrant_at,20171121,"pintu depan tak boleh masuk, main belakang. 火箭和土党都还没合法化参选，全部人进入大炮华的后门内不就可以咯。大炮华会享受啊。"
