Topic title: 财政部：若RON95上扬至2令吉50仙，政府将采取“合理行动”
username,date,text
Cari_LSV,20171120,"如祗励誝果RON95汽油零售价持续上憻嗛謲涨至2令吉50仙长达3个霡改皀月，政府就婃筀坏駗俍会采取合理行倧蓽动，减少燃油涨价攆儿对民众造成的栒砄皎负担！财政部鞱姿于星期一鮏曌发文告指出，政府珧嘛是针对刡扭餥燃油涨价事宜展开磋商后，才拟出这矉往咊项解决方案。“鮻阅这豤甓政是为鏶琑了廈敧訝确保氈欷人民不玗漉恶受鐓脷矾国际原油价格絘炍贎上涨影响，也确保通膨率在斟忘中賖瑁属长期内受到軻蓛控制。”文告也指出，RON95和撎淄柴油挌涼螄的每周定价濶驇是取决帘鯑于当皙咺晅时獈畁嫩的険槃国际原油价格，和裇販觩货币兑换率，也靚螮就鈡捺是说，前栝斏一周石油成本諦貭的平均变化，将雸硢劽会直接决定来溿諿緭临鐕沠圞一周的累鷳檲价格。“如冲儗卖果砌甋国际原油虲姲氕的价格屺肣瘙上扬的屺睴话，石油产愜轴襐品灘牑的零售价格也籄計会跟着上鮂穤苊涨。琱典瘅如国旭鈳际原油绯鷋的价格下怡鯒挱降，石油补衳擻产品椕乕琁的零售价也庿漗会跟着调降。”"
仓底货,20171120,"今天讲明天换，早上讲下午换。朝三暮四，屡见不鲜。"
deviruchi838,20171120,"從什麼時候開始，馬國政府也學會了『扯貓尾』"
使用者,20171120,"到時候起到 無法無天的地步了。才來實行。"
ga00,20171120,"太慢了 吧 东西都涨价了"
mark,20171120,"减少燃油涨价会对 MO1 的夫人造成负担....少买几款cincin 和包包"
Hishammudin,20171120,"國油沒加料給政府嗎？"
pupuman,20171120,"要人民受苦长达三个月，只有枪手才会挺的政府"
肥仔聪,20171120,"会不会上涨到2.49时就下调一点点，然后再上涨到2.49后又再下调一点点，结果一周复一周？？？"
filenes,20171120,"物价早已涨起来,回不去了."
qw,20171120,"听听就好"
gavin@_@,20171120,"大选要来了，开始做戏了哦"
ding96,20171120,"还要等到RM2.50，现在就应该采取行动咯。"
Weida,20171120,"如果汽油价上涨RM2.50国油公司赚人民钱赚到盘满盘满还要掉你们人民那么大多呢！"
chou99,20171120,"上涨三个礼拜后??采取什么行动??还有财政部代不代表政府的啊??"
yk13,20171120,"政府还会做什么？最多是说多给一马援金就算sayang贫苦人士了那又怎样？表示政府没有能力再控制通膨物价了，食物运输等一涨再涨，政府也控制不了什么只好跟你说：你穷是自找的，不要再责怪人家了，要努力点！！！"
weiwei318,20171120,"大概知道政府会一直游走在rm2.4左右，这样他们就不需要插手了"
drunkinrain,20171120,"合理行动是减价"
nyluon,20171121,"所谓合理行动就是找一堆数据，证明我国油价还是“相对便宜”至于人民的相对收入，则属于国家机密，讨论者有罪"
Weida,20171121,"现在汽油价还没到RM2.50国油公司已经赚人民钱赚到盘满盘满！"
elvinday,20171121,"之前跌价业者一直喊亏本要关门，现在赚了都不敢出来放个屁"
elvinday,20171121,"可以等到三块钱吗？我可是一直在等见证奇迹的时刻"
hoongyin07,20171121,"实际点车 Tax 减低就好 "
beoa,20171121,"泥马的野蛮不就是所谓的合理吗？"
kimya,20171121,"国际油价起，政府跟着起，国际油价跌，政府也跟着起，无论跌还是起，政府要赚那么多就要那么多，不够的人们要贴，就是那么简单，看淡了。"
loongken,20171121,"大选前讲的大选後会不会实现可想而知每ー届都如此又不是没有领教过。"
馬拉棧,20171121,"GST也應該取消吧。"
阿庄,20171121,"RM2.50太便宜了涨到RM5可以减少塞车和二氧化碳排放 "
jasonwong8228,20171121,"看淸楚是上涨超过三个月才会有回礼，在笫三个月下调回RM 2.49 就对不起了…………木有"
肥仔聪,20171121,"哈哈，也对pun。。"
yming2475,20171121,"雞貴別吃雞 ，菜貴別吃菜 ，油貴別打油 。。國陣的人才 。"
猴年馬月,20171122,""
Weida,20171122,"国际油价暴涨明天汽油价有极大可能全面上调！国油公司赚到盘满！"
Screenshot_2017-11-22-11-53-39-607_com.chaozhuo.browser_phone.png,20171122,"今天又是汽油涨价日。"
loongken,20171122,"是騙人民的啦！叫你慢慢等。"
阿粒,20171122,"不是慢慢等，是不必等。。"
肥仔聪,20171122,"别这么悲观嘛。。。如果上扬到2令吉50仙，政府还能大幅调涨RON97的油价嘛。。。如果RON97油价不能再涨了，就采取合理行动，一口气涨到3.00（逃可能再2令吉40仙左右的时候，就会开始宣传油价便宜的坏处了。而且，接下来拿环保大做文章。势如破竹，无往不利。涨价是为了环保。你不支持涨价，就代表不支持环保。（瞬移"
CjHyMC,20171122,"所以説這個星期肯定起價咯。是不是？反正還沒到 Rm2.50 是不會管的吧？"
使用者,20171125,""
猴年馬月,20171125,"油价不下调到rm1.80以下，人民将采取行动换政府！"
