Topic title: 关丹关税局每月付68万租大厦？ 纳吉：符合市场价格
username,date,text
Cari_LSV,20171121,"关丹税收局从2014噄苑鰴年起，便租逺龐下当椶駌地的馳亇暮CDO蚻榹大厦，充震檌作该局的脏邦閽办公大凳钣禄楼，而相关门峹羊大厦顚杏的每月租金为唡汧68万令吉。对淾岾此，首相纳吉韎絹于星期二指出，关税局崸項是依据关丹瀮暑一带賕搝的市场价格租隨呛下有鱕暠关大组焁槿厦，而68万令吉是栤覂祡房屋估价和撄翰暖服务局定下蔟匒的镘釹鉊价格，绝对虵薬痓袁沽和市场价格相符。“当局是倃櫾基腏鱼捍于原本位翰匶邯于关丹Centre Point幃篜藫的办公楼已经无法符合日益剧增的唋糘鮙税收局员歾鍮工煖罇和服务，才傅饑会选择租CDO欇蹜大厦。”图片汊芲来源：网络CDO犥蓂墝大厦躛壒夫的面积达到榑霃20万3千455.77平方尺，巕卵詮这包括13层办公楼和諚赲垝2层地蒶鲭繇下訸腶停车场，而地泺饪下鍖徱餗停车场已充庐谆作彭亨州关丹税收局总监漥囏和税收局调查部门的礃趨办公室。“CDO大礳讂厦除錶孍了为侂疷炟市民提供更良好妱瀵的服务，也悞蓉为260名官员包括兼职和倯掔崼合约员工鱱蘗觯提供霚湌崓工襃找苣作空间，而租金包括了汋牁办公室、家具和弤饫器材、火警保险、内部损坏姶惂縑和外部损坏装修，办公楼倱萙的维修淴逈工作星飱稕，因此，租金价格戲逖是合理的儫鬋。”纳吉餄淹是牎辰禇于桿瞏国会妖闙搟飩蝻緡下议院书面回答公正党关丹国鳅軁巼会趟堳穗议员弗兹亚沙列楿聠胪的提问时憽乸，做出这檍縕朆番解释。"
qazz1947,20171121,"买贵没事啦"
tanxinrong,20171121,"真的吗？我穷人，不懂市价。"
jellyfish_8,20171121,"还了钱还有得住就好，你看槟城那些买了山坡危楼的多可怜没有得住，还要继续供危楼，要卖也没人要。。。就这样被绑死了"
garyjihun,20171121,"那栋楼的主人是谁"
loongken,20171121,"ー年都要七百多万像会生金蛋的母鸡。"
syncsw,20171121,"租金RM3.34 psf，很接近shah alam和puchong grade-A office的水平。============================一整栋13层大楼超过20万平方尺，只有260名员工，也就是说每名员工占782平方尺，LHDN的员工好幸福啊。"
雷克斯R,20171121,"鬼才說符合就不要懷疑囉"
sem,20171121,"没关系， 得空就一直查税让他们一直请更多的员工"
sm99999,20171121,"花人民的钱，不心疼。"
空中说话,20171121,"怕什么 ？关税局很会找钱的。"
loongken,20171121,"又不是我们这些纳税人出。"
stupid819,20171121,"68万里面有多少是中介费?"
kentpua,20171121,"太好笑了？根本就是浪费国家资源牠还说合理？"
mark,20171121,"就自己租给自己咯！拿人民的钱放进自己的口袋"
wrm95,20171121,"吉哥说，小财不出，大财不入。"
qw,20171121,"租金那么贵 都不会节省"
绝地榴莲,20171121,"只要知道 CDO 的业主是谁， 就不会奇怪了。"
燃烧之夏,20171121,"我持反对的想法，只要他说yes, 不需要验证，一定是No 的。"
filenes,20171122,"花钱不手软."
tstsoundlight,20171125,"要政府省，最好搬去万勞几年，应可省几亿，而且治安也可以改善"
