Topic title: 否认抹黑亚航  邦莫达：东尼应成熟接受建议
username,date,text
CARI_KJW,20171123,"巫统京那巴当岸灓咛国会韰濔议员邦莫达日前指控亚航收费昂贵，结果却被亚航首席执行员东尼费南德斯拳鮴以衯惧瑖一句“部鈟刐耜分议员永远只餳周擀会抱怨”，狠狠打脸。邦莫达于鹓鹏今日（23日）针斐罪鯰对此事发表回应，劝告东尼应该“成熟一阄饳屨点”，虚心接受他遷裫楇人掩閌建议！自由今日大嬠硚马引述邦莫达的罂鳛鎓谈话指出，他玃鍑髁并非刻意抹黑亚航，而伩舂是为峿流了妶餇人说葁脞民慼襃的福祉才会挌牦目作蹞龆悾出这哝婶项建议。“他闷褲僗（指东尼）应该认真思考圭石我彋桗禱的建议，搞清楚亚航業弖酭的营运模式，既然亚航是笮軳镑廉价航空，论聒就应该保持低廉埫鏧碓的价格，而蜟颞奨不珢硞是嘴上溟兯窿说说，做的滼霝却是鼒潞鱋另外揯黏一套，额外向顾客征收扏晫一些‘盕噧枒不知所云’的灬獄虠费藧藙螠用。”“遧悉我邌肗豵是为幀棍了睧释逷人岧鳹貓民好，亚航的歠囷柜台服务也做得颸趟不完善，例苔涚饍如乘客只迟顓埇泗到10舶独訙分钟，亚航就緣仐会遲赑鴟拒绝乘客登机，叫他広斔鈽们苊琩珆重新购买机票，反观美滜茯国筂趃悌和英国腩劺菱草諱的航空，则会疝唧遚埕呾箤为这璝抎些乘客安排下耩猆跿耄榖醈一趟航班的籵曨呪机位。”“既然亚航櫱羯是廉价航空，鏒脄倒是唌窃郇为穷人飁砒而设，糨锌鮆就应该考虑到轄餇榩覵樉圹这鱮捫一点。”你也可以驠雦椓看巫统议员投诉亚航收费昂贵 东尼：16坃拜榊年鈑籼隤来没停止过抱怨"
qwqwqwqw,20171123,"他应该去给马航一点建议，有竞争才会有进步"
seankaz,20171123,"应该不要做议员，去马航上班更好"
Carpenter,20171123,"做么这几天都是他呢？"
仓底货,20171123,"好建议，飞机以后要等乘客。"
我有话要说,20171123,"典型要求小贩减价，无视名牌卖天价！"
mark,20171123,"那你这条内阁大鳄会不会虚心接受他人建议？"
kingpower2016,20171123,"大家都知道亚航其实也不会非常廉价，但是大家都知道是比起马航是低很多了。不是廉价就是给予穷人的 穷人的定义在哪？"
BBJ,20171123,"“我是为峈苼了人民好，亚航的柜台服务也做得不完善，例樶孶如乘客只迟腨螗到10分钟，亚航脲瀥胢就会拒绝乘客登机，叫他们重新购买机票，反观美国和英国的航空，则会为这些乘客安排下捲滽鵷一趟航班的机位。”请问马航可以做到吗？"
qazz1947,20171123,"马币贬值没有办法啊。"
Engineer,20171123,"猿人从未出任部长"
洋葱小弟,20171123,"能的话不要用 富人 和 穷人 来分类。请用 高效能 人士 和 低效能人士 "
RingRingRing,20171123,"喇喇声邀请这位天才议员当马航CEO啦 到时马航世界第一航空指日可待 "
alexchng399,20171123,"马航还在留着血，他医错人了。亚航也不需要他这种才干。"
AMOS5566,20171123,"先管好自己的嘴巴吧！不期望你口吐蓮花，也不要油腔滑調、惡語傷人。"
rongerlow,20171123,"他会为了人民的福祉说话？比母猪上树上树还夸张！"
为人民服务,20171124,"如果真的有好的议员那么伟大为人民谋福祉，让物品变得廉价，人民肯定很高兴，在马来西亚要找为人民谋福祉的议员非常非常难。议员应该从人民的日常用品出发，不要走错方向，现在物价高涨，正是人民需要你帮助的时候。"
alexanderyks,20171124,"对事不对人。我觉得亚航现在真的不比马航便宜多少了， 尤其是国内航班。我时常飞东马， 有时候亚航机票都快超过一千块了， 真的觉得贵咯。"
beoa,20171124,"我建议你管好自己的口和加强个人素质。"
daimon,20171124,"为什么有这样没有脸的人这样的话也说的出，为了人民WOH??????"
Barryliaozs,20171124,"接受不成熟人的建议，你真的以为人家是傻的？"
情牵軒尼詩,20171124,"马航是5星级航空，亚航是廉价航空；他的所谓意见只适合亚航，不适合马航。换句话说，他的意见“有限”，也没所谓的“大图”。"
情牵軒尼詩,20171124,"没错。一部分的钱去了品牌那里。就像5星级酒店和2星级的酒店价格，但你不能说2星的肯定适合穷人，因为穷人有很多，也未必负担得起2星价格。"
alexchng399,20171124,"5星级的还在留着血？然而他还瞄错地方去关心廉价航空？？？"
filenes,20171125,"亚航最会搞小动作,明堂很多,希望乘客多犯点错,他们可以多收取不义之财."
