Topic title: 无神论违反宪法  “允许宗教自由非没有宗教”
username,date,text
CARI_KJW,20171123,"掌管伊斯兰事务迺赜薰的首相署副部长阿斯拉夫于莙懨奔星期四（23日）强调，无神论在仚猯介我愢饻濲国旈怺是烖瀣违法的埕辛，且同櫙疧时违背了罒蝳国嘉犷家宪法势嗩和国芬享家原则（Rukunegara）。星报引述阿斯拉夫的秼碧谈话指出，无神论的銈嫁灡思想十分剙抩危险，因为嘖號无神论如矿誢寸今正在鯟玵马橄纙来西亚传播开獽觱籩来，枂閨喫不仅穆斯林受影响，魫嘕就连非穆斯林也一廑殂鄜样。“无神论违反蛙圉殙了第鴮傩一条国樦侕耑家原则——信奉踑鷬上苍，而我慲戾紾躈们的趜赺够联邦宪法也阐明瓳鬑琹了，岳嶩人民能够享有鍹雇宗教自由，并非自由于帬頗止趮不信奉任何宗教（freedom of religion, not freedom from religion）。”“絎鬷储如果煽动宾箳桚燈鰞一个潅鈋専持人离开自己的镼嫃槣宗教，或不廗竫信仰任何宗教，丟貓嫼是违反宪法的鸞信毚。”阿斯拉夫是漰廽在商螥鍆今日的蒯谞国貁髐戵镸湉挸会问答环节中讱营櫿，回答诚信党哥打拉惹鬥魃国会钒熻议员西蒂玛丽亚的鰿挝汹问题擘搐时，如喡遃弶栋恫是指出。"
仓底货,20171123,"世界上，就只有马国很奇怪的，把地球王子跟邪教挂钩。弄出一个方程式：地球王子=邪教 或者 邪教=地球王子。只要攻击任何一方，他们就可以双面合击，混为一谈。也只有在马国，地球王子很可怜，一出世就变成邪教的奴隶，没有宗教自由的权利。"
sixpackabs,20171123,"国家原则第一条就是：信奉上苍。无神论者根本违宪。"
flyyellow,20171123,"ai呀！赶快去加入四人帮，奉承的是关二哥。"
mark,20171123,"这条内阁大鳄还有才了， 难怪官拜部长...所以说要当国阵部长必须脑残...."
qwqwqwqw,20171123,"还好我不是无神论，我是信奉睡教的"
nekrats,20171123,"某神教的思想似乎更危险吧 "
Carpenter,20171123,"很无聊的课题，没完没了"
猴年馬月,20171123,""
Jason929,20171123,"某教徒沒有宗教自由啊, so誰違憲了?"
AMOS5566,20171123,"俗語說，盡信書不如無書；走火入魔、讓全球神經緊繃的洗腦宗教也是一樣。"
soosad,20171123,"我信奉自己，当自己是神来崇拜，有罪？"
q(T_T)p,20171123,"有神无神关9你屁事吗？"
阿白,20171123,"当今世界, 最危险的宗教是什么教?偏偏这个最危险的宗教跑出来说无神论者很危险, 好笑吗"
vongolia,20171123,"无神论也是一种信仰啊。 科学就是神咯。"
水沉万山,20171123,"有些人借宗教课题找饭吃。有些宗教的教条都是注重最基本的人类社会价值比如男女性关系，个人卫生习惯，食物处理方法，上洗手间的问题等等。这种宗教最适合文化水平低下的人种。只是问题出在有心人利用它来达到个人利益。"
类一凡,20171123,"仔细看，觉不觉得这东西脸型有问题。。。"
followme123,20171123,"很多沒有大腦的 火箭粉 馬上跳出來批評，正中了 Jib Gor 的下懷Jib Gor 讓他的手下發表這个言論，就是要向 保守馬來人 傳達 ‘有些華人正在散播無神論來消滅回教’ 的信息。很多被生活壓得喘不過氣的 馬來人 原本已經想要倒 囯陣 了，一聽到 華人 要奪權建立 無神論囯/基督教囯 的論調，又看到一群 火箭粉 在耀武揚威，馬上菊花一緊，含淚投回 囯陣說這些 UMNO 部長蠢的 火箭粉，最喜歡跳出來配合這些 UMNO頭目 幫 囯陣 拉票，真的是在駝衰 華人 的平均 智商。幸好 火箭領導層 設立了許多 阿拉伯班，希望這些 火箭粉 能多多去上課學 阿拉伯話，早日 進回教"
GR,20171123,"国家原则=宪法？"
友仔,20171123,"有很多信徒被骗了过万零吉…很多神棍！"
友仔,20171123,"大马华裔神棍最多。。。"
友仔,20171123,"马来西亚神棍"
Screenshot_2017-11-23-18-31-17.jpeg,20171123,"信孔子的可以吗？"
lokecl,20171123,"这些无脑官员用宗教分化马来西亚人"
qazz1947,20171123,"他根本不是人→_→是渣种，神棍也会下药"
友仔,20171123,"哈哈哈，恰好相反吧，笨就是笨"
Screenshot_2017-11-23-18-26-16.jpeg,20171123,"有病。。。。。。。。。。。。。。"
adamlevine,20171123,"我们是耶稣的±"
大钻石,20171123,"大多数人都是不可知论者agnosticism，而不是无神论者。"
友仔,20171123,"我只信奉自己 因为哥就是传说 有错咩 我也不介意信徒们拿真金白银供奉我 "
ninjaTT,20171123,"一出世就阿辣和毒汗，不相信神才素有鬼啦，聪明的人不会信那些神会打救偶，神会给偶发达，神会令偶与众不同，所以神才素魔，如果不素要大家去崇拜他也不会有神，神就素邪教，回归最后还素要靠自己～"
RingRingRing,20171123,"可怜的原住民，连agama 都不能填tiada了可恶的邪教入侵者"
神垂死,20171123,"总归一句。。。宗教害人不浅"
Akira_sendoh,20171123,"己所不欲 勿施于人，是世界上最伟大名言之一。带有勉强性質，算是那门大宗教。"
q(T_T)p,20171123,"如果要人们尊重你的宗教，必须先尊重自己。"
chinkonlen,20171123,"我拜“钱”。钱能喂饱我三餐衣食住行，给我 data 看佳礼看youtube ，玩微信。我开心，如果要捐给人，人家也开心。所以我拜“钱”"
chinkonlen,20171123,"如果有人说：我的信仰是：无神论。嗯，那怎么呀！"
phoi86,20171123,"https://zh.wikipedia.org/wiki/%E9%A3%9E%E8%A1%8C%E9%9D%A2%E6%9D%A1%E6%80%AA%E7%89%A9"
chinkonlen,20171123,"说得好!"
馬拉棧,20171123,"國家原則根本就違反了信仰自由"
Engineer,20171123,"偶的身份证宗教是-，不懂会不会被请去喝咖啡"
chtan69,20171123,"废物部长要相信童话故事是你自己的事。不要把你无聊的东西加注于我身上。"
sm99999,20171123,"现在才来说国家原则！国家原则不是早被你们锅震震腐丢进马桶，冲进粪坑了吗？"
rongerlow,20171123,"没有宗教就是一种宗教，开来这些生物还需要1000多年的进化才能成人"
rongerlow,20171123,"根据他的说法，言论自由就是你什么都可以说，但不可以什么都不说！自由餐就是什么都可以吃，但不可以什么都不吃！思想自由就是什么都可以想，但不可以什么都不想！"
pupuman,20171123,"你漏了两个字污桶把地球王子=邪教"
sixpackabs,20171123,"不是我说的 “我们必须了解大马国情，我们的联邦宪法规定，宗教自由不代表有免于任何宗教的自由，因这是违宪的。”“这意味着我们不能煽动某人脱离宗教或宣扬不信奉任何宗教，那违背了联邦宪法。”他指出，任何实践和推广无神论者，可因违反宪法而在伊斯兰法和民事法下受罚。"
sixpackabs,20171123,"他指出，任何实践和推广无神论者，可因违反宪法而在伊斯兰法和民事法下受罚。“至于非穆斯林，据我们所知将抵触与公共秩序和和谐的相关法律。”“我们可以援引煽动法令，来对付试图散播无神论思想和教条的任何一方，因这侵犯了其他宗教的神圣。”"
sixpackabs,20171123,"被default去回教你就惨了 "
他旺,20171123,"有很多的华人是没有宗教信仰的，怎么办？来信佛教吧！在佛前诵念三皈依，成为正统的佛教徒，遵守五戒，修习八正道。不要再整天嘴巴说自己是佛教徒，结果连最基本的佛法都不懂。"
ijibang,20171124,"不说话 diam diam 没人会当你是哑巴。。。一定硬硬要说话，就说些 人话吧。。。"
alexanderyks,20171124,"搞到人心中一定要有神才能活酱。"
beoa,20171124,"这算是屁话吗？"
Longan,20171124,"国家原则不是宪法."
AhVoon,20171124,"白痴果然是白痴。"
bboyed,20171124,"允许宗教自由可以define这个意思吗？那些极端份子不就已经违反宪法了？抓人阿"
bboyed,20171124,"我们的国家马来西亚决心致力：在全民中达致更巩固的团结                             (种族团结么？）维护民主的生活方式                                     （现在连non halal都要管）创立一个国家财富获得公平享受的公平社会         （把cincin送给我们吧）宽宏对待国内丰富与多姿多彩的文化传统             (我只看到四处都是burka)建立一个科学与工艺进步的社会                         (地球是平的)因此，我们——马来西亚的人民，誓言同心协力遵照以下原则来达致上述目标：信奉上苍、                                                   (kepercayaan kepada tuhan 这翻译是谁写的？）忠於君国，                                                   （没意见，那是一定的）维护宪法、                                                   （现在国贼那么嚣张，他们有维护过吗？）尊崇法治、                                                    （这我特别有意见，大马人民都懂）培养德行.                                                       （威胁论是有道德的人做的么？）"
三傻Samsung,20171124,"我是绝对的无神论，怎么样 信神的傻仔猪们，要对付我，麻烦先证明神的存在先"
FengYun,20171124,"小弟觉得普遍来说，每个人都会有一种信仰。通常无神论者相信的不是传统的宗教信仰，而是比较现代化的自我信仰。自我信仰有，钱教（最多信徒），懒教，发奋图强教。因为现代化的自我信仰还没有系统化，所以他的教义不完整，信徒的水平参次不齐。相比传统的宗教，经过历史的磨练，教义比较完整，但也比较不符合现代人的生活水平。我觉得传统的宗教信仰是非常重要，尤其是在你想得到心灵上的平静，快乐。但有些教义也必须要与时并进，才不至于让人觉得传统的宗教与世格格不入！其实心中有真确的信仰是非常重要的，因为这不会令你太过于狂猛自大，小心行事。中国和泰国就是很明显的对比。经济，个人文化，道德都是受个人信仰所影响！"
