Topic title: 阿都拉曼达兰：油价下调，一句谢谢也没有
username,date,text
CARI_KJW,20171123,"首相署部长阿都拉曼达兰于冑綻星期四（23日）詜妰蕿在圹濍国獣脧会灱欚灃上为従蝟刕国醳摍阵“叫屈”，指每当油价鲿懻上涨倠暫堔时，在粉軒野党就婞腓会奧乲輔趁机攻击政府，而油价飘藗下调时瓎橞，却只耑哙歼是默瘰埾脗不作騺雥沗声，连一诛糜禓句“谢谢”也没有悽縮丵！据当今大悏斎马，阿都拉曼达兰猖酫是溥莣在国蔟岻会艓鋫部长问答环节时篣病饟，穭縞収如橗疄藓是表示。“昨天油价耠蕕駏下降8仙，岋罣盶他们缛柹（指在篝碫野党）没鲈铸有发表一兙旤句称赞政府寸隇焂的话，氼壉一句话都没壦糁提有。但是僷黏瓵倘若油价鍉燾上涨，韓銘我礅阄们（指国窞籀娖阵）却羧囔剱要面礃轾对各种指控紗男叕和污蔑。”刅伱他指出，洚娽崎在野党只喒踡会故意炒竫蟅作油价课题竓蓛来吸引选民支持，因此慷灀崞他向选民呼吁，在嘍瞧翬来魡獟届寸燡大选投选“坦白和淡孻诚实”鎁纗的荐薞婥国阵，给在澎尕野党稂鰂赧一濈菂个教训。新闻背景等鐸骶昪了又等 油价终于便蘥瓹下禡椪膻调了枦暷！"
AMOS5566,20171123,"政府沒有體恤民情，還要民眾感恩？ "
情牵軒尼詩,20171123,"我国几时开始可以操控国际油价的起落??在 OPEC的地位晋升了?我为何不知道的"
Mr.LowGimWei,20171123,"谢个屁。。。。。。"
binkybinky,20171123,"即係話我強姦完你但無內射就要多謝佢不內射之恩？"
yming2475,20171123,"哦那 ～～ 謝謝 "
revolt_cobra,20171123,"不要忘了人民才是老板，不要大选到了才当人民是老板，过后就当我们是贱民"
tanxinrong,20171123,"叫屈？倒米就有。"
qweasd147-,20171123,"所以说这群人一路开都自以为高高在上"
Carpenter,20171123,"他是针对在野党，如果他聪明，真的不应该这样说，只是帮忙在野党煽动此课题"
loongken,20171123,"当年国际油价在140美元时 RON97才RM2.70+0.60津贴，现在国际油价才50多美元RON97就要RM2.60还有什么好感谢。"
seankaz,20171123,"哈哈，有病记得要治疗 别放弃阿"
我很很好,20171123,"哦只能说：哈哈哈哈哈"
weiwei318,20171123,"@使用者 如果下回1.6就可以谢谢了对吗？"
alvinwu,20171123,"下到1.50。。。我们才有表示。。OK?"
eddytyl,20171123,"被你捅了一刀 你再帮我缝合 然后我还要向你说声谢谢？！"
qazz1947,20171123,"感恩感恩。不杀之恩"
ch6426,20171123,"好狗狗，那么难吃的骨头你还吃得下吗？下一次要我感谢你？下辈子都没机会！有种你就用自己的钱打油，有种就敢敢下到符合大家的水平才来叫我们感谢你我们有眼睛看，不像你是用味道来辨别主人的"
eldertitan,20171123,"发高 you"
肥仔聪,20171123,"谢谢。。"
我是无赖,20171123,"被人强奸后，还要说谢谢"
miloicekawkaw,20171123,"谢谢您调低了，搞到每个星期都要小市民提心吊胆。这个星期可以吊命一下。"
Kombat1977,20171123,"Miser！"
jq5169,20171123,"如果不是你们这些“污桶”和“国症”，我们还在这享受RM1.80的油价！！！现在还想我们感激你？？？你脑袋真的装草！！一大帮都是猪，比起我们华人你们更像猪！！！"
mark,20171123,"你这条内阁大鳄， 到底你是老板还是人民是老板？"
阿粒,20171123,"好大的内傷還沒復原，如何感謝啊？？？"
巴士来啦,20171123,"马华一灯大师已经跪下来泣谢正义必胜"
夜魔,20171123,"居然要人民道謝，一點都不謙虛哦"
猴年馬月,20171123,"反轉豬肚就是屎  得了便宜還賣乖  "
chinapee,20171123,"说以讲过。。 降低油价干嘛， 叼民都不BUY。。 起到RM5 就爽了。。。。。最好把GST起到10%，   把华人税起到45% ！！！！ 看叼民华人敢做什么！"
Wesley902,20171123,"谢你妹"
Weida,20171123,"我们要感谢独孤求败的蓝旗党部长成功为国油公司赚了人民大批打油钱来派160亿股息给政府！"
Screenshot_2017-11-23-14-01-30-729_com.chaozhuo.browser_phone.png,20171123,"谢你老母都不谢你"
sam2ec,20171123,"偶又没有叫你降价，你有本事就一直涨到大选，全国人民一次过解决国阵。"
toh7400,20171123,"谢你妈妈生了你这蠢货～"
chrisclc,20171123,"都2.30了。还谢谢吗？"
加峻,20171123,"生活好比被强奸，如果不能反抗，就一定要学会享受。是這樣詮釋嗎？"
AMOS5566,20171123," 白痴 把油价上涨后再下调些等于先涨价20仙，后下调5仙，人民还不快点谢主隆恩"
putrajaya22,20171123,"坦白和誠實？笑死人"
天然夜行者,20171123,"來，坦白和誠實地說出油價計算法"
今晚打老虎,20171123,"thanks bro"
anzeus,20171123,"没有打你都算对你最大的仁慈了"
使用者,20171123,"下到1.6？要謝咩？它欠我們的。謝啥謝？"
Weida,20171123,"腐败部长不断向选民讲风凉话来风刺民心，不要紧大选期一到就是独孤求败的蓝旗党的死期！"
RingRingRing,20171123,"为民服务 人民受惠不是应该的吗 竟然要我像任爸一样对你说感恩 真是开玩笑  "
win53,20171123,"这条不像人的水把国家财产当成是他家那个党的私人产业！"
猴年馬月,20171123,""
黑馬王子,20171123,"上 14 分 下 8 分要感谢？"
ding96,20171123,"打到你遍体鳞伤后再个你一plaster，并要你跟他说声谢谢。"
alexchng399,20171123,"既然成为政府就要有为国捐躯的精神啊！做得好是应该的责任啊！假如觉得委屈大可辞官下乡求去啊！真不了解为何本国有如此素质的人才坐位。"
kmrddecade,20171123,"委内瑞拉或者马来西亚？奇怪的是马来西亚人民很羡慕和希望国家可以成为委内瑞拉。"
kuah28,20171123,"马币跌! GST! 百物大起价! 还要感恩??"
chtan69,20171123,"我国越来越多这类废物部长了。"
lokecl,20171123,"这跟下降了１sen就在那里邀功，上涨了几sen就静静的道理是一样的。"
rongerlow,20171123,"我们认为合理的油价应该低于RM1，高过这个价位都不合理而我们为什么当不合理的事发生在我们身上时还得说谢谢？"
teachew,20171123,"快来欢呼汽油降价咯"
kmc@cari,20171123,"谢。。慢慢等。。吊你xx..脑残。。。"
pupuman,20171123,"嘿，你没资格骂这部长，他是你间接老板之一"
pupuman,20171123,"他间接在骂人民，你听不出吗?"
kevinyap03,20171123,"又不是RM1.6"
SurveyPlayer,20171123,"谢谢你祖宗十八代带你这块叉烧来马来西亚"
thunder,20171123,"前天我掌掴你七巴掌，昨天我再掌掴你七巴掌，今天我决定不掌掴你，你是不是要感恩!"
kry183,20171123,"什么是坦白和诚实？坦白和诚实就是国阵。国阵就是坦白和诚实。造句：那个人多么国阵啊~~！！！！！"
破伦希尔,20171124,"达兰的意思，油价是政府任意操控的，和国际油价无关？"
ijibang,20171124,"阿都拉曼达兰这小咔，油价下调上涨都不是你说了算，半句谢谢都没门。。。可恶的政客。。。 "
假冒是神50,20171124,"难道是他进谏后的成果?是的话可以只谢谢他不必谢BN嗯嗯嗯嗯嗯嗯"
