Topic title: 日本人最想移民的国家
username,date,text
jellyfish_8,20171126,"红豆兵嘴里最不堪的大马竟然是日本人最想移民的国家，而且是连续八年排行第一红豆兵真是身在福中不知福"
6B699858-6FD1-4277-86DD-C5B122EF31A4.jpeg,20171126,"如果大马 / 日本 开放移民    （大马-〉日本， 日本-〉大马）哪一个会比较多呢？马奶下人去日本/hentai国人去大马"
Akira_sendoh,20171126,"卡仔卡妹稱我國的發音。"
一燈大師,20171126,"马来西亚这个保守全部要包紧紧没有得拍A片日本人能适应吗？"
bkkt09,20171126,"不会就不要假厉害 マレーシア"
Akira_sendoh,20171126,"楼主还不赶快叫你主子开放给日本人进来，不要等咯！"
prince,20171126,"难怪penang酱多日本人，尤其是火锅店。"
tanxinrong,20171126,"什么尽然，中文有学好吗"
舞猫猫,20171126,"多點 日本人 移民來好，可以教授我們大和精神"
followme123,20171126,"1Malaysia。              "
一燈大師,20171126,"平时怎么没有看到日本人。。。感觉好可笑的。。突然想到所谓的3年08个月份。。。"
12A123,20171126,"楼主你要小心了！日本人最喜欢玩像你将的中立妹，尤其是代号水母型的！惨料！很快你就完蛋料！"
lhchew,20171126,"他们来了一整天yameteh就够了。。。"
daered,20171126,"一個人不穿民族服飾，你單用眼睛看難道分得出誰是 華人，誰是 日本人，誰是 韓國人？"
支那一番,20171126,"你去的不是日本人集中地当然没有看到日本人，就如你去文艺青年的集中地如何看到拉拉。"
科学就是未来,20171126,"你果然不是华人。。。"
12A123,20171126,"多多少少可以分辨得出。尤其是日本人，虽然我的日本客户住这里10多年，讲话都很马来西亚style 了，但是打扮还是很日本"
科学就是未来,20171126,"他没有把【竟然】写成“尽燃”已经是很好了。。。"
蓝火爆,20171126,"因为这里什么都超便宜。所以很多人想移民过来当皇帝出过国的都知道外国的物价和屋价"
yoke2312,20171126,"改鸟，人有失手，谢谢指正。"
RingRingRing,20171126,"那就太好了 到时一灯就有对手切磋了 "
enidsyl,20171126,"很容易看得出，就算他們不開口說話。除非他們混了血。"
enidsyl,20171126,"樓主，紅豆泥疊死卡？"
友仔,20171126,"不错ヽ(≧Д≦)ノ"
友仔,20171126,"楼主，你可以打算去"小日本"追一个妹回来大马ヽ(≧Д≦)ノ"
蓝火爆,20171126,"知错能改善莫大焉。。。转軚支持火箭吧。"
jellyfish_8,20171126,"没有什么能比一带一路更振奋人心，百年难得的机遇会改变大马现在死气沉沉宗教导向的不归路投火箭搞回化，还不如投月亮"
他旺,20171126,"本来就不是同样的民族，当然会有差别。"
teachew,20171127,"它已经中了鸡鸡毒、河马毒了，已经中毒太深，深入骨髓，毒发攻心！除了每天念念有词“马犀利一号”、“左青龙”之外，已经不可救药啦！面对这种没脑没眼没骨生物，你还是省下口气吧！"
teachew,20171127,"一带一路？到现在还是什么也没有！枪手特别喜欢空中楼阁！中毒太深！"
蓝火爆,20171127,"人同妖都是有阿妈生的。。。不同的是；人是人阿妈，妖是妖那妈。。。水母也是一样有阿妈生。。。不同的是；正常水母是水母，普通水母是普母。。。"
pupuman,20171127,"来了马来西亚后就后悔，然后立刻飞回去了"
pupuman,20171127,"水母仔心里想： 支持火箭没有佣金"
qazz1947,20171127,"原因是天气 费用 没有天灾的环境。但是绝对不是bn政府。bn政府唯一帮到的是马币一直掉 他们来这里退休越来越省退休金"
CjHyMC,20171127,"先别急着高兴或开骂。先看看我们这里为什么能吸引日本人。刚才做了些功课。发现到主要有三点。气候温暖，美味的料理，英语通用还有物价便宜，房价便宜，人工便宜。搞不好人家看上我们这儿，是因为这儿做啥都便宜。吃枣药丸"
advocado,20171127,"看一眼就知道是日本，韩国还是小中人了。他们开口只是Confirm。是有很大差别的。不只是样子和口音，举止/衣着和表情都看得出。日本人多数在Damansara/Subang/Saujana/Midvalley一带。下午经过可以看到他们站在门口等小朋友坐校车回来。很轻松的。"
yming2475,20171127,"漢奸本色 ～～"
蓝火爆,20171127,"支持火箭，只谈良心不谈佣金。"
jellyfish_8,20171127,"火箭现在的班底个个千万级身价谈心。。 呵呵？记得吧每个月拿到的RM3k-4k 转账进我户口"
蓝火爆,20171127,"你何德何能可以值3、4k？。。。"
jellyfish_8,20171127,"就凭华小文凭不喊爹叫娘只说事实不打诳语"
蓝火爆,20171127,"坦白说。。。你和大师相比，还差得远呢。"
jellyfish_8,20171127,"对，大师是真的政治人物我是华小毕业生，路见不平"
蓝火爆,20171127,"路见不平？我吐了。。。我还幼儿园毕业呢。"
syncsw,20171127,"一个国家受不受欢迎很容易看的。如果某个国家的中立仔，每天大唱自己多爱国，每天说该国的经济多好工钱多高，自己却跑去外国当底层劳工，你就对那个国家的情况有大概的理解了 "
Ragnarok026,20171127,"與其說是我們這邊的物價便宜，不如說是日本的物價詭異到一個境界 "
天然夜行者,20171127,"用高收入/高退休金來馬，當然不錯。。。"
syncsw,20171127,"水鱼仔的资料是哪里看到的？如果马来西亚真的连续8年排第一，为什么日本外交部公布的海外日本人排名，马来西亚远远抛在后头，连十大都排不上？（H28是平成28年，就是2016年的意思）"
wrx_sti85,20171127,"那就过来这里啊。。。日本妹子"
