Topic title: 大选或落在农历新年后？  扎希促华裔选民“别再做错决定！”
username,date,text
Cari_LSV,20171127,"第14届全国岀吸樳艏大选或许落在噐境龆农历新年嚢廥浣后？根据马新社，副首相阿末扎希栴判于星期天在駔弥桬霹雳半港为棋簒峇眼拿督路十二支张府宫槂暑主持开幕仪式时搚黐，似乎语带玄机地馁舆暗示了芄羫第14届全国趆疑鬾飼镪大选奱钕闙的日期。他霫铖在逓剒剌致词曞蕊潍中提筘綴到两絙莨浽个“大拓僓日子”，堐淅分别豣铁凚为华人沷鉫皒农历新年鼕檅僇和傍梻礽全国妄紋郓关注旐籚驏的第14届全国恵猧鐌櫞鑌大选，还敦促华裔选民，别再做出错误决定！“别忘了挽蟲大丱棡溲日子（农历新夬濯镲年）即将騗笷到嚗軾谡来，农历新刵朶嵃年后会幸蕣篪梠軿有另適倌紵一个胜鄠綱“大蕦祘日子”。嫾螣譿如果閮悧嬼以前郿懝赢有失误（没有埄聨埱投滱湯国阵），没关系，州樟鏸我可以瘣牳原谅你们个塹。但藯譱女如果可以犮霄軐庍睼的话，这篐聪次别再失误哦！”"
Orochimaru,20171127,"原谅？投票给谁要得到你的许可？"
Carpenter,20171127,"晚报可能会说媒体错误诠释不管是农历前后，改朝换代是我们马来西亚的最好选择"
Heng1234567890,20171127,"上一届大选 47%的选民可以听听他的意见"
雷克斯R,20171127,"到時又像狗那樣求票了 "
wrm95,20171127,"无论大选日子定在几时，决定权掌控都在大马选民手中。"
探险家,20171127,"如果华人继续投票给国阵, 就说明嘉马的流氓暴力做法有效果, 他就会更加变本加厉, 他就会在UMNO变成英雄, 因此国阵每次都用这方法就行了, 多一次513就不要怪马来人, 怪华人自己白痴继续投国阵....."
Y880123,20171127,""
filenes,20171127,"错误的决定不在人民,要看政府施政有没有获得民心."
Wesley902,20171127,"选你才是大错特错"
tanxinrong,20171127,"这次我不会做错决定了。感恩。"
xplorex,20171127,"放心，完全没有做错，也不需要你的原谅...."
uberdriver,20171127,"ampun tuanku 哈哈"
Daewood,20171127,"我会的，已经受苦很长的一段时间了"
Theraceuyl,20171127,"没关系 你4年就来一次原谅的了但还是谢谢 所以我才其实压根没原谅你"
jellyfish_8,20171127,"几好下，农历新年，马犀利一号的；兴！旺！发！喊得特响亮估计可以争取到一些票不过记得挺听清楚马犀利一号是不是在喊：新玩法！"
完美@1010,20171127,"初一解散国会，十五投票最完美了 "
vongolia,20171127,"很想投国阵，但我又怕给错signal 国阵认为嘉马和红衣的流氓暴力做法让华裔怕了才投国阵。 如果我投国阵，国阵错误认为嘉马和红衣的流氓暴力有效，以后会不会安排他们耍更多流氓对付华社？ 不过放心如果是回教党vs 国阵 我一定投国阵的， 毕竟回教党主席哈迪已经被国际阿拉伯等国确认为恐怖主义支持者，我可不想支持恐怖主义。 "
Barryliaozs,20171127,"他真的可以让那些摇摆的选民又有决心去支持希盟了。"
使用者,20171127,"我投給誰管你屁事啊？你都不顧人民的感受。我當場吃掉選票票，你也是醬。"
tat93,20171127,"死国政 不推翻你才怪"
wlwl,20171127,"他凭什么原谅选民？选民都还没发话要惩罚他！"
Hishammudin,20171127,"清明節是不錯的日子"
坦克車,20171127,"負獸像說的是，我不會被國陣騙，投給國陣我就真的大錯特錯了。"
情牵軒尼詩,20171127,"我相信票会回流。毕竟火党对麻花开炮根本就不治标也不治本。傻瓜才以为麻花是决策人,国正的老大,白痴才相信。"
情牵軒尼詩,20171127,"那我朋友天天说吗乃人bangau,是不是说他们很爱吃鹳??"
bkkt09,20171127,"副首相是要提醒大家选227老人党的首相不是老马就是安华如果是老马当首相，国家需要准备一千亿给老马朋党挥霍如果是安华，安华会找回教党合作，最后把马来西亚变成回教国"
耶稣的爱,20171127,"好嚣张"
小东北,20171127,"我真的不懂我几时做错决定了"
瘋流材子,20171127,"国阵好啊本来要投国阵的，看到你说原谅华人，我就很不爽了我不爽就不投你们了"
@天生谋略家@,20171127,"大家好好选哦..."
天然夜行者,20171127,"把自己儅皇帝？"
feilong,20171127,"原谅？说得好像国家是他老爸的。"
Cathe123,20171127,"弱弱的问一句，要是又来一次停电怎么办？"
AMOS5566,20171127,"施政公平與否  如人飲水  冷暖自知 "
Weida,20171127,"大家要忍耐一下吧，官只两巴口随他讲吧到时候选民就会给独孤求败的蓝旗党一个历史性的惊喜和震撼！"
FundMania,20171127,"促华裔选民“别再做错决定????上回我是投【国政】的，我做错决定了吗？这次我不会再做错了，扎希你会支持我吗？"
monster.inc,20171127,"去到哪裡老闆都是說gst kastam  弄到大家都不爽。 投你一票慢慢等門都沒有。"
beoa,20171127,"为什么错的老是华裔选民？？"
mark,20171127,"你这条内阁大鳄到底人民是老板还是你是老板？"
garyke,20171127,"可以在戏院看到一个穿红衣的鸡对着荧幕讲 kong si fat cai  了"
loongken,20171127,"国震不倒人民吃草几时都适用。"
Weida,20171127,"当权的时候已经把全国选民忘掉一干二净还不断激怒民心和表现傲慢的态度，现在独孤求败的蓝旗党为何好像死狗的样来呼吁华裔选民来投它一票呢？"
梦想之追求者,20171127,"现在反而是巫裔选民希望别再选错了哟"
RingRingRing,20171127,"人民是老板 还是按摩炸吸是老板 弄到我有点乱"
支那一番,20171127,"其實叫我 babi 我不會覺得受傷耶"
qazz1947,20171127,"Br1m 一毛都没有拿过。马华仔快点联系我吧。捐款，我就投bn一票。"
gavin@_@,20171127,"相信共肥，请投鸡哥。"
0177086804,20171127,"认真说乌桶这50多年让我们过着怎样的生活呢？请认真想一想，别让孩子和我们一样，让我们一起改朝换代吧？打开希望之门。"
Weida,20171127,"大选日就是全国选民起义的时候能不能够成功倒独孤求败的蓝旗党就要看这个时刻！"
12A123,20171127,"反正都原谅了，就要准备再原谅吧"
神垂死,20171127,"以前投错投到伙奸=月亮，这次不会再投错，肯定投国阵~"
unhpyppl,20171127,"我们华人大都支持一党化，能得到原谅真是无限光荣，但愿华人能与中央政府促进和谐社会。"
fruitkiwi,20171127,"他奶奶的，你管太多了。"
L.S.J,20171127,"好的。。别再做出错误决定。。"
rongerlow,20171127,"从来都没做错决定，谢谢提醒"
qazz1947,20171128,"仿佛副首相叫现场的马华党员不要做错决定"
kamloontai,20171128,"贊同你，回教和國政我選國政，馬華和dap我選馬華，西門的amanah也是土權。"
Kombat1977,20171128,"保证不会错了！放心好了大哥！"
AMOS5566,20171128,"這兩天，大家都在談論華人農曆新年的“大日子”，這個大日子除了是對慶新春的期待，也有副首相拿督斯裡阿末扎希說的另一個“大日子”，難免讓媒體和所有人聯想這是暗示大選的黃道吉日。不過，並非由首相露口風，竟是副手說出這番如此明顯暗示的話，根據老二哲學，這不應發生在征戰政治沙場多年的老手阿末扎希身上。這個所謂的“大日子”，或許真是別有意思，不是指大選？暫不理這些故弄玄虛，我們就來談談華人農曆新年的“大日子”。說起這個“大日子”，就必提起前首相敦阿都拉兩次領軍國陣出征全國大選（即第11和第12屆全國大選）；阿都拉于2003年10月31日從前首相敦馬哈迪手中接任成為第5任首相后，不到半年時間就解散國會和大選，于當年3月21日以清廉形象和新首相效應，勢如破竹贏走222國席中的198席。但是，阿都拉于2008年2月13日，也就是當年華人農曆新年期間的農曆年初七宣佈解散國會，阿都拉最終在“308政治海嘯”中慘敗，神話不再，無法重奪吉蘭丹政權之余，也痛失檳吉霹雪4州政權（較后在多名霹州議員跳槽下重新執政霹州），222個國會議席中只贏得140個，史無前例地被否決國會三分之二議席的優勢。阿都拉原定于2010年轉讓職權給副手拿督斯裡納吉，也因巫統高層壓力提早至2009年3月轉讓職權；納吉于2013年首次領軍大選，反風更盛下以133勝出國席保住政權，當中馬華、民政、砂人聯黨和人民進步黨大敗，主要是巫統和東馬撐起半邊天。反風依然存在由此看來，華人農曆新年期間宣佈解散國會和投票，似對國陣不利，也易引起正慶祝新年的華裔反感，黯然下台的阿都拉是最典型例子。雖然華人農曆新年期間的學校假期和很多人休長假，但是很多華裔遊子都選擇回鄉數日就返回讀書或工作的城市，較后相信不會為了投票日再度花費返鄉，令遊子投票率低，如在此時大選，必少了很多華人票。從巫裔選票看來沒有流失、華裔雖有回流但反風依然存在的情況看來；或許，在華人農曆新年期間全國大選，也是當政者故意為之所要看到的結果。（中國報論述**余佩妮）"
yming2475,20171128,"這一次的大選我還是要做錯決定 ，不需要你原諒 。。"
