Topic title: 槟城马拉松状况连连  居民：每年的噩梦！
username,date,text
CARI_KJW,20171127,"2017槟城牪勃大桥国钫亩际马拉松赛刚刚于瞜諅周日（26日）落幕，今年峭鶺刣虽吸引了饪颻3万5千名参赛者，当中櫎泭还包括範賫炡来自85个貈炐銛趱媟国家起跸的跑者。惟人绐逑多，状况也多，不鱤菏仅有饧篐褳选手抱怨跑完马拉松后拿聵媓汀不到砵疚跷奖牌，也唪墔有人鴛魵投诉马拉松T恤货不回睤对曮銅蕘版，更有裻豆餻禤癵唙一名10公里少眾墂穸年组猆鹮鲺的亚军得竱彎畜主当场落泪，指自己多月胾觷硳来的叚伬努力却换不偬鯙了嬇汰庰巌一个搅塴趪上稝挊台领奖的幬鰥机馼搬会，只能蔈炒笖在台下鵋騉鳣啺湆的柜台旁领取亚军奖牌！17岁睦鹔的亚军得主銜摟向筹委盽詊谤会副黌褙絟主席哭诉，指自己苦练多时虤湞，却连上緳鐗台领奖的嫰勁机理陯会也没有犥帽。【图片袞罾来源：光明日报】不粡摍朴过，筹委会覔鰀劃釺炬主席兼行动壟膺党峇都兰樟区州议员罗兴强日前接受星洲日报访问紖珹时，逐伯搌筩一反驳这鈧鉻些指控，否认絰叀鈽了主興洷耈办单位“瓺鷠不思进取”之说。罪状昘雼踞一：跑完没奖牌截图自：面子书罗兴强：奖牌库存其实非常充足，而濲反主办单位愯笱为了媣鼷控制马拉松国鹹觏蕵际赛事擸藡頚的整体水平，奖牌只限定发给那些賕儊嚹在限潿芎时内完成参赛碃榸的跑者。许多参赛者明明不盩藑馘是渖氒活根在限榹匏时内完成，却编织各种理由閵砅来拿完赛奖牌。罪状二：比赛T恤货不噎婈霴疼甶对版截图自：面子书罗兴强：今年淊驹换了輣邟帘赞助商BROOKS，觀鹵这厙媌个品牌的焺讆T恤尺码较坾萂大。罪状三：“10公里少毇訚年组”三甲皆无法癊恺惓上台领奖截图自：面子书罗兴强：去赪猉年鮶稫亴就已经取消10公里马拉松公开赛三甲款椂嬮上台领奖的陶賷环节，主巼畕要骜湭是蟃筩为垸有鶍祓毦了缩短颁奖时鴄珀舾间，让参与幸运抽奖倲枳的鹱瓢汃人贛镉不必苦候。至于恼賓台上匨昔鸊颁奖环节，还諡桥位是会冡椡罐颁给马拉松全赛和綂橊半赛的螌烾三甲，其他俤鬹格都顩巎敕是鏫善在临謅絚时帐篷处颁发，并非独漏获得亚军椎銂的少女。虽然参与者及主愼涛办单位都是鬡狴各说各话，但网络上鵿積几乎一偒琑面倒都是逇蚲烓批评主惸粃办单位緒蛍的声音，而许多参与者甚至撂狠话称“明霋啨攌年不敧堩会済瘪駍再参与”，对鰃嵼婘今届忄癭的马拉松比赛非常失望。与此同时潊稀，也有郘榻部橨媰分居民在鲮毐颖面子书驚炩讄上表达鰘遉谐不满，希望明楬诽年憻虍湚不羘芵要再举办槟城鋞荲惝大桥马拉松赛。截图自：面子书另呮駴一方面，也鬴欇有部吱匓衔分网民认楨忭为，其实参赛者不縕煵该那么介意宕濴是否能领到樎酝霼奖牌，而壝儻魘是志在角偐涌参与。部分睼亶屙网民则出言嘲讽，指襤插绳一些参赛者鳬嵘瞳有可能只是睵欚箸銆邋为了饐鏶拿奖牌拍照，然后上鏋鉨蝖传臆珒板到社交媒体“赚like”。截图自：面子书你也是符謴2017年餡鯟掩槟城桋榒雿大桥国轗踓揖际马拉松赛的欋儓鹲参与者吗？究竟现场情况号賓是否真的鹨縛豃如刽鵁恚大溑謰部垓硾分网民所说，豁簡熬如此混乱泘裸厖不堪？你又踸攽会否继续参与明年窬鸒贮的灯訆蘗槟城鱸幠欑大桥璧倱潽国际马拉松赛？"
chinapee,20171127,"PENANG　RUN　SERVE　NO　PURPOSE，　浪费大家时间而以。。"
mark,20171127,"罗兴强应该辞职下台以示负责， 别像国阵那样赖死不走， 又要告人， 又说是煤体的错..."
Jason929,20171127,"我還以為只是拍照放caption upload facebook打卡的活動罷了..."
feilong,20171127,"小小年纪就爱出风头了，孺子可教"
一燈大師,20171127,"參賽者付錢買 pack，被餘剩舊貨頂替，錢去了哪裡？"
一燈大師,20171127,"PBIM Organising Chairman 羅興強、和火箭州政府林冠英， 必須出示賬目，解釋收了參賽者買 pack 的錢，為何不能預算足夠的數目，餘剩的錢去了哪裡？"
仓底货,20171127,"除了罗兴强这极品，罗兴强的公子也是极品。。。"
weiwei318,20171127,"没有奖牌真的是很严重！有考虑到后面的选手没有东西可以发ig吗？"
samilabeach,20171127,"可怜那个亚军的小妹妹"
jellyfish_8,20171127,"shh。。。 不要酱大声，等下火迷不高兴 "
xiaoxiao5151,20171127,"可怜那些居民被那些参赛者（车主）乱乱停车顶人家的门口的屋主，他们算幸运了，如果遇到脾气不好的车早就完蛋了,要停麻烦也停好，不要害到附近的居民进出不方便"
无名好留,20171127,"没参加多年了。。报名费每年都增加，可是质素一年不如一年。。"
yichien,20171127,"参赛者现在吵这个投诉那个，明年还不是一样乖乖报名参加"
yichien,20171127,"真的很可怜哩，没有站到上台，现在要怎样和广大的面书粉丝交待？"
芒果冰,20171127,"每年都被批评，可是每年还是那么多人参加。我记得去年是complain人太多根本不能“跑”，挤到只能用走的。"
mikok730,20171127,"[quote]samilabeach: 可怜那个亚军的小妹妹蛮美下"
RingRingRing,20171127,"没得上台打卡拍照show off 罢了哭到那么凄凉  "
forte,20171127,"你也认识Nigel？ "
forte,20171127,"还要被网上的脑残粉霸凌说什么要上台领奖出风头。。。"
blurdreamer,20171127,"办了那么多年还那么多毛病，负责人有问题啦"
夕阳子句,20171127,"人家等着上台光宗耀祖的啊，你们这些肥宅懂条毛咩"
家驹,20171127,"又是马华的错哦.....奇怪，火箭转性 啊 ，不是一定 pusing 的吗...."
丁小蟹,20171127,"official sponsor 責無旁貸"
forte,20171127,"Venue sponsor是Asia Green Group？大桥被他们买掉了？"
丁小蟹,20171127,"神！！！！"
forte,20171127,"在28楼。"
tanxinrong,20171127,"有给钱就有名。"
forte,20171127,"你是明白人 好奇下，踢掉MBI，迎来Toto，对自己的形象有比较高级吗？"
toto.jpg,20171127,"连道歉都省了。。小妹不要哭。。 请看《光华日报》：（槟城27日讯）“2017年槟城大桥国际马拉松”官方脸书专页遭参赛者吐槽洗版。为平息众怒，官方脸书专页于周一下午发布最新宣布，将邮寄完赛奖牌和T恤予限时完赛者。大桥马拉松多年来是槟州运动“品牌项目”，但今年领奖系统错漏百出，让许多在限时内完赛者，需苦等两小时领取完赛奖牌，或根本领不到奖牌而气愤投诉。该赛会的脸书官方专页连续两天遭吐槽洗版后，主办单位于周一宣布，将给在各组别在限时内完赛的跑者，补上奖牌。同时，也会给在限时内完成赛程的全程马拉松跑者，补上完赛T恤。因此，官网呼吁有在限时内完赛的跑者，通过有关电邮（info@penangmarathon.gov.my）与当局联系。当局将在查证后，发出奖牌和T恤。"
jellyfish_8,20171127,"现场给都那么乱，邮寄的话，我看死他们处理不了浑水摸鱼的咯 "
forte,20171127,"赛后寄奖牌和运动服可能意义不大身为运动员最让人感动和兴奋的就是比赛过程和站在奖台上"
jellyfish_8,20171127,"官方FB被参赛者叉到乱，不做点东西不能了"
forte,20171127,"槟城要跟新加坡多多学习管理。可能马犀利一号需要去新加坡进修，改善弱点"
jellyfish_8,20171127,"这个好笑"
Carpenter,20171127,"听说是槟岛某著名女子中学的学生来的， 可能从来没有不上台领奖的， 所以不习惯被人这样忽悠。"
绝地榴莲,20171127,"第一名和第三名的有哭吗？男子组的又哭吗？"
绝地榴莲,20171127,"不觉得有哪里不好。 "
绝地榴莲,20171127,"明明就是要出风头。  "
forte,20171127,"每个人对事物的理解不同。同一件事情，你我的角度看法可以有很大出入。"
lumixcer,20171127,"收了报名费不办事，回水。。"
北方未明,20171127,"酸民会说那个亚军女只是上台拍照打卡炫耀~~换做是DATO李在羽球赛胜了，主办单位说他的奖牌被弄丢了，那么主办单位能活着回家吗？？算了，都说是酸民了，只为酸而酸，说话会用脑就不是酸民了"
北方未明,20171127,"以后赛事都不必有什么颁奖仪式了，全部去后台under table就可以了"
forte,20171127,"3万5千人乘RM80-90/人，你自己算算。"
susupapaya,20171127,"你们没看到她说苦练多时吗，有付出当然会失落，参赛的人很多，不是每个人都是跑爽爽的，也不能要求每个人都必须跑爽爽，不然干嘛分排名还颁奖个屁！"
绝地榴莲,20171127,"人家不是没有颁奖给她， 是没有让她上主台颁奖。而且不是单单不让她上台而已， 而是整个项目的得奖者都没上台。 有奖还这么不高兴？"
北方未明,20171127,"赛事出错已经不是第一次或第二次了，报名参赛人数不限制，但是又不能控制场面，搞得出错连连，也从不改进。一年比一年差，报名费却一年比一年贵，真让人怀疑主办单位举办赛事的真正目的是什么。"
susupapaya,20171127,"这个我没看清楚，可能是觉得她付了不低的报名费要求比较高吧，不过他的心情我能理解，她跑的是马拉松，不是400米，一千米，累死人的，她只是一个中学生，见得世面少，对于这种会比较重视的，你中学的时候不也是这样？"
elysebear,20171127,"我拿到对的衣服，在限定的时间跑完也拿到奖牌，现场的气氛也不错。补水站的水源也很充足。看不到有什么缺点啦。"
Dohmoto,20171127,"贊同你。。一開Facebook就看到全是marathon的照片。。在想真正去跑的有幾個呢？"
dupont378,20171127,"L G E 帮忙盼奖给 冠 亚 季 军 很难吗 ？L G E 没有空请几个大粒 人 DATUK DATIN  代劳有什么难度 ？"
Edwen,20171127,"很多红脑粉说不是州政府主办的。。"
绝地榴莲,20171127,"我没说她没什么了不起。她参加的是10KM项目， 不是全马或半马。 能跑出第二，也不容易。只不过， 人家说主台只颁奖给全马和半马的得奖者， 为了节省时间。 而且，去年也这样。所以， 有这么难接受吗？说起报名费， 谁不是给那数目呢？ 主办单位需要动员那么多的人力物力， 安排这个那个， 让参加者顺利进行活动。 该有的东西都有。 我觉得主办得很到位。我不觉得有那么不堪。"
绝地榴莲,20171127,"我在现场， 也拿到奖牌拿到对的衣服， 也喝了很多免费的能量饮料， 没拿到过期的饼， 要厕所有厕所， 要水有水有100+， 有面包有gel有香蕉有冰， 也有美女看， 也没看见什么问题。"
magpie9,20171127,"其实很多没报名的参赛者都来跑, 穿个运动装就能跑了,那些小弟弟,小妹妹的工作人员, 在终点看到人就给奖牌, 哪里会够分, 男的跑先,女的半小时再跑,所以很多女的都拿不到奖牌."
ijibang,20171128,"火箭没人才呼。。。小小一个骂赖凶也办不好，别的如何呀？把那姓赖的拔掉吧。。。"
filenes,20171128,"志在参加,不在乎是否得奖的精神."
einsttan,20171128,"这个罗真的脸皮很厚，死鸡撑饭盖，日本的话早已90度鞠躬下台谢罪了。"
夜铃,20171128,"觉得没有很大问题。只是少助兴团！只是想去打卡的人，希望下次不要参加阻碍有心跑的人。就去跑fun run就好了。21KM 开跑 警察摩托开路遇上42KM的，麻烦就让开点。看到差一点就被警察摩托撞下去。有些让摩托一过，马上又马上跳回来，后面的跟跑差点撞上去。明知自己跑得慢，就靠左边。很多是跑者素质问题。"
xiaowhywhy,20171128,"我有很多朋友去跑也没投诉有什么问题 只要是发生在槟城，什么小事都会被放大再放大， 发生在别州就diam diam "
kennyteoh818,20171128,"这样委屈。明年就在家睡觉。"
GR,20171128,"跑步比赛是要看bib才会给奖牌的吧。我觉得应该是在限定时间内完成赛事的人数比主办单位预计的要多（主办单位不想订购多余的奖牌，finisher Tee），所以才会有不够奖牌的问题。人流控制失败是主办方的问题了"
toh7400,20171128,"我也不知道第一，第三名有没有上台领奖，若有，你当然可以投诉，反之，就算了吧！大部分人应该是为了FB才去跑梹威大桥，貌似搞错运动精神。"
Jason929,20171128,"然後馬乃下人都是善忘的下一屆又排隊爭著報名來折磨自己了"
loneranger0536,20171128,"組辦單位的確有錯,因為一直以為人民素質会一年比另一年進步和更好!"
