Topic title: 首相：海外投资回酬高  KWSP外国投资达29%
username,date,text
Cari_LSV,20171127,"雇员公积金局锨夗齼在国衬忸躌外投资所得錯胃桥到篍攣的回酬，远比国辘貽内投资来喓隦屶得高！根据当今大柌赇飤马，首相兼财长纳吉透过书面指出，从2010年湆葳至2016軌攉鋮年，公积金局翫甀樏在浒鄺国外的羑摗婄投资盈收介註巡于7.13%至12.84%之间，但酌荽鏶国内收益只得5.74%至6.82%。“在釘赐蔪憖国外投资除懖麫蹾了可铝鷩綄以禨鸪分散投资风险，减低鷀云对絍莔销国内资鮻飞产镾艘的集溃樐溒中风险，公积金局还可以瀜謷同閁鰿时透过海外投资获得各项优惠，更何况，海外市场瘇銂的流医欠峱动性更好。”首相表示，镻磒憋在2010訬呑鼏年，公积金局只里紮有10%投资鈢絡是位于疠筣国譡踙外，但薢乢来到駀緾2016嵛嘧整年6月，国茠鎀鴙外衻滟钙的投资，已经增加至29%，而国唤偰内投资则慻甏哉是减少至71%。但嚊瑽是，雇员公积金局鷠盆滶的投资资壨檳产却从原谏洴来的谷侈諩4405亿2千万令吉，增加至7597亿8千万令吉。据报道，公积金局狛筁箜的投资一槀春共曥峣分布褿寳綠在40个荑书蔉国昧痷欚家，涉及超过25种货币。首相劓嗣焲是透过书面回复公正党瓜拉冷岳瓂齀国会零纰稥议员阿都拉沙尼针攑共劁对“公积金局的忮嬚圄国蹳鼅憐外投资详情”宫橸悸的提问謓髫时，做出这饊鄵柂番回应。"
beoa,20171127,"分红多少？？？"
mark,20171127,"MO1 有7597亿8千万令吉可以花了"
Weida,20171127,"在大选前又想謀人民的EPF一批大钱！"
Screenshot_2017-11-27-14-52-20-710_com.chaozhuo.browser_phone.png,20171127,"很少听到有钱赚有的还欠下ー屁股债。"
loongken,20171127,"現在開始放糖了，等你們相信了，他們就放多錢進入，然後世界最大的Money Games收網了"
workinpenang,20171127,"公积金局欠下一屁股债？？？？"
kmrddecade,20171127,"對國內的經濟沒有信心? "
雷克斯R,20171127,"为什么2015和2016年的收益比2014年高或基本持平，但派息率却远远低于2014年？有什么特别的原因吗？"
syncsw,20171127,"自己都不支持本地投资了，还有脸骂槟城赶走外资？"
瘋流材子,20171127,"馬幣跌了多少巴仙？"
丁小蟹,20171127,"投资在自己40国家的银行账户吧 "
RingRingRing,20171127,"留着给经济不好时用。因为前景不是很乐观。"
tanxinrong,20171127,"其實都投資甚麼項目呢…好奇"
寂寞的小子,20171127,"蓝旗党在大选倒台前夕都要挖尽人民的血汗钱为自己铺路真正是MG KING！"
Weida,20171127,"不把人民的血汗钱投进鳄鱼口绝不罢休！"
Weida,20171127,"怪不得外国人越来越少在这里投资了。"
qazz1947,20171127,"当然高啦！马币一直跌！"
rongerlow,20171128,"当然获利高,因为马币一直跌."
filenes,20171128,"黑箱作業，沒有人知道多少錢被A掉了。"
syncsw,20171128,"谢谢你的解释，我几乎以为是epf做假账 给少dividend 是留给谁用？epf member 还是政府用？so 这个给8% epf 又代表什么？经济前景又变得很乐观了，不需要留着给经济不好时用了？"
tanxinrong,20171128,"两个不一样的东西。给少dividend是留着给以后几年赚不够时还能给接近6%dividend留后路。这点在基金管理是很正常的practice。如果赚多少就给多少，那么金融风暴那年岂不是没有派息？另一个减少epf contribution是政府刺激货币流通的其中一项措施。毕竟派息再多，也被绑死到退休（当然account2 等除外）。根本比不上减少contribution来增加的货币流通量。"
syncsw,20171128,"所以我有show出reserve margin啊，没有看到最下面那行？为什么之前的practice - reserve大概收起来0.5%/0.6%，2015年要收起来1%，2016年要收1.5%。看不明白我的问题？"
syncsw,20171128,"epf的portfolio大部分是fixed income asset和相对稳定收入的investment properties/蓝筹股。来说一下，那一年的金融风暴的actual return是少过0%，要靠之前的reserve才能派息的？"
syncsw,20171128,"“毕竟派息再多，也被绑死到退休（当然account2 等除外）。根本比不上减少contribution来增加的货币流通量。”既然你都知道派息多，也被绑到死，也就是说epf member不能用那个钱的，epf还是有access to那个fund的。那为什么你又说要留着钱，应付不乐观的前景？头脑pusing到乱了？"
tanxinrong,20171128,"不一样。一个是派息前，一个是派息后。虽然都有access，但一个已经是出去的钱，不能在大选年push高当派息用。前景只是其中一个因素，政治因素也有可能。"
syncsw,20171128,"所以马华仔早早说是政治因素就不会被piak piak piak了咯，还跟我扮什么淋专家 还有一个可能是技术因素，就是做假账。"
tanxinrong,20171128,"江山易改，本性难移。"
syncsw,20171128,"对于piak piak piak 马华仔/中立仔，我的确一直是不手软的 "
Weida,20171129,"国负基金投资马股失利亏损90亿何况EPF把我们的血汗钱几百亿投资美国么么建设看来冻过水！"
Screenshot_2017-11-29-21-06-47-443_com.chaozhuo.browser_phone.png,20171130,"软银折价入股．KWAP优步投资恐亏损退休基金局（KWAP）去年斥资3000万美元（约1亿2300万令吉）入股优步（Uber），随着这家召车公司的最新估值折价超过30%，退休基金局第一笔海外投资恐怕落得亏损收场。SINCHEW.COM.MY软银折价入股．KWAP优步投资恐亏损- 财经| 星洲网Sin Chew Dailywww.sinchew.com.my/node/1705989/软银折价入股．kwap优步投资恐亏损17 小时前 - （吉隆坡29日讯）退休基金局（KWAP）去年斥资3000万美元（约1亿2300万令吉）入股优步（Uber），随着这家召车公司的最新估值折价超过30%，退休 ..."
loongken,20171130,"看来国腐控股和退休基金投资亏损额隐藏泡沫！"
Weida,20171130,"那班蒙佬还会不会说   "
loongken,20171130,"如果有些人平时不看财经资讯还以为国腐控股和退休基金还在海外投资赚钱！"
