Topic title: 連花花草草也管理不了，火箭檳州政府向新加坡求助，試問這樣的政黨如何執政中央？
username,date,text
一燈大師,20171129,"連花花草草也管理不了，火箭檳州政府向新加坡求助，試問這樣的政黨如何執政中央？林冠英啊林冠英，你連個後花園也治理不了麼。李顯龍 應該會笑到肚子痛了。"
一燈大師,20171129,"謝謝新加坡 PAP 照顧 DAP。Majulah Singapura untuk Penang."
jellyfish_8,20171129,"是要好好跟新加坡学习治水和防范水灾的方法"
syncsw,20171129,"今天终于有lim sian see的新贴子可以抄了，不用再开那种几百万为何放银行FD而不放保险箱的神贴了。"
syncsw,20171129,"如果新加坡园艺做得好，槟城和沙巴跟新加坡学习寻求进步有什么问题哦？lim sian see没有其他题材了咩？"
syncsw,20171129,"澳洲首都的植物园也要像新加坡取经，向人家学习有什么好笑的哦？马华江夏仔没有题材可以开水灾贴啊，这几天不是有水灾？"
hellmales,20171129,"为了kpi，真的是什么懒趴事都可以开帖，鸡鸡饲养的几只中立果然很勤劳。不过就是智商过低了，是不是因为过期的饲料吃太多的原因？"
mark,20171129,"可能大师就是 lim sian see, 所以不存在抄贴..."
mark,20171129,"麻花中立江夏 Pusing 大师的 KPI 只在槟城和雪州， 剩下的当做看不到听不到"
syncsw,20171129,"肯定不是，lim sian see姓司徒的，是个有钱拿督。马华江夏仔姓黄的，是个中年落魄汉。"
syncsw,20171129,"马华江夏仔果然料事如神，canberra连花花草草都管理不了，malcolm turnbull 被龙哥笑到差点laosai了 "
一燈大師,20171129,"好像開始去求歐洲的專才了。10 年了，120 次了，才後知後覺去求助。"
kennyteoh818,20171129,"你以为花草很容易种？？"
mark,20171129,"哦！！那现在看大师怎么 pusing 了...."
一燈大師,20171129,"火箭以為中央很容易執政？"
肥仔聪,20171129,"看看现在我国部长的质数，其实不难。。"
一燈大師,20171129,"論選票，2013 年，90% 華人支持火箭也執政不到。2018 年，100% 華人支持火箭也依然執政不到。 論議員，火箭辦一場馬拉松賽就笑死 85 個國家的參賽者了。"
jellyfish_8,20171129,"【舍近求远】。。 "
肥仔聪,20171129,"国阵政府也不止骅吧。。"
一燈大師,20171129,"敢上陣對戰才是關鍵。"
一燈大師,20171129,"恕我無法用沙巴和全國最富有州之一檳城 pusing。再恕我略懂一點地理，無法用澳洲和檳城 pusing。"
syncsw,20171129,"有沙巴kaka caucau就很难pusing了，毕竟piak piak piak 到巫统老大，等下kpi 那边很麻烦的 况且马华江夏仔看到我回复，春都不见掉了。最多不是跟水鱼仔唱双簧唱三四面咯，或者叫嗯嗯嗯嗯出来扫场。"
syncsw,20171129,"你看你看，马华江夏仔每天都讲槟城在林神管理下几穷几穷的，人民收入几低几低的，一下子槟城又变成最富有的州之一了。有时不佩服马华江夏仔都不行 "
肥仔聪,20171129,"敢不用肮脏手段也是关键。。"
s2143,20171129,"我觉得很好。马来西亚比新加坡落后是客观事实。如果连这都放不下身段去向更进步的国家学习，刚愎自用，或或搞种族主义，宗教意识形态，那才是人民的悲剧"
s2143,20171129,"槟城最近两年gdp表现不错。因为槟城经济很依赖电子产业，这两年电子产品需求量明显成长，槟城经济受益很大"
s2143,20171129,"槟城在马来西亚人均gdp排第三或第四。落后于布城，吉隆坡，雪兰莪州。"
syncsw,20171129,"槟城人均GDP已经连续好几年是13州之首了。"
chtan69,20171129,"这样嘛算好咯。IGP上次还带大队和家人去意大利住5星级酒店说是去和那里的警员学习对付集团犯罪的技巧我这样写也觉得毫无说服力。https://mforum2.cari.com.my/foru ... ead&tid=1004681"
s2143,20171129,"吉兰丹rm12000，才3000美金？可怜。伊斯兰教真的灾难搬的存在"
mark,20171129,"其实这是麻花中央宣传组的错， 没给大师 training 就直接派来这 pusing...当然pusing 不过了， 就九不搭八了...."
qazz1947,20171129,"楼主应该做个总结，说火箭把植物油打理不好。是不是有舞弊的嫌疑才对 人家写你就抄。不过 说真的 植物园平平无奇。已经不是到槟城旅游的目的必观光点了。倒是这几年民营的旅游胜地如沐春风，一个接一个景点。小小的槟岛可旅游的地点比吉隆坡马六甲还多。半岛的城市北到南，有那个城市做得比pg积极。建议马华总部墙壁画上多位总会长的画像，以便制造全国七百万党员来拍照。制造内需赚旅游钱。"
PulauKentang,20171129,"应该是有Training的。。但麻花的什么懒Event都是吃吃喝喝，老姨老叔唱唱K。。皆大欢喜。。"
PulauKentang,20171129,"我比较好奇的是洗洗地2020那只心理被扭曲（应该是PLP时被老马踢过了）的真身。。还有没背脊骨的水母"
gaomin,20171129,"大师你现在是什么情况，火箭再怎么本事，也不可能单独执政中央，这点你该不会不明白吧？"
一燈大師,20171129,"我也沒說單獨執政。國陣巫統是國會大多數，當龍頭話事。火箭 36國席，是希盟國會最盛大政黨，由土團 1 國席話事。現在連管理花草也不會，廢材政黨。"
cyberjaye,20171129,"卖华连死的都活回来也没七百万吧。。。呵呵"
无人达人,20171129,"国家动物园也应该要向新tolong. 如解决动物们每天睡觉"
无人达人,20171130,"而且睡了永远不会醒的。然后新就会学到的如何让它们一觉不醒。prefect双赢"
seankaz,20171130,"废贴 废贴 废贴很重要，所以要说3次"
teachew,20171130,"連檳城的花花草草也要去管，真的是X拿耗子 - 多管閒事！就算火箭檳州政府向新加坡求助，也不到一燈大師來隔空喊話！一燈大師啊一燈大師，你連個檳城的後花園也要多管閒事麼？佳禮網友 應該會一個個笑到肚子痛了！"
teachew,20171130,"是啊！我这个帖子开了几天，他都不去理睬啊！他只会针对槟城的火箭党，根本就是黑心肝！"
leo3_puff,20171130,"花花草草，果然是無知到極點現在講的是植物園，而且新加坡的植物園，是世界3個中，其中一個被列入世界遺產的植物園不向新加坡討教，難道向Pusing大師？"
RingRingRing,20171130,"大师这次真的功力退步了你要不要去新加坡走一趟看他们的botanic garden先才来开贴"
teachew,20171130,"大师的功力一向都是差的！现在到了年尾年关将至，为了hit target，更加放肆开帖子，开了一大堆烂帖子，版主也任由这些国阵枪手放肆，他的烂帖子就到处都是咯！花花草草都拿来讲，根本就是为了hit target滥竽充数！还有，我把 版主 latte3948 在几天前set好的规条列出来，提醒 一燈大師，希望他不要再开一大堆废帖子！鉴于论坛最近出现大量灌水聊天帖，甚至是离题对骂帖，本人认为有必要做出以下提醒：1. 新人发帖前请仔细阅读版规，老网友要是忘记了，或之前根本没阅读过版规，请复习；2. 每名网友都有开设主题的自由，惟主题不得犯规，需附上引文、相关证据（新闻稿、照片、link等）以及个人评论；3. 开设主题，主题和内容切勿有任何挑衅或敏感字眼。存心寻衅制造混乱者，必重处；4. 切勿灌水，如“沙发”、“拿分走人”、“我看要不要回你”等类似字眼，一律以灌水处置，会被扣分；5. 发帖请针对主题，写出自己的看法，严禁单纯质疑、谩骂、取笑等无助交流的内容；6. 在交流过程中，切勿有过多的两人间的一问一答，真的如此，也请针对主题，而非离题聊天或争锋相对；7. 交流过程，请尽量谨言慎行，小心措辞，制造友善的交流氛围，俾使交流顺畅顺利。"
IRR2000,20171130,"这个所谓"大师"又来语无伦次！！失败之中失败！！"
IRR2000,20171130,""大师"这个家伙懂什么事？！！只会在这吹水吧！！有为社会带来什么功劳？？"
IRR2000,20171130,"一燈"大师"和jellyfish_8讲就天下无敌。。做就无能为力！！大家同意吗？？"
