Topic title: 郭鶴年為巫統拉票
username,date,text
labster,20171201,"很多人講郭鶴年自傳是幫馬華倒米，這是事實，但事情卻只看一半。華人幾乎是一面倒不會支持馬華，郭鶴年講什麼都無關痛癢。反而他的一番話會讓馬來人覺得巫統一直維護馬來人，直接為巫統拉票，要知道大選馬來票才是關鍵。所以不要把郭鶴年想那麼偉大或正義，他的真正目的是為巫統拉票。畢竟他家族和巫統關係千絲萬縷，一個生意人始終想的是生意。"
lhchew,20171201,"与其说郭老给马华倒米，不如说历届麻花总长都是一群窝囊，只为自己口袋着想，民族利益放一旁！楼主，你认同吗？"
jellyfish_8,20171201,"楼主，那位@cyberjaye 网友还在 blur-blur 自嗨 …"
巴士来啦,20171201,"一路来马华都是在自己倒自己米。马华一灯大师水母也是在佳礼倒马华的米。可怜马华没有办法只好找陈立品问米 "
cyberjaye,20171201,"傻查，郭老在马来的生意主要是面粉面包和戏院。他手里的产业股Pelangi早就被政府收去，他在大马的生意完全不需要他最吐烂的国阵给contract才能活。"
cyberjaye,20171201,"我们的楼主脑子进水郭老如果要帮巫统应该是要出马来文版。出华文版只是送马华最后一程。。。"
jellyfish_8,20171201,"你以为必须出巫文版才能够激起舆论？你没看报纸友族开始回应郭老的书吗？奇怪他们怎么懂？楼主一针见血，吉哥万事俱备，只欠东风（巫票）。吉哥已经有十足把握，华裔票回流。"
dupont378,20171201,"馬來人一般不看他的书"
loongken,20171201,"楼主是明白郭老的意思你早就做了亿万富翁还用这么幸苦为马华在这里打字。"
lam69,20171201,"巫統一直維護馬來人??这句话很可笑。连当今马来人都知道巫统只会维护他们自己朋党。在马来甘帮，朋党巫统人跟伊党马来人势不两立。在城市，朋党巫统人跟蓝眼马来人势不两立。这些你都不知道。"
lancer12,20171202,"讲真，才不会在乎马产的想法如果他们继续愚蠢下去，到时候害死自己还是他们罢了"
Engineer,20171202,"香港英文报章也有连载郭老的回忆录，马族也知道详情不难"
labster,20171202,"為什麼要出馬來版？現在通過一些馬來部落客轉載翻譯，繪聲繪影，比直接用馬來版本更加好效果。你的頭腦很差，至少不會是一個好的宣傳MARKETING人才。"
Engineer,20171202,"郭老在大马的生意主要是PPB集团在经营，涉及的领域多元化，主要有房地产，水和废水处理，工业产品，化学产品，家居用品，个人美容用品，食品，种植业（棕油）和棕油产品等，面包和戏院只是一小部分。当然PBB不必靠政府的工程来生存"
hellmales,20171202,"然后下届让麻花回家吃老米。"
Weida,20171202,"郭佬板年纪已经90岁了将毕生的事情和传奇回忆录公诸于众市场卖到断市因该是很精彩吧又其是鸡哥的佬豆有其父必有其子回忆录！"
Screenshot_2017-12-02-12-11-01-160_com.chaozhuo.browser_phone.png,20171202,"你應該不知道世界上一種東西叫自己買來炒作。我很想等陳志遠出回憶錄，爆出和老馬之間的精彩回憶。"
labster,20171202,"都已经自认是书中所谓的海盗。中国富豪醒醒吧"
类一凡,20171202,"郭先生才不需要巴结政府。如果你有一点思考能力的话，你就会明白。如果没有，说多也没用"
seankaz,20171202,"登录？登陆？怪怪的"
luvpris,20171202,"确实是批评某父子首相。。。如果这也是帮巫统拉票，楼主应该为自己的智商理解能力担忧。。。"
jellyfish_8,20171203,"你索性说新加坡有英文版的。。"
周杰伦6601,20171203,"没有脑的马来人才会有和你一样的想法！大多数我认识的马来人自己最清楚，所谓的捍卫马来人特权，只是在照顾和巫统有密切关系的马来人。大多数的马来人根本没有感觉到自己获得特别照顾。"
jellyfish_8,20171203,"坦白讲，你的想法很天真商人跟政客常常就是藕断丝连就好像马犀利一号常常骂吉哥和吉哥夫人见面时就好像吃到棒棒糖的小孩一样开心哪里来的clear cut叻？红豆兵没有被这种关系搞得到神经错乱是不幸中之大幸"
chinapee,20171203,"郭鶴年 ， 跟本就是贪污买高官来换政府公程。。。  现在发了。。 就来骂人?    变圣人?"
