Topic title: 刘特佐1MDB董事失踪记 刘特佐及一马（1MDB）的几名董事，到底在哪裡？
username,date,text
teachew,20171203,"(慕容公子) 这是一个可能永远都解不开的谜。刘特佐及一马（1MDB）的几名董事，到底在哪裡？这几个涉嫌1MDB弊案的重要人物，肯定不在马来西亚，也不会回来马来西亚。他们在哪个天涯和海角，或许只是传闻和传说！这宗类似“无头公案”的事件，从一开始便传闻不断，眾说纷紜，但，始终没有一个準确的资讯和答案。刘特佐和一马（1MDB）的几名前董事，在官方执法机构所发佈的消息中，一再被提起及指将被传召，但只闻楼梯响，不见有“人”来。这到底是怎麼一回事呢！怎麼大马警方、反贪会和国行一直要“传召”的1MDB人士，竟然成為查无下落的失踪人士。从国会公账会火红火热开始，到警方侦骑四出，到反贪委会和国行发出类似“通缉”的文告。始终不见“失踪”的1MDB人士现身，最关键的刘特佐更是如石沉大海了。追查一马（1MDB）事件的“特工队”，几经波折后还存在吗？阿鲁尔甘达被传召爽约皇家警方当然还在密查，反贪委会也没停下来，公账会则是人事几番新，国行也曾作出了一些申明，但是，刘特佐和1MDB的几名前董事，有哪一人出现过，又有哪一人被传召？别说“失踪人士”无从传召，连现成的1MDB掌舵人阿鲁尔甘达，直到今天，警方和反贪会好像也没与阿鲁尔甘达“面对面”互相沟通过。之前的公账会倒是有“传召”阿鲁尔甘达，但，阿鲁大言的“爽约”了。等到公账会再“约”阿鲁的时候，公账会“主席”却换了人，当然，还包括了总检察署，和反贪委会的“人事”调动。比之所以，有关1MDB事件的所有调查和传召工作，一直在“自乱阵脚”的吊诡情况下进行，似有实无，如镜花水月。有句话：海中捞月，就算捞不到月，也还见到月影吧！刘特佐等几名1MDB人物，却连影儿都没有，他们比“海中月和镜中花”更虚幻，皆成為隐形人了！较早之前，好像是很久以前的事了，皇家警方曾发佈一则“吃香”的消息，指警方已联络刘特佐等人的代表律师，一週后便可完成录供，发佈和更新1MDB的详情。一个月过去了，二个月也快来了，警方却告诉人民大眾，他们查到“下落不明”，没有刘特佐等1MDB前董事的最新行踪和消息。这和警方较早前所说，1MDB有关人士皆有其“代表”律师，这些代表律师或许根据“机密法令”隐藏了其当事人的行踪和消息吧。此外，警方也重申，不会通过国际刑警展开侦查刘特佐及几个1MDB前董事，会否出现及传召，倒像事不关己，不是头等要事。刘特佐在哪裡？1MDB的前董事又在哪儿？马来西亚有责任把他们“隐藏”起来，而不是把他们“供”出来，以免丢人现眼！转载（光明日报／看剑‧文：慕容公子）"
teachew,20171203,"刘特佐及一马（1MDB）的几名董事，到底在哪裡？是不是睡在油桶里面？"
loongken,20171203,"改朝換代那天自然就会水落石出。"
joon_my,20171203,"你们吵什么？26亿很大meh？现在我们要专注300多亿的大case "
loongken,20171203,"26亿进自己AMBANK 户头都没事还不算大 case？"
WeeksEng,20171203,"单从这件全世界的人都知道的案件中、吃坏头脑的人才有可能继续自持现在的政府"
假冒是神50,20171203,"有胆就去传招河马明明是由她穿的针引的线却没有一个反对党的敢谈它敢动它?是不是心里在感谢着它呀？是不是因为没有它就不会出现了这么一个可以ATTACK那只鸡的理由就像那只鸡还没上台前用来ATTACK马哈迪用来ATTACK睡觉伯的那一百几十条理由一样要上位就要推翻政敌这个简单的道理谁不懂可推翻政敌的理由可以无条件被自己DELETED而且还一次过原谅了所有的原罪与原来的主角这种变脸快过吃方便面的反对党全世界UNCLE还是第一次看到改朝换袋换人腐败越是看下去就越看不下去越是忍不住想笑呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵"
mark,20171203,"陈金隆和几名董事拿着人民的钱去美国泡妞了...."
teachew,20171203,"刘特佐及几名董事还没死吧？不懂有没有把国阵的爪牙灭口了？你说什么，我还能够明白。你楼上那个家伙语无伦次，我就不能够理睬他了，免得版主 latte3948 又来判断为 相互谩骂，这版主有点肖的！"
cmwong,20171203,"那个神棍不懂是不是一边打字一边自卫总是放几个依依唉唉的字"
teachew,20171203,"我们把那位UNCLE当作废材算了，不需要理睬他，他会一直不断骂人“窝囊废”。"
luvpris,20171203,"两岸猿声啼不住 轻舟已过万重山"
Carpenter,20171203,"从之前到现在的报道可以得知，刘等人不是泛泛之辈，纳吉若和他们有交易，肯定不会动他，因为这家伙肯定留一手，但若纳吉没有和他们有任何瓜葛，肯定也不会动他，因为要快快捉拿归案。26亿和政治可不是我们能够理解的，反对党有那么多人材居然都动不了纳吉和刘等人，我们真的做不了什么，更别说猜测对方在哪，唯有等大选用选票回应心中的不满！"
雷克斯R,20171203,"快被人們忘了你又提起來做末 "
RingRingRing,20171203,"人家去玩金丝猫了 睬你都傻 "
巴士来啦,20171204,"马华枪手都会说是林冠英监督不力害大马贪污腐败严重 "
假冒是神50,20171204,"TOKONG LIM GUAN ENG自己也是贪污腐败一份子这个才是够好笑嗯嗯嗯嗯嗯嗯嗯"
丁小蟹,20171204,"偉大的谷歌。。。。http://english.astroawani.com/ma ... who-are-they-101511http://english.astroawani.com/ma ... report-today-101503https://en.wikipedia.org/wiki/1Malaysia_Development_Berhad"
leouy,20171204,"一马公司五百亿都被这个刘王子和那鸡儿子拿走了，曝光了也舍不得填回去。"
leouy,20171204,"那鸡拿走五百亿，二十六亿进户口，五十亿进儿子那里，还有三百多亿不见，不多就叫他们拿回来咯，等到他们花光了才查？"
leouy,20171204,"留什么手？几百亿都偷走了，那只鸡还安然无事，那只鸡儿子还说五十亿是他收到的礼物，也没事，刘特佐留的手应该也没用。"
Carpenter,20171204,"如果有纳吉儿子说的50亿的证据，怎么还不快快动手捉人？"
一条粉肠,20171204,"刘特佐有给你好处？还是林冠英破坏了你的好处？"
leouy,20171204,"那鸡都没被捉，刘特佐都没被捉，你怎会问到“还不快快动手捉人”这问题？1mdb跟ipic贷款300亿，然后还给一个不是ipic的刘特佐公司，都多过那鸡儿子了，那鸡一直骗说那公司是ipic，结果对方出来说不是他的子公司，这数目300亿都多过50亿啦。"
Carpenter,20171204,"我的意思是，为何证据确凿了，任何一方还不动手？因为这是一个好课题，永远找不出真相，纳吉就会被怀疑一辈子，但问题就在于，真相是薄弱的，和纳吉根本不care"
loongken,20171204,"转来转去进了谁的袋子都明显。"
leouy,20171204,"任何一方不动手？国家银行说那不是ipic公司，被公账会删除国家银行报告，国家银行算动手了。ipic已经状告1mdb 300亿违约，那鸡政府已经说正在和解，也继续给ipic利息，不是所谓的任何一方没动手。真相本来就有，而现在的黄委会删除五百页证据，然后说“300亿报告一定藏某地方”，那才是没真相。"
leouy,20171204,"证据完整无缺的盗窃案，到现在居然还有人问证据在哪里，还把什么一马公司几百亿说成26亿，在野党还真的传达信息失败了。"
Carpenter,20171204,"对咯，不管反对党怎么宣传，纳吉刘等人还是安然无恙，为什么证证据确凿还会如此，是否是反对党要等到改朝换代了才来捉人？或奈何不了他们？"
loongken,20171204,"因为没像他们请蓝豆兵来加盐加醋无中生有。"
leouy,20171204,"为什么证据确凿还会如此，因为那鸡控制一切。你口中的刘特佐都能以“留一手”来控制那鸡，还能问为什么。"
Carpenter,20171204,"如果他明知道纳吉会对他埋洋灰桶，他会不保留证据吗？"
leouy,20171204,"如果证据没曝光那倒是可以吹两下，现在实验证明了证据确凿也毫无作用，他最多拿着大笔那鸡想要花的钱罢了，虽然里扎自己都有50亿。"
hellmales,20171204,"没办法，一只说话都没有point的废材，如果不在那里嗯嗯嗯嗯，可能连一句完整的话都写不出来，所以只有靠嗯嗯嗯嗯。"
joon_my,20171204,"对不起，因为一路来都26亿 26亿这样喊。。。没有深入理解就以为真是26亿是我错 这样看了外汇案要膨胀过千亿了"
loongken,20171207,"最新劲爆！抓不到死肥子？敦马今日授招，要抓这两个混账只有这【两招】方法！快看！敦马果然妙计如神！（内附视频）http://supportdap.online/archives/22663"
Kombat1977,20171208,"在照片里吗？"
080e23d30c9bd9083a93a3364ce334ab16dc6fb6.jpg,20171208,"最可恨的是陈金隆和几位1MDB董事拿着人民的钱到处花"
mark,20171208,"1MDB 案件不止 26 億但是大家只關心 26 億，因爲要拉納吉下馬"
JowY,20171208,"一马，唉！"
mark,20171215,"MO1说一马已成过去式， 二马要来了"
loongken,20171215,"國際新聞《澳人報》：劉特佐遊艇出現上海 入住半島酒店"
