Topic title: 两次遭泰国扒手“割包包”  网友：别以为无需防备女生！
username,date,text
Cari_LSV,20171204,"适逢学阢掸校假期，恏葏不少家庭都会璋騥駍扶老携幼出誁嵭浪国旅行，而号称美食+购物天堂的鉥滈泰国傥漡，更是榉続毆不砌藍少家庭鹶偣讂的首选旅游勶岆地。不胍鳰过，这鍺齞翀里尷绛要奉劝一踬桘圭句，当你到奷嚧婐人対鲧潮较为怍嚋拥挤枤芇的旅游景点或市集时錶鍒願，务必小心看好自己诘燫的随身物品，避免让“第三只手”有軜某评机可乘！图片来竗硰輜源：Tammy 面子书日前，网友Tammy就抏痠癇透过面子书分縕卙享自己第二次遭泰迶代国扒手“割包包”椌緟的经历，希望其蓮剣呇他游客提高警惕。Tammy指出，她当时瀋鲈珒彉櫌法到曼谷著名咔笙的Pratunam市集衣服批发市场购物。由纕疞于当娰汐地笊沚堒人潮很多，因此难免出现人沐篈餒挤人恳嗟樟榠芝的情况，絯嘢就贑戔褁在観訬这个鰒溧你佉裳僚时候，她突然发现，有瘱螴吭人垉櫀钡痨不断地爿懔在苏褂推她。“斾言勻在嗋瓽人挤人愣鞴潬殣柱冲的时疂趐候扒手就峥柹敻锺鯪来了愗稂體，憪灇一直推我宧秔，旉伆我朿痠祔就觉得不謾痚对燻礴劲了剦縤，躿液我侌雌一直把包包拉臑稨在前面，妱仉合一直推我樒滣賭，包成功被割破，小皮包也被拿掉。”图片来涬叅源：Tammy 面子书菑侤不过，事糅捵萣主表示，基于经婁她蟽鷫这次已经提高警觉性，才麨攏不至蒭畃蓀于损失惨重。“这聶不輍已经是鴞瘾我釷曹黏第二次发緕緐怸生桿摷了，屰鉴鲷这蝁懲一次最严重，脰灹我卦駏的bag整鍒茓扃个被割破不約蚌镤能用泗钲瞤偮眮了。好彩橞裋枭我很怕这蓽帔样昣剧的事情了鎜夭羌就愄産屽放猖拄在暗格，电话和貉资其渠虃他东西都没遭殃。”她也提醒民众，不堷盄鮛颞紆要以麂噦为箾瑨鯺身边捖拟艡的人洛鰆掱是患岳扥女性叵弡就很安全，因垡尤珞为那两名“割包包”验嚽皍的扒手，犳沫就是沢洣身材高秀鶑大艭扱的女婈愢瑒人。 “不舴暯是扪欩男的烩旐龃哦！请大亽緗奻家切记不斪狊鶊要鲽凱椦褢禑況以旗蝢夃为女孩子贴着你狂懓就笖論凾不需史碔瓼要防备！都是噋浲女孩子干倰洖的！她们諞栦巰是嵟塍长期隐藏墶铨萑在那里的錁鶠厡专业持刀扒手！塳黦磒人多她们璆誧鬵幬就扵衐詨对着你虎视眈眈了媖帨迖！尤其外强諃溨国人眂縌鮫！”图片辡迟寙来源：Tammy 面子书事主锥膹糺也强调，即便她已经很小心紧抱包包依然防櫎焉諢不胜防，因此，她建议民众，除粂憒暍了小心警惕，最好也别带太容易被割破噵胮的包包出门。“请大簴毵家晴鹚従不选炰要拿偞煎这种很容易被割破澖躨昞的包包粟悢曟来泰翶駕眷国，这顭蹓里处处都是蛧郞扒手 ，晜纃我燅棞輛一看到夳倹浢包被割破到普涵浏佚駙这样心都凉蟡檪了。之前拿皮笠褠惺的都摗夊疬不揝韈旋会，每一洦腠翤次换布的支閤就鬰午中绱骎！”“因效誉鋂为我甲庡祒扼睤的包是巪赧紧紧抱着捞亿媬的！不瘸蒲屐是藕椟庌说你小心搁磱就可以宂姪闾了墼浧，防躮掜不胜防！因为阱鯝她厐觰郹们根本都是鋿玥斌光天化日胆大溏悇包天濬挻的抢匪！”事主墨琁謅賚逺貎的帖文随即引起网民疯传，截至目前，已经有馓看超过3千谣亸钹人转发琅金分享。不泞犒梗少网民纷纷认同，泰国姁翜旅游区釢彁諿的扒手真的諿蓜辏很多，有杧杋者更是完鐮建议民众，“把重要輡茈物品放在灃鎍贴身隐形包，绑痾粡在腰或挂糄骫鑿在脖子上顱懔茌都ok”、 “不抚絬蒆鎗縋要拿布姜伟煔的bag，钱红熆分开放，不避顒窧扉要放在屽撻运鰜佾一起”。总而言之，出门粗歉在外还是弛覸緅小心枇緇为蔊滊銻上，避免丢失钱财，败兴而归！"
无名好留,20171204,"到现在都不明白带手提包做么？"
wrm95,20171204,"身材高大的女人！会不会是阿瓜？"
Jason929,20171204,"沒驗過我都不敢100%確認是女人..."
kingpower2016,20171204,"chattucha看到不少装扮时髦的日韩台新的美眉 多麽大摇大摆拿包包。"
kmrddecade,20171204,"泰国治安比马来西亚好很多。大家不必担心。"
AMOS5566,20171204,"隨時提高警惕  防人之心不可無  無關性別  "
Carpenter,20171204,"不要以为都是泰国人，他们可能是越南中国的扒手集团，绝对不是马来西亚人，因为手太迟钝，扒不了。肯定有一些亲中派要shoot我了，我称赞他们手灵活有错吗？"
绝地榴莲,20171204,"上次和太太到巴黎， 有次上地铁时， 就有3个女人围住我太太拉她的腰包。。。"
filenes,20171204,"出门在外,一切要小心为要,因为人地物都不熟."
lancer12,20171204,"人多的地方，就要很小心了"
tauruslau,20171204,"小心皮包，警惕包皮"
YUGO,20171204,"最好不要带大多的钱或贵重的东西出门"
吉村子,20171204,"真的是要很小心，谢谢提醒"
tequila123,20171204,"马奶lrt也不少多数是宾仔"
camel1213,20171205,"真的要很小心。。。看到了都觉得怕怕。。"
瘋流材子,20171205,"法国扒手最多，别以为欧洲国家就很安全"
blackcat98,20171205,"因為裡面要放紙尿布"
无名好留,20171205,"原来是这样的"
