Topic title: 阿末扎希：必须赢得第14届全国大选 否则巫统走入历史！
username,date,text
Cari_YWQ,20171205,"巫统必须改变，赢得第14届全国蝥蒯芔大戊怅选，否则将走入历史！图片来誙緕源：The Star 根据《自由今日大獃鉻凶马》报道，副首相阿末扎希星期二在嶡敌挕2017年輖禉巫统代表淒嵹匭大莵虞会上儶土表示，巫统必须做出改变，确保不倘餒宐再重犯过去大騯钓郷选爪痡的错误，否则已妦揕栩有71瞱揍繒年历史的鬝茵湤巫统将钸樇会走入历史。“第11届全国橳勷大遧譖崶选，我鶪硸嬀们曠朎处在腨倶舒适圈里，嬪鶀以致眬癜于髸宐肒上苍蜉浥在第12届和夒湅玧第13届的拮壱全国誸釓大鄤敕霅选给予鋙囇我囀詁们重大襧铊轝考验。麁舽来临癍茞的第14届全畐僶曫国髤葁飭大选，如雙紋呥果我貰汲鑑尷们无法通过考验，谅闬嘗我们厪焢栕就纮蚥郆会紭卻碝完蛋了呟帺毘。巫统和葽琸険国粛瓱阵欔緋崂就剩鎇漧下历史傃嵌橝了。”阿末扎希警告巫统党员停止内斗，因为掙誶旽这伺遏样只会徦趂摛让人榕硆民对晽云巫统失去信任。“有鄮暋扮些区域领导会岡彍害怕青年鈇忽团领袖，因褹瘦为担心对暹仮叫方曬浪会抢掉自己的歡囦职位。黆峍不緎櫞覔要骗说没鰲硱不有，脚粢瑮我和巠娡希山慕丁都知道。”阿末扎希也呼吁党员做好准备，因为悌詑氙过去反对茧佟党就亾飥曾用鼙坍煬“停电”圷豮和“4万名孟加拉灬箠壞人飞潜鼎舐来樞謈大马投票”的旪徾綅指控诬陷国崯窦阵。“下欥剈呏次再輡襇有这蔍眾样的伲徹洺事情发楒輋生，措颳皝我们窄芐促必须做好准备应薩鞭对。”"
瘋流材子,20171205,"国阵要检讨的是，为什么对手随便说两句，人民就相信了？是否因为你们信誉破产所以得不到人民的信任？？？？"
alexanderyks,20171205,"承你贵言。"
binkybinky,20171205,"唔係要你走入歷史，係走入監房，歷史都無得你入。"
mark,20171205,"当然， 如希盟赢得第14届全国大选， 全部内阁大鳄都要跑路那巫统和国阵就剩下历史了"
hellmales,20171205,"完全不想让捂统走入历史，只想把整个锅震丢进垃圾场埋了而已。"
C文敗類,20171205,"歷史？ 吔屎啦！"
Hishammudin,20171205,"農曆新年之後的清明節是不錯日子"
lhchew,20171205,"输一届大选就这样轻易走入历史，哪么马华民政早就应该摆在博物馆了咯！"
yk13,20171205,"哪里可能怎么轻易走入历史？你看麻花都变成活化石了"
sam2ec,20171205,"最好你们输了就收山，回家耕田或进去监牢吃nasi lemak终老。免得下一届反口出来捣蛋"
tanxinrong,20171205,"想多了。我都不懂巫统要怎样输。"
drunkinrain,20171205,"他的意思。。小心，林北这次会玩很臭，对吗？"
yming2475,20171205,"污統如果不出貓的話早就走入歷史 。。還有你講話得份 。"
苏护,20171205,"有了党博物馆没？"
snsv,20171205,"该歇歇了，人们想尝鲜了吖。"
雷克斯R,20171205,"最好 "
RingRingRing,20171205,"前警察总长已经走得快 好世界鸡哥有私人飞机  倒台这个印尼仔就是当头棒喝了 "
为人民服务,20171205,"他们有那么多钱可以慢慢享受啦，我们人民还是一样要继续辛苦工作。"
Weida,20171205,"印尼仔暗示给大家知道独孤求败的烂旗党将会在下届大选惨败把该党进入历史性的时光！"
AMOS5566,20171205,"鐵票加持，再確保裝睡的人不願醒，的確感覺不出哀兵上陣的氛圍。"
feilong,20171205,"明明要原谅别人的错，怎么变成自己的错误了呢？"
BACFREE,20171205,"随着科技的进步， 把大便扫进沙发底下已不管用。以前你自已办份报纸 把自己捧上天都可以。现在? 做了什么不光彩的事世人皆知。就算14届还是你们揸fit，接下来你们只会有更多的苏州屎被挖出来。未来，巫统遗臭万年 全民埋葬巫统。"
Daewood,20171205,"但愿你走入历史，人民会更家幸福"
filenes,20171205,"勇者面对逆境也微笑,勇者不惧."
Kombat1977,20171205,"老手套不好使"
黑馬王子,20171205,"那女主播很美下 "
steve8lily,20171206,"好期待那天到!收你皮。。。"
Weida,20171206,"无论独孤求败的烂旗党怎样把大选拖拖拉拉明年大选那一刻迟早都会到来那时候就是该党的要进入历史性的时候大家等着看吧！"
yming2475,20171206,"誰來的 ？ 你喜歡她嗎 ？ "
黑馬王子,20171206,"不认识，看看就好，什么喜欢 "
夜铃,20171206,"还能把你写进历史书已经算是仁慈了。看看那些汉都亚等、叶亚来等。。。都慢慢在历史书上消失了。"
AMOS5566,20171206,"巫统大会掀开序幕，未来几天，媒体不怕没有新闻。不过，配合大选氛围的需要，这一次的巫统大会，不可能火热，但也不能缺乏温度。既要热得足以凝聚党内士气，整军待发；但又不能热过度，引起非党员和非马来社会的反感。这就正如主厨在炒一碟mee goreng，火候要恰到好处。火太小，炒不出面和各种配料的味道；火太猛，会把食物炒焦，甚至厨房都会着火。这让人想起伯拉年代，巫统大会最是激烈火爆，种族和宗教问题炸开来，华人更成为攻击的目标；巫统大会的火花，还蔓延到社会，制造情绪和对立。那种火爆情况，和形象中庸温和的好好先生伯拉，正好相反，也让不少人对伯拉失望，终而放弃。其实，人们有所不知，伯拉的问题，在於他无法主导巫统大会，正如他无法控制巫统。伯拉是弱势巫统主席，一些人选择党大会时开炮，向他示威，让伯拉失控难堪；另一些投机和激进分子，则趁机挑起种族和宗教课题，引起非马来社会的反感和愤怒。他不但未能通过巫统大会贯彻他的领导路线，反而在大会暴露他的弱势，以至伤害他的形象，进而引发民间的不满。最终，伯拉大选表现不佳，他也黯然求去，从中也可以看出巫统大会的份量。如果党主席不能控制大会，他就会被大会所控制；党主席不能主导巫统的党阀，那他的地位会被党阀们分化，乃至推翻。进入纳吉年代，他对党内采取了怀柔政策，把各个派系都拉拢到他旗下，不满的声音少了，也不会在巫统大会给他制造问题。纳吉通过几次大会，建立了他在党内无人可以挑战的地位；而他的软肋1MDB，在党大会没有成为对付他的武器，反而他利用党大会，争取到党内对他的支持，进而把慕尤丁排除出去。纳吉还有一着棋，就是委任希山慕丁担任大会提案和辩论的审查人。所有的提案和辩论，不管是内容和人选，事前都已经被过滤。希山看住这一块，让去年大会的提案和辩论，跟住纳吉的主调走。大会受到控制，也就降了温，不去碰触敏感的种族和宗教课题，这和伯拉年代的失控完全不同。今年的大会，和去年不会有很大不同。纳吉要对准的是当前的对手，即是希盟，而马哈迪和行动党将是他的箭靶。巫统脱离不了马来民族主义和伊斯兰，也必须依靠马来人主权的意识，来凝聚党内和马来社会的支持；与此同时，纳吉作为首相，巫统是国阵的骨干，也想争取非马来人社会的认同，或至少不要得罪非马来社会。在族群意识和国家利益之间，巫统一直在边缘游走，纳吉也想取得平衡；这是巫统的矛盾和两难，能做到多少分，就看这次大会的表现。（文章来源：星洲日报／非常常识‧作者： 郑丁贤‧《星洲日报》副执行总编辑·2017.12.06）"
AMOS5566,20171206,"副揆阿末扎希在两周前谈起来届大选的举行日期，并引起民间议论纷纷後，此次又趁着本届政府的最後一场巫统大会的前夕，再释出与大选有关的讯息，表明国阵很大可能会在选举中采用直属候选人的方式，来化解成员党之间的议席纠纷。换句话说，振林山丶红土坎丶甲洞丶敦拉萨镇丶关丹等极具争议的国席，其候选人人选届时将完全取决於首相兼国阵主席纳吉的意志，能不需咨询成员党，更不需要再花时间介入调解。说起国阵直属战将，当然不得不提起本届的砂拉越州选。眼见州选迫近，人联党（SUPP）和联民党（UPP），以及民进党（PDP）和人民党（PRS）在议席谈判中仍无进展，甚至出现互相掣肘的局面。而就在在野阵营暗自窥喜的当儿，已故前任砂州首长阿德南突然想到了“直属”点子，先透过媒体释放意愿暗示4党加速谈判，无奈对方争得眼红耳赤，最终令阿德南只能断然绕过4党的推荐名单，亲自挑选有胜算的候选人出战有纠纷的州席。结果，砂州国阵在选举中，从82席中狂扫72席，哀兵上阵的人联党除了得以保持着过去的6席成绩，还得多了1席，比起上届竞选19席狂输13席的成绩，已是极为优越。这个成绩，在部份西马政治观察家的眼里看来，是为直属策略的奏效，因此州选结束後西马政坛迅即掀起“西马国阵能否复制策略”的议论，尽管这套模式在当时仍遭到西马国阵一些成员党的反对，但国阵也在雪州大港和霹州江沙补选中进行实验性采用，并将这两席的胜利归在直属策略的奏效之下。自此，首相和巫统的一众领袖，对此策略极感兴趣，并在补选後表明有意将策略扩大至全国大选。在时隔1年後，国阵在西马内共有9国5州的议席存在争议，牵涉逾5个成员党，眼见大选进入倒数计时而纠纷未能解决，所以阿末扎希就趁此“提醒”巫统代表，国阵和巫统有这个“直属战略”选择，让大会通过此战略为最终的解决方案。这种画面，就像《食神》中的一句对白：“争咩争，媾迈一齐做濑尿牛丸啦笨”（争甚麽争，混在一起做濑尿牛丸啦）。阿末扎希就像周星驰饰演的斯蒂芬周，在特定时机不屑地释出一个解决方案，但阿末扎希的手段却远比斯蒂芬周高超，因为他选在此刻放话，显然也是要告诉国阵成员党，若不在今年内对有争议的议席做出了断，那麽今後就让你们没机会再争。当然，通过首相直接委派的方式来解决议席纠纷，就目前来看确实是唯一可行的解决方案，特别是当各成员党不愿退让之时，这项策略更能顾全大局。然而，这种策略是否真的适合西马的政治生态？直选策略在砂州的奏效，其原因在东马人眼中其实很简单，即都在阿德南效应之上。用句较通俗的话来说，选民（特别是华裔）是看在阿德南“无私”的面子上，才舍弃在野党。对他们而言，其钦点的直属战将并非代表国阵，而是阿德南。然而，国阵在大港丶江沙采用这套模式时，其狂胜除了这原是国阵堡垒区，更因所属政党在当地的基本盘和服务记录，以及对手所属阵营的本土辨识度，且挑选过程存在争议也较少，故这项战略较能轻易获得成员党和选民接纳。因此，若以大港丶江沙，甚至是砂州选来断定“直属策略”在西马所可能回收的正面效果，是一厢情愿的。因为西马政治生态复杂，再加上巫统在国阵里的强势作风，在处理和挑选直属战将时肯定会有所偏颇，进而做出更符合自家利益的决定，特别是存在纠纷的议席中，牵涉巫统的超过半数。对我而言，直属战略在砂州能够奏效是因为阿德南，而其能否在西马收效，在於巫统能否让选民和成员党相信，国阵直属战将的挑选过程是“无私”的。（文章来源：星洲日报／纯粹诚见‧作者：惟诚‧私立大学讲师·2017.12.06）"
Weida,20171206,"巴吉斯坦婆很明确暗示烂旗党末代期将快来临！"
