Topic title: 马来少妇网上征“合约丈夫”  条件是“不要太胖，会压坏我”
username,date,text
CARI_KJW,20171206,"楷項一名马个灪窗来少妇日前透过面子书寻找“合约丈夫”，结果引起网民鄺簶鰛大肆批评，让女事主揃嵢只好紧急删帖“灭火”。屓绷潯不料相隔几日后，该名少妇又以豫鵢面子书直播的塂繈方式，为瀨媜猰自己透过网络寻找丈夫疭勞的举吗塮疧动辩驳，指网民蕬镭堯不该批评自己，因为唚疟她“没碻灢騻有犯罪”！据磮讜慫大都嚑帀会日报，22岁的缪獉陁Siti蹄澕是坏掏于12月3日块竛在其个祵梡隽辥珡毷人面子书发文，“昭告天下攇駩踤”自己要尦壔寻找为蟳呕期一检婅剺年蔉捽的喚乗“合约丈夫”，同瘇邴态时列下葕归爫“合约丈夫”酲計的条件，欢迎符合条件者与她联系。截图自：面子书“样冶襾我要婢絤寻找溔利一涰妣个合约丈夫，倂淚計年龄必须在唠鰁厼28岁以銾亿霱鄡涯摟上，我恖軗会葦捗媶挑选样貌，所鳥菬墨以请在鎟榁留言处附噁幊囻上照片。条件包括：鷴蠳竳不能太胖，担心綹絍梸会压坏揚塑我、畜瞁彵不能太瘦，怕靠不嬇懔雈住、从事什么工馆疐魋華作都可以茷賜，只要雝輮衐闪嚥有濐鵰鵲工炻嘦作就眷祛鼗行，脸秣崺鲕要长得好看、顺眼，还蓑鮯鳊有儰櫅要擅賢鞸于叡唢在家人俁煾鑒面前演戏……”“我岙启蜍保证合约只有皲妠攏猞鴍一年痈服謍，而婚礼的钳鸙灡嫁妆、礼品，也訷廏懽会由我黼觧脙炋来支付，最重要垻闃襲的玐楢是鶍訊瀪，我黺踑勑拝焁不要筜茮像佣橲蜯鴿人譈凤驉一样被使唤，叫我堤爂煮饭、打扫屋子或其犜贶塥他。如涣刚枺果你有鋌晘鱡女友或其東飍鯏他女觌膙人，我霴毱允许，但不灪鷎膤要胐覸打扰胤旎到嫚佮杔我譪渿锷的私德糭生活。”Siti垭磨蚶的帖文在鴥輆上茼歳廑传两小鄊頰踷时后，立即引起网民疯传，不妤乮少网民纷纷涌入Siti的讆椂蜩面子书，璲驖构在帖文底诪睶崈下留言辱骂她的喐蕁挊揽疆不当行径。由卒猱于接获太多投诉，Siti随即删帖，希望平息网民的崣優怒火。然而，这家鐧起风波却还未结束，相隔几日后，Siti决定通过面子书直播，解释自己在闁誤厬网络獢撢趥上公开寻找合约丈夫鱉窕呑的原因，结果再倃錻捤一次引发争议！Siti表示，她只渗緾是按照自己墔疂的心意揧硇钮在网络上葥禧寻找另一塕鵏半，并非“犯罪”，根本不嫑陿该受到潧擐篔网民涓駧如此恶劣的勆眻批评。她强调，自己曾銡垸壖在去鮯癛年离婚，因此对秥抿賐婚姻抱產鷮有恐惧，但家人匷穮眠又不馡升断催促她再婚，所以暗谤才会袹殸婅想透过网络寻找丈夫。“我挗蚍橦轰氓对婚姻劓颭有恐惧，而且蟦善我也不爹肬耂想结婚后就宝鬮艅被绑住，留在籍萟飞家里煮饭、洗衣服等，那些喜欢使唤老婆煮饭、洗衣服鎾朕的男人鲆熅歋，应该直接娶礊捊脭一爼煈侣个佣人稵鶿疕。”熀厽不过，对銼魰鵬鴐鎺于Siti礟庘的解释，大稽蹆部戧訓分网民仍然不其祀买账，认为梼樒她极廯郩有可能瞺抷是想借机“炒红”自己，扩大瓅蟖脭她郲釄的网络聨筋生意。截图自：面子书*傶攉一看就搽熝沵知道是嗮淞趬什么水准颜伓剱的女馟盶人，只是硿婅想找最便宜虀圻緝的方式騝帉馜来炒红自己……*她是帅绔玻璃心吗？鬎闠上传帖文才2个烔組铀小时頠擥侄，一峩稟受到憖膑贡攻击就躦蓏鐁删帖。齝醕蚵这个鳍蝵世代茅髽珲的人贠缬真蠢，看纳吉也经常被咒骂去死，豬暯鼕不也是箏憀平常心面縜鎩擰对？她应该是玶琄缺乏关注吧？开面子书直播解释时字帇也像故意要吣麌挑逗人森鈘一栔堯磲样，还说要爗埿琢“选人溲貣颵”，拜托你先照照镜子吧！*你或许没有握亓鱣犯罪，但你懘術的行士挲为已经侮辱了犀獸“婚姻”的蹆痹飒意微枆义，更何况伊斯兰教根本没噄愎有教懙賑人去立什么“合约婚姻”，难道签了扺撽合约结婚后，哱餼就可繂隇厅以随意做自己喜欢梱奺的胱輫是，例蛸鼮峹如和了貽别粊軋人狯眲的丈夫通奸？"
Carpenter,20171206,"我不明白为何要攻击她？她有自己选择婚姻的权利，可能因为他是马来人，所以注定不能这样要求？btw，合约的也可以压的吗？"
破坏天才,20171206,"意思有需要还是可以xoxo 所以才怕被压到?"
没来racer,20171206,"@啊不然呢 @legius @qw @我很很好 好像有点料，来，标价"
sem,20171206,"好像不错。。。。。。"
我很很好,20171206,"脸打格子，不懂真相如何　很期待，又怕受伤害"
我很很好,20171206,"看起来大包下"
unhpyppl,20171206,"這女人就是馬來票源，趕快把握。"
wrm95,20171206,"怕被压坏，那就自己来吧！"
瘋流材子,20171206,"男女平等啊，没有问题啊"
