Topic title: “半夜致電求救卻拒預算案撥款” · 納吉諷刺林冠英出爾反爾
username,date,text
一燈大師,20171207,"“半夜致電求救卻拒預算案撥款” ·  納吉諷刺林冠英出爾反爾。林冠英反口复舌的臭名不脛而走。"
使用者,20171207,""
肥仔聪,20171207,"不止林冠英，还有林吉祥，火箭，华人。。"
一燈大師,20171207,"RM888 Sheila Majid 演唱會門票依然賣完。"
使用者,20171207,""
jellyfish_8,20171207,"一次土崩和水灾换家私，电器，马犀利的 $可以吃好几年的柴米油盐酱醋茶"
gaomin,20171207,"光用想的，就知道演讲时的表情。"
一燈大師,20171207,"丞相他的確涎液豐富，滋潤長時間演講的口腔，但不會像林氏父子那樣把地上的舔回去。"
bcteh,20171207,"GELI 口水流流"
jellyfish_8,20171207,"你哭没人信因为头发的gel和发胶擦太多眼睛也没有睡眼惺忪眼角有泪滴眼珠却是白色的应该是擦了眼药水，而不是万金油最后不要用自己手机发whatsapp视频叫司机来用马犀利载你去最近的水灾区让你的手下用手机拍视频然后他发出去可以的话就穿着睡衣裤涉水一下记得把裤脚和袖子卷起来不然感觉像是自杀的多过救灾"
一燈大師,20171207,"一個林冠英出爾反爾，其餘火箭 35國 96州的 議員要盲從配合，為了反而反。"
158797,20171207,"哭着求人是事实，过度开发山地也是事实。别再pusing说哭着求人是为了救槟城人。"
loongken,20171207,"他的哽咽是因為擔心檳州人民，從而低聲下氣的求本來就該來幫忙的軍隊，而你的嘲笑和拿人民的痛苦來撈政治本錢，其實已經凸顯出你為了掌權可出賣良心了。"
158797,20171207,"如果担心槟城人，为什么不做好治水工程?己经9年时间让他做，他是不做还是无能?"
一燈大師,20171207,"非法碳廠被舉報，揭發引起十多人患癌後，才來說人性化處理。不依環境局禁止，山坡工地土崩活埋 11 條命後，才來指責發展商的錯。如果一早聽 Norlela 和 鄭雨週代人民的申訴，就不用害死那麼多人了。現在太平後就厚著臉皮出來撈功勞。"
一燈大師,20171207,"後知後覺。後備軍在 1.30am 就出發拯救了，林冠英 3.30am 才打電話演戲。"
loongken,20171207,"你又懂後備军 1.30am 出发。"
chinapee,20171207,"低B 人来发傻贴?  JOKE  OF  THE  DAY ? "
一燈大師,20171207,"國防部長希山慕丁 透露的。"
