Topic title: 『騎馬殺雞』的由來（原來是如此辛酸的）
username,date,text
一燈大師,20171210,"『騎馬殺雞』的由來（原來是如此辛酸的）。『騎馬殺雞』這句話意義深重，因為見證了火箭的淪陷歷史。這句話之後，火箭已經不再是以前的火箭。火箭的原則，丟了進垃圾桶。火箭的黨魂，魂飛魄散超生無望。為過去的火箭，默哀一分鐘。"
一燈大師,20171210,"繼 紅豆起源：內戰【Rise Of The Red Bean Army：Civil War】後，也讓大家了解『騎馬殺雞』這句話背後沉重的意義。"
xloongx,20171210,"我相信你...当年刘邦就是这样搞掂项羽一统.."
q(o_o)p,20171210,"感覺 肥超 更像是潛伏在 火箭 裏面職業倒米的奸細，什麽 ‘馬來 screw 馬來’，‘地獄最熱的一層是預留給中立的’ 這種話都敢講，明顯是要把 火箭 拖垮才甘願"
kmrddecade,20171210,"超人如果像李小龙在精武们里面一脚踢破 东亚病夫 的招牌 一脚把加马踢飞，我就说超人厉害。但是如果超人只会骂不敢动手，那么他有什么特别的？还不是比别人比较会骂一些罢了，会骂，能让马来西亚进步吗？而且，他还是收钱骂的。"
jellyfish_8,20171211,"谢谢楼主分享原来左青龙和马犀利一号带着一众火箭仔跪爬老马的胯下之辱的确很心酸，气愤从1966年的开始的崇高奋斗理念几十年的贞洁就这样给破处了还要火箭仔躺着享受边享受，边流泪。。真哭了火箭仔"
jellyfish_8,20171211,"看老马没有号召力胯下之辱的【骑马杀鸡】已经变成【骑虎难下】了"
瘋流材子,20171211,"有改变是好事国阵就是70年不变，抱着 NEP 一路走来，害死了多少马来人？丝毫没进步的拐杖族，阵多得千年不变的抱负"
春秋,20171211,"肥邱就是行动党里的假马，他跟假马唯一的分别就是人家假马是真刀真枪，肥邱只敢在网上和华人圈里装模作样，现实里都是头低低做人。"
一燈大師,20171211,"記得真嘉瑪紅衫軍北上檳城，丘光耀嚇得漏液開車離開檳城被拍到，真是笑死人了。平時還在臉書上載 gym 裡怎樣怎樣修練，如何如何打國陣，到最後卻落跑。"
jellyfish_8,20171212,"超人手臂的老鼠几大粒下的。。。 落荒而逃，就像弃权不出席，弃权不投票，弃权不表态什么都弃权，什么都逃避"
一燈大師,20171212,"人家還有表演練一字馬呢，逃跑時可以跨大步遁快一些。"
jellyfish_8,20171212,"可以一字马那么厉害？应该去光大看门咯老马有左青龙左护卫马犀利一号有超人护卫才显得出cm的尊贵"
