Topic title: 敦马归还雪州苏丹册封勋章  “理由不言而喻”
username,date,text
Cari_LSV,20171211,"我湖妣棧国蕗葜鳨在佟锆酶位最久的殤謖前首相敦马哈迪曾获多州苏丹厹媡的册封勋章，但近日，已经投身反弖繱对党赦脜怜的敦马疑似与雪州王室的剠汑关系近痉生变，已将雪州苏丹册封檓云竓的两面勋章，退还给雪州王室！根据透视茕抳瘡大马，马哈迪是洱貪魳瓤衟于氦帱孕上星期四委托鲫好巸他人鵛验肪把这枻峊蓠两面勋章交到豘詫雪兰莪王宫一隻偸贮名高级弖顰官员彜栝蝇的手桃侘中。当相关网站进耴觉一步向消息揦猈獸人士询问马哈迪退还受封勋衔襖恉觇的原因萭篊时，焋篙他则简单回应“理由不銨舱訵言而喻”，并未进一瘗鍮步透露详情。与此同嶶讅弼时，敦马夫撷只蛵人西蒂哈斯玛也粨秞一并归还袨蘙了雪州王室册封的忿壂呑两面勋章。无论劊傮如何，雪兰莪苏丹私鵽蟂蒛人秘书莫哈末穆尼尔迯卻炐和马哈迪办公室，都仍未正面回应相关消息。马哈迪若枰于上筆喞航个炄散月的渑塠曻“爱国晝毩捴锄盗”集会漰刜烛灝鎧上，挢挖笠以希望联盟总裁饏瀩鄋的身份发表言论憃浘时指，首相纳吉是覑哿偷取矬帚人民钱财的犗瓿海盗，并调侃纳吉可能拥纾瞐有武吉斯海盗鲾燘鶑的背景。岂料，裥遊这番言论引起絙莔我慒訞国鲀昆和印尼的海秲武吉斯群体鱵裒諊不满，而雪兰莪苏丹也瓋嚶于11月2日发表声明表达失望与愤怒，同萙鋚时毖嗤衑要求警方援引煽鰘鹢动法令调查马哈迪。马哈迪归还的晰胟两面勋章，包括飰朚于1978邪妀年6月22日受封櫔岲的雪兰莪王室一鞶薲级膚抈勋章（SPMS）和畳砋楣2003年霰蹡灊10月受封衒钔的拿督斯里勋衔(DK)。"
瘋流材子,20171211,"没有头衔的加持，很快入狱了敦这个封号是免死金牌，幸好他还保留"
luvpris,20171211,"一切还要看这来临大选，总会有一方会被清算的。。。。生死之战。。。。"
phoi86,20171211,"他还给陛下，是因为他上岸了。。。有句话叫过桥抽板"
Weida,20171211,"敦是最高的喊头其它拿督Sri没有什么作为敦马当然不是傻瓜敦有免死金牌！"
lam69,20171211,"敦是谁封老马的 ？"
lam69,20171211,"每次都是他夺回给人家的头衔。给人家丢脸 （李金狮就是其中一个）这次人家归还给他。哈哈！ Hari ini Dalam Sejarah。"
罗马军团,20171211,"国家元首。"
binkybinky,20171211,"万般带不走，为有业随身，老马要食到咁geh年纪先明白。"
daimon,20171211,"如果马哈迪没有讲到 BUGIS的话也不会搞到这样的地步"
假冒是神50,20171211,"当年咱们唐人真的耐他没何整个国家的石油都被他盗去了没有一个唐人的钱够他多够他斗今天要他还他欠咱们MALAYSIA的一生人所欠下的债嗯"
Hishammudin,20171211,"又是始作俑者"
jackyboy05,20171211,"得罪蘇丹，老馬肯定掀起馬來海嘯，哈哈哈"
空中说话,20171211,"当年他在巫统就是带头得罪苏丹的啊！"
jackyboy05,20171211,"當年權傾朝野，為所欲為。現在。。。被人扔椅子 哈哈"
lumixcer,20171211,"苏丹都点名了，老马当然识do。。"
Carpenter,20171211,"妖"
lam69,20171211,"当时的国家元首是那里的，吉打 ？登嘉楼 ？玻璃市 ？"
夜铃,20171211,"我国执政党的作风都是”只许州官放火，不许百姓点灯“。当已经”沦为“反对党的敦马，当然不可再“点灯”了！"
一燈大師,20171211,"古有韓信胯下之辱，今有敦馬退爵救國。火箭粉追隨到如此貞烈國士，當前鋒去做炮灰也值得了。"
lam69,20171211,"跟本是借题发挥，闻歌起舞来跟巫统人筹热闹，人家骂到我们华人，不见得华人群起反击。"
gaomin,20171211,"勋章应该有不少吧，所谓多一个不多，少一个不少。"
RingRingRing,20171211,"有个敦头衔就够了 "
gaomin,20171211,"冰冻三尺，非一日之寒。"
syncsw,20171211,"老马2003年下台后就被封 tun，当时的元首是perlis的。因为当时还在念书，学校有挂agong照片，所以记得。"
罗马军团,20171211,"当时的最高元首也是玻璃市的Raja "
罗马军团,20171211,"敦马还有常用的一招：突然召开记者会说xxx身体抱恙，然后便丢信辞职了 其中一个受害者就是林良实 "
罗马军团,20171211,"这点敦马比菊花懂得做人。菊花批评苏丹后被剥夺拿督斯里封号。"
舞猫猫,20171211,"很好，给他下衰一下"
cam40729,20171211,"可以理解，只因雪兰尔苏丹是武吉斯人后裔。https://ms.wikipedia.org/wiki/Sultan_Selangor"
tauruslau,20171211,"谁敢动它…………"
steve8lily,20171211,"马来西亚的马来人那么极端也拜那个屎老马所赐"
lam69,20171211,"看老马这样做能夺多少马来同情票（华人绝对不会同情他的）"
lam69,20171211,"在这情况下，两个人老马和苏丹谁比较丢脸 ？如果是苏丹下令归还，那老马丢脸，现在是老马“丢还给她喔。"
pulauturtle,20171211,"这倒是事实。老马是只种族魔头"
pulauturtle,20171211,"老马是老狐狸，非常险恶的一位魔头。雪州苏丹好像也不见得很尊重民主，是吗？还是是霹雳的那位？"
AMOS5566,20171211,"一個敦，已經完勝所有的勛銜，沒差。"
tequila123,20171211,"南朝霸主的霸氣不是人人學得來的學得不好就變成小氣。。。"
filenes,20171211,"无言的抗议."
nagao,20171211,"目前这国家的勋衔没啥大不了了。老马有骨气，应该还，"
福气又安康,20171211,"好有骨气的老马。"
神垂死,20171211,"老马这年纪真的以为常年不老，他自己也感觉时日不多就把这些已经没什么用的丢会出来，看他身家肯不肯捐完出去才来说~"
五十后,20171212,"老马不是好人。华人再相信反对党，就快要被边沿化了。"
瘋流材子,20171212,"嘿嘿，他现在的遭遇已经是应验所有报应了虽然不喜欢他，但目前还是需要他对付国阵"
pupuman,20171212,"你的主人纳鸡也是，老时肯把吃去的钱吐完出来你可以没有口业上天堂了。"
leouy,20171212,"selangor要学johor，结果讲得太直接，说他背叛umno"
dupont378,20171212,"老马归还火箭的你可敏 则提议 火箭可以考虑受封这窝里反还在耗"
神垂死,20171212,"爷爷没有吃钱，爷爷素靠自己本事赚钱的，不要信和信网上一直黑爷爷的新闻～"
pupuman,20171212,"哈哈，你爷爷把你训练成吃钱当吃饭，所以你和你爷爷每天都在吃。还有你爷爷吃钱吃到全世界都知道，只有你当他在吃饭!"
神垂死,20171212,"偶还素会把票投给爷爷，因为素爷爷的国阵争取独立的，其他没有争取独立的国家想偷取别人的财产才素最可恶的~"
pupuman,20171212,"争取独立后可以盗用国家财产，谢谢你教会我"
AMOS5566,20171213,"马哈迪退回雪州王室的勋衔之后，他的夫人茜蒂哈斯玛共进退，也把勋衔退了。爱妻相挺，让马老爷特别感动，在推特上和茜蒂哈斯玛约会，要一起去看电影，还问读者：“我们应该去看什么电影呢？”我建议两人去看《东方快车谋杀案》，电影改编自阿加莎克里斯蒂（Agatha Christie）的作品，两老应该不陌生。从伊斯坦堡出发的豪华东方快车，开往伦敦途中，在中欧碰上大雪，火车上也出事了……。这部横空出世的杰作，写的不只是一宗悬疑谋杀案，而是通过一宗诡异的凶杀，把人性的恩怨情仇发挥得淋漓尽致。特别是最后一场公布真相的大戏，所有涉案者一字排开，有如达芬奇名画《最后的晚餐》耶稣的12门徒并排而坐，等待宣判。大侦探皮洛已经知道凶手是谁，但是，他自己内心忐忑不安，这宗案件的背景复杂且沉重，不是把凶手绳之于法就可以了事；个中涉及法律和道德，以及人性恩怨的纠缠……。电影点到为止，以免读者怪我剧透。我的感受是，马哈迪目前的处境，很符合这部电影的意境。92岁的他，在人生的末端，面对了另一场挑战。从“武吉斯海盗论”发生以来，马哈迪遭受了强大压力，也碰上新的对手。之前，他只需要应付巫统的压力，而他的对手主要是纳吉，而今，马来统治者似乎站在他的对立面，雪州苏丹更是连番对他作出抨击。但是，马哈迪一如以往，性格倔强如昔；他只是澄清说，他说的“武吉斯海盗”只是针对纳吉，而不是其他人。马老爷子也没有向苏丹道歉。苏丹并没有接受马哈迪的说辞，在接受媒体访问时，抨击马哈迪玩火，并警告说马哈迪会以自己的怒火烧掉这个国家。双方的矛盾升级之际，马哈迪选择退回勋衔，说明了他并不准备退让。马哈迪和马来统治者结怨交手，并不是第一次。上世纪80年代，当他初任首相时，就曾经发动修宪，限制统治者的权力。当年的马哈迪，有巫统为后盾，然后全国巡回呼唤民众支持。在政治权力和民意协助下，长驱直入，成功修宪，压住王权。在马哈迪执政年代，首相的权力凌驾一切，王权也陷入最低潮时期。只是，今天物转星移，马哈迪不是首相，也没有强大民意；再次和王权交手，已经处于下风。况且，马来政治力量分裂之后，没有政党可以垄断权力，各个政党都必须争取统治者的支持，这促成马来统治者的地位提升。得罪苏丹，与统治者为敌，那是政治自杀的做法。眼前的局势，是一列开向选举的政治列车，车上都是利害相关者，敌友难分，各有算计。希盟的伙伴们选择沉默，没有为马哈迪出声，这是碍于政治现实。特别是在雪州，希盟想要继续执政，就必须考量利害关系，避重就轻已是当然，必要时，也要牺牲盟友，以免拖累自己。既便马哈迪的土团，也只做旁观，不敢相挺。只有一个不知就里的火箭再益，两次推文抨击苏丹，不但帮不上马老爷，自己反而成了锅上的蚂蚁。政治的谋略，不是一加一等于二，而是复杂的人性，和充满算计的现实；和苏丹的对立，更是法律和道德的难题。去看看《东方快车谋杀案》吧！（文章来源：星洲日報**作者：郑丁贤·《星洲日报》副执行总编辑·2017.12.13）"
神垂死,20171214,"这你要谢谢你们红豆饼支持的老马，素他教会大家的~"
pupuman,20171214,"你那么会狡辩，应该是从出席了巫桶大会学来的，巫桶真的教会你不少东西。"
AMOS5566,20171215,"在过去近800年来，内蒙古流传着这样的一个传统。当地的尔扈特人会在成吉思汗陵园中供奉着白色的骏马，并以“神马”相称。据说，对大汗忠心的神马世世代代都会轮回转世，为的就是和守陵人们一同守卫着一代伟人的英灵，而守陵人逝世了，达尔扈特人会世代相续这份使命，守卫陵园，供奉神马。对蒙古族而言，因为守陵人数世纪的忠肝义胆，以及神马对君主近千年来的守候，内蒙古多了一份不一样的价值观在草原和沙漠中流传。我国没有这样长情的守陵人，更没有转世守候君主的神马，但是，政坛上却有着一位神机妙算且聪慧过人的“神马”——前首相敦马哈迪医生。他近期因发表“武吉斯海盗论”而被指有羞辱武吉斯社群，复引起雪州苏丹不满后，不等雪州王室褫夺勋衔就先下手为强。马哈迪毕竟是在政坛打滚超过70年的老手，政治智慧与经验在我国几乎无人能及。如果同一个苏丹能在3年前褫夺了人民公正党实权领袖拿督斯里安华的“拿督斯里”勋衔，那么他为何不在自己可以选择优雅下台时，掌控这个主导权？不仅如此，据马哈迪的助理透露，这名政治饶将还是在妻子的陪同下亲自跑上雪州苏丹机要秘书的办公室退还勋衔，期间更一并连妻子的勋衔也送上。这原本可以交托助理代劳的举动却亲自上阵，还偕同妻子一起上来，无疑给了王室无上的尊重，却又不啻狠狠地跟你表示自己多不稀罕。他接受访问时笑言：“我之前拥有（勋衔）是因为他觉得我适当，但是我现在要在全国‘放火’，我认为我不再配拥有。”有趣的是，他之后还在推特上留言“打算和哈丝玛约会。她和我同甘共苦。我们应该一起看什么电影呢？”此举表现在“在意与不在意”之间，然后任由大家各自诠释。他此举其实也化解了不少危机，诸如平复了至少700万武吉斯人不满，不至于令希望联盟在选举时失利、或化解了与印尼出现不必要的外交冲突，甚至如今马哈迪已主动地交出勋衔，以间接方式回应了今次我的风波，若还被警方援引煽动法令调查，这看在更多的人眼里恐怕会被诠释为强权在欺压老人。明乎此，马哈迪的退还勋衔的举动，无论会延生出怎样的后续发展，懂得化危机为转机的他永远都是赢家。懂得以看似较低的姿态来应对，其实里头却充满着种种的计算，然后在将政治这可能的艺术发挥得淋漓尽致，马哈迪无疑是政坛上的神马，尽管他可能与数世轮回都要守候君主的汗陵神马，奔驰在各走极端的草原上。可是，如果留在蒙古草原上的，是份忠贞的中心思想，那，最后能在大红花国度里百世流芳的价值又是什么呢？（南洋商報評論**黎添華）"
