Topic title: 马来艺人不满物价高涨
username,date,text
cyberjaye,20171212,"希盟欢迎你们! 不知中立会不会推说马币跌是希盟害的。Siti Norhaliza已经投向希盟，还会有更人跟随。"
Screenshot_2017-12-12-11-36-01.jpg,20171212,"又不见得他们降低演唱会票价？红豆兵火迷有听马来歌的吗？"
Screenshot_2017-12-12-11-35-54.jpg,20171212,"他們那麼多subsidy還會覺得物價高漲..."
jellyfish_8,20171212,"傻差，听歌不是基本生活费。穷人不受影响，真想听免费可以选择去YouTube。基本生活费柴米油盐不能选择。中立真傻差。。。"
Jason929,20171212,"勇于为社会问题发声的都必须得到掌声！支持Siti。"
cyberjaye,20171212,"Datuk siti 是老马的粉丝，不过本文的主角是西拉玛吉。"
Kombat1977,20171212,"那。。 水灾灾黎换家私，换马犀利也不是基本生活费，穷人不受影响，真想换可以买二手的，不换的话还可以节省好几年的基本生活费柴米油盐支出。。"
cyberjaye,20171212,"傻差无下限，国阵州灾民比槟城多。"
jellyfish_8,20171212,"对了Tg Bungah的山坡危楼修好了吗？"
cyberjaye,20171212,"马来西亚在马哈迪乱搞下，90%的穆斯林，马来西亚人口的65%，2000万人不交所得税，却要多多福利，建清真寺政府付，抛妻弃子政府养，结婚政府补贴，没工作政府给工作，孩子读书政府补贴，生病住院政府补贴，去麦加旅行政府补贴，没屋子住政府建，没读书政府给钱继续混，没钱做生意政府给现在美国所得税由 35% 下降到 20%，会吸引不少在这里设厂的跨国企业回流美国马来西亚不改变税制，长期经济会被影响马哈迪主导的垃圾政党要取消 gst ，推高所得税，回到穆斯林不交税，华人养它们的老路不换半死，换马哈迪做首相包死"
jellyfish_8,20171212,"这些内阁大鳄花的是人民的tax 和 EPF, 当然不知道民间的事情啦！！"
cct2050,20171212,"高官表示，物价高涨，它们的津贴也高涨，没有任何影响，想来贫民应该也一样。"
mark,20171213,"给西拉玛吉100个赞！"
